dwt_denoise_wavelet,dwt_threshold,dwt_multi_wavelet,model,test_acc
coif4,0.2,coif4,dtc,0.8414634146341463
coif4,0.2,coif4,gbc,0.8953252032520326
coif4,0.2,coif4,kerasnn,0.8704268336296082
coif4,0.2,coif4,knc,0.5137195121951219
coif4,0.2,coif4,logreg,0.8856707317073171
coif4,0.2,coif4,nn,0.1880081300813008
coif4,0.2,coif4,rfc,0.8922764227642277
coif4,0.2,coif4,svc,0.6671747967479674
coif4,0.2,db4,dtc,0.8257113821138211
coif4,0.2,db4,gbc,0.902439024390244
coif4,0.2,db4,kerasnn,0.9059959053993224
coif4,0.2,db4,knc,0.6366869918699187
coif4,0.2,db4,logreg,0.9070121951219512
coif4,0.2,db4,nn,0.1880081300813008
coif4,0.2,db4,rfc,0.8897357723577236
coif4,0.2,db4,svc,0.8363821138211383
coif4,0.2,dmey,dtc,0.8475609756097561
coif4,0.2,dmey,gbc,0.9044715447154472
coif4,0.2,dmey,kerasnn,0.8760162591934204
coif4,0.2,dmey,knc,0.5660569105691057
coif4,0.2,dmey,logreg,0.8968495934959351
coif4,0.2,dmey,nn,0.1880081300813008
coif4,0.2,dmey,rfc,0.8958333333333334
coif4,0.2,dmey,svc,0.7251016260162602
coif4,0.2,haar,dtc,0.8521341463414634
coif4,0.2,haar,gbc,0.9166666666666666
coif4,0.2,haar,kerasnn,0.9247967600822448
coif4,0.2,haar,knc,0.7769308943089431
coif4,0.2,haar,logreg,0.9258130081300812
coif4,0.2,haar,nn,0.9268292682926829
coif4,0.2,haar,rfc,0.9146341463414634
coif4,0.2,haar,svc,0.9110772357723578
coif4,0.2,none,dtc,0.8373983739837398
coif4,0.2,none,gbc,0.91869918699187
coif4,0.2,none,kerasnn,0.8780487775802612
coif4,0.2,none,knc,0.6920731707317073
coif4,0.2,none,logreg,0.9070121951219512
coif4,0.2,none,nn,0.38160569105691056
coif4,0.2,none,rfc,0.8998983739837398
coif4,0.2,none,svc,0.8201219512195121
coif4,0.2,sym4,dtc,0.836890243902439
coif4,0.2,sym4,gbc,0.8973577235772358
coif4,0.2,sym4,kerasnn,0.8988820910453796
coif4,0.2,sym4,knc,0.5579268292682927
coif4,0.2,sym4,logreg,0.9090447154471544
coif4,0.2,sym4,nn,0.1880081300813008
coif4,0.2,sym4,rfc,0.8968495934959351
coif4,0.2,sym4,svc,0.8150406504065041
coif4,0.3,coif4,dtc,0.8384146341463414
coif4,0.3,coif4,gbc,0.8943089430894309
coif4,0.3,coif4,kerasnn,0.8241869807243347
coif4,0.3,coif4,knc,0.4989837398373984
coif4,0.3,coif4,logreg,0.8831300813008129
coif4,0.3,coif4,nn,0.1880081300813008
coif4,0.3,coif4,rfc,0.8932926829268293
coif4,0.3,coif4,svc,0.6666666666666666
coif4,0.3,db4,dtc,0.8282520325203252
coif4,0.3,db4,gbc,0.8943089430894309
coif4,0.3,db4,kerasnn,0.8846544623374939
coif4,0.3,db4,knc,0.6646341463414634
coif4,0.3,db4,logreg,0.8978658536585366
coif4,0.3,db4,nn,0.1880081300813008
coif4,0.3,db4,rfc,0.8851626016260162
coif4,0.3,db4,svc,0.8429878048780488
coif4,0.3,dmey,dtc,0.8318089430894309
coif4,0.3,dmey,gbc,0.9034552845528456
coif4,0.3,dmey,kerasnn,0.8556910753250122
coif4,0.3,dmey,knc,0.5599593495934959
coif4,0.3,dmey,logreg,0.8917682926829268
coif4,0.3,dmey,nn,0.1880081300813008
coif4,0.3,dmey,rfc,0.9014227642276422
coif4,0.3,dmey,svc,0.7408536585365854
coif4,0.3,haar,dtc,0.8384146341463414
coif4,0.3,haar,gbc,0.9156504065040649
coif4,0.3,haar,kerasnn,0.8785569071769714
coif4,0.3,haar,knc,0.7637195121951219
coif4,0.3,haar,logreg,0.9110772357723578
coif4,0.3,haar,nn,0.8998983739837398
coif4,0.3,haar,rfc,0.9039634146341464
coif4,0.3,haar,svc,0.902439024390244
coif4,0.3,none,dtc,0.031504065040650404
coif4,0.3,none,gbc,0.004573170731707317
coif4,0.3,none,kerasnn,0.0060975607484579095
coif4,0.3,none,knc,0.03963414634146342
coif4,0.3,none,logreg,0.001016260162601626
coif4,0.3,none,nn,0.023882113821138213
coif4,0.3,none,rfc,0.04369918699186992
coif4,0.3,none,svc,0.009654471544715448
coif4,0.3,sym4,dtc,0.8277439024390244
coif4,0.3,sym4,gbc,0.8958333333333334
coif4,0.3,sym4,kerasnn,0.889735758304596
coif4,0.3,sym4,knc,0.5757113821138211
coif4,0.3,sym4,logreg,0.9004065040650406
coif4,0.3,sym4,nn,0.1880081300813008
coif4,0.3,sym4,rfc,0.9065040650406504
coif4,0.3,sym4,svc,0.8267276422764228
db4,0.2,coif4,dtc,0.8302845528455285
db4,0.2,coif4,gbc,0.8887195121951219
db4,0.2,coif4,kerasnn,0.8816056847572327
db4,0.2,coif4,knc,0.5447154471544715
db4,0.2,coif4,logreg,0.8963414634146342
db4,0.2,coif4,nn,0.1880081300813008
db4,0.2,coif4,rfc,0.8841463414634146
db4,0.2,coif4,svc,0.6935975609756098
db4,0.2,db4,dtc,0.8252032520325203
db4,0.2,db4,gbc,0.9004065040650406
db4,0.2,db4,kerasnn,0.907520353794098
db4,0.2,db4,knc,0.630589430894309
db4,0.2,db4,logreg,0.9192073170731708
db4,0.2,db4,nn,0.1880081300813008
db4,0.2,db4,rfc,0.8912601626016259
db4,0.2,db4,svc,0.8170731707317073
db4,0.2,dmey,dtc,0.8556910569105691
db4,0.2,dmey,gbc,0.8902439024390244
db4,0.2,dmey,kerasnn,0.8511179089546204
db4,0.2,dmey,knc,0.5858739837398373
db4,0.2,dmey,logreg,0.899390243902439
db4,0.2,dmey,nn,0.1880081300813008
db4,0.2,dmey,rfc,0.8892276422764228
db4,0.2,dmey,svc,0.7393292682926829
db4,0.2,haar,dtc,0.8460365853658537
db4,0.2,haar,gbc,0.9110772357723578
db4,0.2,haar,kerasnn,0.8993902206420898
db4,0.2,haar,knc,0.7388211382113821
db4,0.2,haar,logreg,0.9085365853658536
db4,0.2,haar,nn,0.9039634146341464
db4,0.2,haar,rfc,0.9054878048780488
db4,0.2,haar,svc,0.8998983739837398
db4,0.2,none,dtc,0.7987804878048781
db4,0.2,none,gbc,0.8816056910569106
db4,0.2,none,kerasnn,0.08943089097738266
