dwt_denoise_wavelet,dwt_threshold,dwt_multi_wavelet,model,test_acc
coif4,0.2,coif4,birnn,0.897357702255249
coif4,0.2,coif4,cnn,0.9105691313743592
coif4,0.2,coif4,lstmcnn,0.932418704032898
coif4,0.2,coif4,nn,0.8993902206420898
coif4,0.2,coif4,rnn,0.7469512224197388
coif4,0.2,db4,birnn,0.8912601470947266
coif4,0.2,db4,cnn,0.9192073345184326
coif4,0.2,db4,lstmcnn,0.9161585569381714
coif4,0.2,db4,nn,0.9217479825019836
coif4,0.2,db4,rnn,0.7688007950782776
coif4,0.2,dmey,birnn,0.9070122241973876
coif4,0.2,dmey,cnn,0.9207317233085632
coif4,0.2,dmey,lstmcnn,0.9329268336296082
coif4,0.2,dmey,nn,0.9019308686256408
coif4,0.2,dmey,rnn,0.7870935201644897
coif4,0.2,haar,birnn,0.9014227390289308
coif4,0.2,haar,cnn,0.9288617968559264
coif4,0.2,haar,lstmcnn,0.9222561120986938
coif4,0.2,haar,nn,0.9308943152427672
coif4,0.2,haar,rnn,0.8556910753250122
coif4,0.2,none,birnn,0.8821138143539429
coif4,0.2,none,cnn,0.9161585569381714
coif4,0.2,none,lstmcnn,0.9253048896789552
coif4,0.2,none,nn,0.9070122241973876
coif4,0.2,none,rnn,0.8953251838684082
coif4,0.2,sym4,birnn,0.8943089246749878
coif4,0.2,sym4,cnn,0.9258130192756652
coif4,0.2,sym4,lstmcnn,0.9232723712921144
coif4,0.2,sym4,nn,0.9314024448394777
coif4,0.2,sym4,rnn,0.7251016497612
coif4,0.3,coif4,birnn,0.8902438879013062
coif4,0.3,coif4,cnn,0.9059959053993224
coif4,0.3,coif4,lstmcnn,0.904979646205902
coif4,0.3,coif4,nn,0.8755081295967102
coif4,0.3,coif4,rnn,0.7378048896789551
coif4,0.3,db4,birnn,0.8851625919342041
coif4,0.3,db4,cnn,0.9136179089546204
coif4,0.3,db4,lstmcnn,0.8714430928230286
coif4,0.3,db4,nn,0.9171748161315918
coif4,0.3,db4,rnn,0.7444105744361877
coif4,0.3,dmey,birnn,0.8983739614486694
coif4,0.3,dmey,cnn,0.9029471278190612
coif4,0.3,dmey,lstmcnn,0.9070122241973876
coif4,0.3,dmey,nn,0.892276406288147
coif4,0.3,dmey,rnn,0.7616869807243347
coif4,0.3,haar,birnn,0.8912601470947266
coif4,0.3,haar,cnn,0.9268292784690856
coif4,0.3,haar,lstmcnn,0.7947154641151428
coif4,0.3,haar,nn,0.9207317233085632
coif4,0.3,haar,rnn,0.8541666865348816
coif4,0.3,none,birnn,0.8678861856460571
coif4,0.3,none,cnn,0.9059959053993224
coif4,0.3,none,lstmcnn,0.9247967600822448
coif4,0.3,none,nn,0.8653455376625061
coif4,0.3,none,rnn,0.8582317233085632
coif4,0.3,sym4,birnn,0.8689024448394775
coif4,0.3,sym4,cnn,0.9131097793579102
coif4,0.3,sym4,lstmcnn,0.9186992049217224
coif4,0.3,sym4,nn,0.9105691313743592
coif4,0.3,sym4,rnn,0.6595528721809387
db4,0.2,coif4,birnn,0.8927845358848572
db4,0.2,coif4,cnn,0.9059959053993224
db4,0.2,coif4,lstmcnn,0.9385162591934204
db4,0.2,coif4,nn,0.8932926654815674
db4,0.2,coif4,rnn,0.7545731663703918
db4,0.2,db4,birnn,0.8846544623374939
db4,0.2,db4,cnn,0.9171748161315918
db4,0.2,db4,lstmcnn,0.8978658318519592
db4,0.2,db4,nn,0.9100610017776488
db4,0.2,db4,rnn,0.7759146094322205
db4,0.2,dmey,birnn,0.894817054271698
db4,0.2,dmey,cnn,0.9126016497612
db4,0.2,dmey,lstmcnn,0.9237805008888244
db4,0.2,dmey,nn,0.8892276287078857
db4,0.2,dmey,rnn,0.7860772609710693
db4,0.2,haar,birnn,0.9207317233085632
db4,0.2,haar,cnn,0.9242886304855348
db4,0.2,haar,lstmcnn,0.9405487775802612
db4,0.2,haar,nn,0.9217479825019836
db4,0.2,haar,rnn,0.8267276287078857
db4,0.2,none,birnn,0.869918704032898
db4,0.2,none,cnn,0.9192073345184326
db4,0.2,none,lstmcnn,0.9263211488723756
db4,0.2,none,nn,0.9065040946006776
db4,0.2,none,rnn,0.9039633870124816
db4,0.2,sym4,birnn,0.8887194991111755
db4,0.2,sym4,cnn,0.9131097793579102
db4,0.2,sym4,lstmcnn,0.9126016497612
db4,0.2,sym4,nn,0.9192073345184326
db4,0.2,sym4,rnn,0.6869918704032898
db4,0.3,coif4,birnn,0.8841463327407837
db4,0.3,coif4,cnn,0.897357702255249
db4,0.3,coif4,lstmcnn,0.9161585569381714
db4,0.3,coif4,nn,0.8841463327407837
db4,0.3,coif4,rnn,0.7296748161315918
db4,0.3,db4,birnn,0.869918704032898
db4,0.3,db4,cnn,0.9070122241973876
db4,0.3,db4,lstmcnn,0.9105691313743592
db4,0.3,db4,nn,0.9059959053993224
db4,0.3,db4,rnn,0.7372967600822449
db4,0.3,dmey,birnn,0.9009146094322203
db4,0.3,dmey,cnn,0.9222561120986938
db4,0.3,dmey,lstmcnn,0.9029471278190612
db4,0.3,dmey,nn,0.8739837408065796
db4,0.3,dmey,rnn,0.7494918704032898
db4,0.3,haar,birnn,0.8790650367736816
db4,0.3,haar,cnn,0.9120935201644896
db4,0.3,haar,lstmcnn,0.9110772609710692
db4,0.3,haar,nn,0.9237805008888244
db4,0.3,haar,rnn,0.8328251838684082
db4,0.3,none,birnn,0.8704268336296082
db4,0.3,none,cnn,0.8983739614486694
db4,0.3,none,lstmcnn,0.8546748161315918
db4,0.3,none,nn,0.8785569071769714
db4,0.3,none,rnn,0.880081295967102
db4,0.3,sym4,birnn,0.8836382031440735
db4,0.3,sym4,cnn,0.904979646205902
db4,0.3,sym4,lstmcnn,0.8826219439506531
db4,0.3,sym4,nn,0.908028483390808
db4,0.3,sym4,rnn,0.6631097793579102
dmey,0.2,coif4,birnn,0.8983739614486694
dmey,0.2,coif4,cnn,0.917682945728302
dmey,0.2,coif4,lstmcnn,0.9319105744361876
dmey,0.2,coif4,nn,0.8628048896789551
dmey,0.2,coif4,rnn,0.7413617968559265
dmey,0.2,db4,birnn,0.8734756112098694
dmey,0.2,db4,cnn,0.9207317233085632
dmey,0.2,db4,lstmcnn,0.9156504273414612
dmey,0.2,db4,nn,0.9217479825019836
dmey,0.2,db4,rnn,0.7662601470947266
dmey,0.2,dmey,birnn,0.892276406288147
dmey,0.2,dmey,cnn,0.9156504273414612
dmey,0.2,dmey,lstmcnn,0.9375
dmey,0.2,dmey,nn,0.8663617968559265
dmey,0.2,dmey,rnn,0.7688007950782776
dmey,0.2,haar,birnn,0.8988820910453796
dmey,0.2,haar,cnn,0.9222561120986938
dmey,0.2,haar,lstmcnn,0.927337408065796
dmey,0.2,haar,nn,0.927337408065796
dmey,0.2,haar,rnn,0.834857702255249
dmey,0.2,none,birnn,0.8780487775802612
dmey,0.2,none,cnn,0.9131097793579102
dmey,0.2,none,lstmcnn,0.9217479825019836
dmey,0.2,none,nn,0.875
dmey,0.2,none,rnn,0.8932926654815674
dmey,0.2,sym4,birnn,0.8968495726585388
dmey,0.2,sym4,cnn,0.9181910753250122
dmey,0.2,sym4,lstmcnn,0.1463414579629898
dmey,0.2,sym4,nn,0.9314024448394777
dmey,0.2,sym4,rnn,0.7057926654815674
dmey,0.3,coif4,birnn,0.8816056847572327
dmey,0.3,coif4,cnn,0.9131097793579102
dmey,0.3,coif4,lstmcnn,0.7693089246749878
dmey,0.3,coif4,nn,0.8704268336296082
dmey,0.3,coif4,rnn,0.7169715166091919
dmey,0.3,db4,birnn,0.8770325183868408
dmey,0.3,db4,cnn,0.9085366129875184
dmey,0.3,db4,lstmcnn,0.8663617968559265
dmey,0.3,db4,nn,0.9171748161315918
dmey,0.3,db4,rnn,0.7398374080657959
dmey,0.3,dmey,birnn,0.8785569071769714
dmey,0.3,dmey,cnn,0.8871951103210449
dmey,0.3,dmey,lstmcnn,0.9054877758026124
dmey,0.3,dmey,nn,0.8821138143539429
dmey,0.3,dmey,rnn,0.7555894255638123
dmey,0.3,haar,birnn,0.8821138143539429
dmey,0.3,haar,cnn,0.9171748161315918
dmey,0.3,haar,lstmcnn,0.8836382031440735
dmey,0.3,haar,nn,0.9222561120986938
dmey,0.3,haar,rnn,0.7911585569381714
dmey,0.3,none,birnn,0.8582317233085632
dmey,0.3,none,cnn,0.9029471278190612
dmey,0.3,none,lstmcnn,0.915142297744751
dmey,0.3,none,nn,0.8805894255638123
dmey,0.3,none,rnn,0.8709349632263184
dmey,0.3,sym4,birnn,0.8694105744361877
dmey,0.3,sym4,cnn,0.9186992049217224
dmey,0.3,sym4,lstmcnn,0.8856707215309143
dmey,0.3,sym4,nn,0.8983739614486694
dmey,0.3,sym4,rnn,0.6636179089546204
haar,0.2,coif4,birnn,0.8841463327407837
haar,0.2,coif4,cnn,0.8943089246749878
haar,0.2,coif4,lstmcnn,0.904471516609192
haar,0.2,coif4,nn,0.894817054271698
haar,0.2,coif4,rnn,0.7317073345184326
haar,0.2,db4,birnn,0.8704268336296082
haar,0.2,db4,cnn,0.9161585569381714
