epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss
0,4100742.8,2025.0458,623844.8,789.84625,4724669.643051198,3722626.25,1929.4107666015625,639722.9375,799.826904296875,4362349.232928241
1,3449986.0,1857.43,590146.06,768.216,4040200.3523704954,3171885.0,1780.9783935546875,628815.4375,792.9788818359375,3800700.461082176
2,3376363.0,1837.4827,574522.9,757.9679,3950859.00466833,3426475.25,1851.0743408203125,639910.8125,799.9441528320312,4066387.0341435187
3,3321880.0,1822.6172,561245.7,749.1719,3883191.887702873,3174552.0,1781.727294921875,624164.3125,790.0406494140625,3798716.178530093
4,3259785.0,1805.4978,555271.6,745.1729,3815110.2551682787,3214872.5,1793.0068359375,650841.5625,806.7473754882812,3865714.611255787
5,3181473.0,1783.6711,542185.7,736.3356,3723674.190636333,3305386.75,1818.0721435546875,616611.5,785.2462768554688,3921998.2552083335
6,3159426.8,1777.4675,534327.4,730.96326,3693701.1446394585,3501137.25,1871.132568359375,695045.9375,833.694091796875,4196183.41478588
7,3113110.8,1764.4105,530947.9,728.66943,3644103.07393773,3112819.75,1764.3189697265625,636370.5,797.728515625,3749191.204861111
8,3106934.2,1762.6608,522977.72,723.1733,3629955.555425165,3260090.25,1805.572021484375,680628.0625,825.001708984375,3940718.3752893517
9,3065997.8,1751.0115,514771.72,717.48175,3580820.4002401684,3220137.0,1794.4739990234375,689160.4375,830.1565551757812,3909296.8405671297
10,3038345.8,1743.0634,513680.5,716.7128,3551948.16212962,3224649.0,1795.73095703125,661401.9375,813.2660522460938,3886050.898292824
11,3004704.2,1733.3995,504975.4,710.61273,3509644.1689890428,3120702.5,1766.5511474609375,689234.5,830.2013549804688,3809937.599826389
12,2974723.2,1724.7544,504294.62,710.146,3479086.3745354176,3530949.25,1879.081787109375,684381.9375,827.2736206054688,4215330.521122686
13,3002514.8,1732.7896,498735.56,706.21423,3501298.906956519,3430516.75,1852.1651611328125,684235.4375,827.1852416992188,4114752.0850694445
14,2962840.2,1721.251,494900.4,703.4919,3457606.9287211606,3189379.25,1785.8834228515625,663324.8125,814.447509765625,3852704.175347222
15,2919571.5,1708.5602,492982.53,702.1155,3412144.292838036,3438479.5,1854.3135986328125,668108.5,817.3787841796875,4106587.359375
16,2933980.5,1712.89,491419.7,701.0146,3425412.6398135885,3837844.5,1959.0419921875,674092.875,821.0317993164062,4511937.567563658
17,2899944.8,1702.9183,485802.28,696.99994,3385743.1328464597,3201696.25,1789.3287353515625,754680.0,868.7233276367188,3956377.6487268517
18,2883330.2,1698.0516,486319.44,697.3725,3369707.622053358,3366334.75,1834.7576904296875,656918.0,810.5048217773438,4023253.0577256945
19,2855301.8,1689.7726,481322.2,693.77765,3336659.891718537,3183553.0,1784.25146484375,691183.125,831.3740844726562,3874735.922309028
20,2862863.2,1691.9958,480899.88,693.47296,3343754.84301133,3267761.25,1807.6947021484375,648179.5,805.0958251953125,3915939.718315972
21,2835144.0,1683.8069,476845.53,690.5414,3312047.909921648,3409353.25,1846.4434814453125,801211.4375,895.1041259765625,4210563.762152778
22,2816462.5,1678.175,477071.4,690.70557,3293344.794149798,3224599.75,1795.717041015625,645592.3125,803.4874877929688,3870191.4467592593
23,2812055.2,1676.9,472892.03,687.6712,3284883.8310358743,3385153.25,1839.8779296875,798312.8125,893.483642578125,4183464.749421296
24,2816240.5,1678.1688,476559.78,690.3409,3292820.6897650403,3381350.75,1838.84521484375,694383.3125,833.296630859375,4075734.4833622687
25,2790319.5,1670.4338,468388.72,684.395,3258746.618997402,3218981.0,1794.1522216796875,719721.1875,848.36376953125,3938701.338107639
