epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss
0,4494868.0,2120.127,650186.2,806.34534,5145133.970884025,3800122.75,1949.39013671875,646746.0,804.205078125,4446868.613715278
1,3459608.2,1860.0223,611941.06,782.27563,4071637.689393696,3582806.0,1892.830322265625,639500.6875,799.6878662109375,4222307.008101852
2,3445800.8,1856.2983,608290.56,779.9333,4054136.4177544434,3672455.75,1916.3656005859375,635824.0625,797.3858032226562,4308280.294560186
3,3388560.5,1840.8214,604739.7,777.6541,3993367.2180450885,3607292.75,1899.287353515625,633642.8125,796.0167846679688,4240934.69921875
4,3382917.0,1839.2389,603798.06,777.0393,3986592.604169346,3535344.25,1880.251220703125,636374.5,797.7308349609375,4171718.9116030093
5,3354648.8,1831.5812,601091.1,775.308,3955792.1707139458,3525867.25,1877.728759765625,637433.5625,798.394287109375,4163299.5046296297
6,3355083.8,1831.6111,601311.3,775.44666,3956120.601340055,3549705.75,1884.0660400390625,636354.0,797.7178955078125,4186058.6163194445
7,3344562.8,1828.7546,600639.2,775.0015,3944972.280257337,3526489.5,1877.8951416015625,631719.125,794.8076171875,4158208.283420139
8,3346889.8,1829.4641,601069.9,775.2897,3948016.8794480953,3437006.0,1853.9163818359375,632502.25,795.3001708984375,4069508.3920717593
9,3330490.0,1824.9801,599378.25,774.20435,3929943.5371312276,3456215.0,1859.08984375,632902.8125,795.5519409179688,4089117.909577546
10,3332856.2,1825.6193,597965.25,773.2886,3930863.3528511534,3977178.25,1994.286376953125,627944.0625,792.4292602539062,4605122.845196759
11,3334134.2,1825.9613,600245.0,774.7576,3934387.537083001,3449921.25,1857.396240234375,632060.4375,795.0220947265625,4081981.5522280093
12,3323042.5,1822.9338,599701.7,774.41113,3922802.3809929523,3439331.5,1854.54345703125,636954.4375,798.0941772460938,4076285.9289641203
13,3312901.8,1820.1597,598520.2,773.6501,3911514.4210989545,3436473.25,1853.7725830078125,637817.875,798.6350708007812,4074291.053530093
14,3318490.2,1821.6796,597408.4,772.92975,3915934.4976312728,3504815.75,1872.114501953125,641886.5,801.1781005859375,4146700.9528356483
15,3302077.0,1817.1705,597379.5,772.9108,3899502.4597629826,3454975.0,1858.75634765625,627550.4375,792.1808471679688,4082525.1549479165
16,3306464.8,1818.3804,598481.2,773.6236,3904999.869317305,3563635.5,1887.7593994140625,638315.125,798.9461669921875,4201950.638310186
17,3304611.5,1817.8756,598321.44,773.5219,3903008.518131575,3468446.25,1862.3759765625,635895.25,797.4305419921875,4104341.134548611
18,3297354.0,1815.8792,596723.0,772.486,3894151.94060579,3442113.25,1855.293212890625,634330.8125,796.44873046875,4076442.958622685
19,3307014.8,1818.5111,597649.06,773.08276,3904639.6150524705,3580894.75,1892.324951171875,645511.5,803.4371337890625,4226405.49146412
20,3297628.2,1815.9407,596264.8,772.1829,3893903.801589547,3428382.0,1851.5892333984375,633747.9375,796.082763671875,4062131.0422453703
21,3289517.2,1813.721,597206.8,772.7958,3886797.0475899586,3485900.25,1867.056640625,632309.3125,795.1788940429688,4118209.775752315
22,3297186.0,1815.827,597048.4,772.69867,3894293.086209779,3453434.0,1858.3419189453125,646401.125,803.9906616210938,4099834.9225983797
23,3290475.0,1813.9622,596248.8,772.1713,3886707.8303068494,3544828.75,1882.771240234375,649806.5,806.1058959960938,4194634.601851852
24,3288985.0,1813.5725,595902.8,771.957,3884961.71245322,3483191.75,1866.3310546875,630065.625,793.7666015625,4113257.7350983797
25,3285544.8,1812.6141,597479.56,772.9627,3883042.829154235,3427114.25,1851.24658203125,637618.25,798.5100708007812,4064732.8083043983
26,3294043.2,1814.9441,595745.7,771.8473,3889769.5114039714,3457314.25,1859.3857421875,641059.875,800.6622924804688,4098374.4505208335
27,3291183.5,1814.1503,596818.9,772.5459,3887972.5033003036,3540557.75,1881.63720703125,634621.1875,796.6309814453125,4175178.7938368055
28,3280413.2,1811.1997,596716.0,772.48346,3877175.960209882,3447440.25,1856.728759765625,633262.875,795.7781372070312,4080704.042390046
29,3283892.0,1812.1615,596279.7,772.19666,3880221.57059563,3438702.75,1854.3740234375,637529.6875,798.4545288085938,4076232.072482639
30,3280519.0,1811.229,596660.2,772.4391,3877214.0777540575,3418883.75,1849.0220947265625,630673.6875,794.1495971679688,4049556.3618344907
31,3280841.5,1811.3219,596710.4,772.4765,3877607.655113461,3417771.5,1848.721435546875,641789.25,801.1173706054688,4059560.1108217593
32,3271617.8,1808.7765,595355.1,771.6017,3867047.686934142,3430650.0,1852.200927734375,630264.0625,793.891845703125,4060913.884548611
