epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss
0,77476810.0,8802.127,643558.5,802.21875,78120951.52879447,78424640.0,8855.76953125,634676.8125,796.666259765625,79059322.4074074
1,77385000.0,8796.782,643516.56,802.203,78026979.72046606,78332736.0,8850.5791015625,634650.5,796.6495971679688,78967412.41666667
2,77293340.0,8791.66,643486.5,802.184,77936801.37472671,78243464.0,8845.533203125,634625.625,796.634033203125,78878093.94444445
3,77204740.0,8786.603,643463.0,802.1708,77847783.06211579,78154344.0,8840.4921875,634601.625,796.6187744140625,78788920.56481482
4,77115740.0,8781.622,643442.25,802.1565,77760339.65770724,78065560.0,8835.47265625,634585.9375,796.6088256835938,78700140.12037037
5,77028670.0,8776.654,643439.3,802.15546,77673138.82754186,77977160.0,8830.4658203125,634561.9375,796.5939331054688,78611720.48148148
6,76940780.0,8771.563,643397.7,802.12885,77583763.07055223,77888336.0,8825.4375,634529.3125,796.5734252929688,78522864.6388889
7,76851930.0,8766.56,643392.5,802.1245,77495915.84382315,77799520.0,8820.40625,634518.0625,796.56640625,78434065.35185185
8,76760860.0,8761.386,643359.8,802.1057,77405255.77797782,77711216.0,8815.3974609375,634488.125,796.547607421875,78345710.92592593
9,76675670.0,8756.482,643362.94,802.1048,77319297.03397721,77622896.0,8810.384765625,634494.875,796.5517578125,78257384.91666667
10,76585690.0,8751.352,643324.5,802.0834,77229511.13187067,77534320.0,8805.357421875,634492.75,796.550537109375,78168826.16666667
11,76510850.0,8746.365,643307.0,802.07117,77142235.89907148,77446032.0,8800.341796875,634478.375,796.5415649414062,78080491.37037037
12,76410360.0,8741.3,643322.8,802.0791,77053658.04182206,77357944.0,8795.3359375,634434.125,796.5135498046875,77992385.89814815
13,76324110.0,8736.372,643322.94,802.0832,76967584.42377633,77269752.0,8790.322265625,634458.4375,796.5291748046875,77904235.1388889
14,76240216.0,8731.598,643289.0,802.0596,76884108.80310708,77182000.0,8785.3271484375,634436.75,796.5155639648438,77816413.75
15,76148296.0,8726.348,643268.9,802.04956,76792450.24779443,77094032.0,8780.3232421875,634398.375,796.4911499023438,77728438.62037037
16,76064430.0,8721.425,643265.94,802.04663,76706447.357288,77006328.0,8775.322265625,634455.0625,796.52685546875,77640769.26851852
17,75971150.0,8716.148,643337.94,802.0864,76614540.45927107,76918432.0,8770.3154296875,634480.375,796.5427856445312,77552898.68518518
18,75887816.0,8711.364,643225.4,802.0215,76531067.37498392,76830888.0,8765.3251953125,634334.9375,796.4514770507812,77465236.50925925
19,75802050.0,8706.466,643212.9,802.0122,76445735.82664163,76743304.0,8760.32421875,634376.3125,796.477294921875,77377680.37037037
20,75712344.0,8701.262,643233.3,802.0258,76355306.12268834,76655792.0,8755.3291015625,634396.5625,796.4901123046875,77290194.27777778
21,75630970.0,8696.581,643300.6,802.06213,76273925.19221173,76568488.0,8750.3427734375,634455.625,796.5274658203125,77202973.6574074
22,75542420.0,8691.493,643296.44,802.0628,76185359.63414697,76481376.0,8745.3642578125,634442.6875,796.51904296875,77115853.92592593
23,75445380.0,8685.963,643254.6,802.03644,76089210.81344685,76394032.0,8740.3671875,634465.75,796.5335693359375,77028491.47222222
24,75365496.0,8681.296,643304.8,802.06696,76008272.67203374,76307104.0,8735.3955078125,634432.375,796.5126953125,76941520.87037037
25,75281830.0,8676.559,643311.5,802.0646,75926013.70086679,76220408.0,8730.431640625,634411.75,796.4996948242188,76854836.87037037
26,75184410.0,8670.929,643199.7,801.99994,75828248.85804676,76133128.0,8725.4306640625,634321.4375,796.4430541992188,76767461.6111111
27,75109940.0,8666.613,643209.3,802.00616,75753353.50014147,76046656.0,8720.47265625,634334.0625,796.450927734375,76680992.3888889
28,75014390.0,8661.082,643221.2,802.0204,75657610.92044549,75959800.0,8715.4892578125,634315.875,796.4395141601562,76594092.0462963
29,74924510.0,8655.915,643178.3,801.9878,75568119.64350934,75873112.0,8710.517578125,634360.75,796.4674072265625,76507473.92592593
30,74835300.0,8650.698,643159.0,801.9777,75477820.9052702,75786504.0,8705.5439453125,634251.5,796.3990478515625,76420748.24074075
31,74762880.0,8646.582,643150.8,801.9748,75406528.62203246,75700192.0,8700.5869140625,634272.125,796.4120483398438,76334483.91666667
32,74686456.0,8642.173,643193.56,802.0028,75330309.10146865,75614088.0,8695.63671875,634482.875,796.5443115234375,76248579.4074074
33,74595680.0,8636.937,643319.56,802.0819,75240040.69405077,75527696.0,8690.66796875,634437.4375,796.515625,76162151.24074075
34,74504856.0,8631.638,643178.0,801.9927,75148438.76087348,75441704.0,8685.7197265625,634314.0,796.4384155273438,76076013.46296297
35,74415450.0,8626.485,643112.6,801.9511,75059392.61081818,75355680.0,8680.7666015625,634181.5625,796.355224609375,75989896.62037037
36,74328420.0,8621.41,643210.1,802.012,74972006.59646596,75269600.0,8675.8046875,634321.4375,796.4429931640625,75903921.83333333
37,74251440.0,8616.952,643144.25,801.9561,74894938.51580545,75183496.0,8670.84375,634139.875,796.3291015625,75817652.50925925
38,74171624.0,8612.323,643126.44,801.95294,74815202.82929088,75097784.0,8665.896484375,634162.0,796.3427124023438,75731941.49074075
39,74085890.0,8607.311,643085.7,801.9137,74728833.32040434,75012040.0,8660.951171875,634182.875,796.3557739257812,75646232.62037037
40,73989480.0,8601.602,643019.75,801.8916,74630531.56428921,74926264.0,8655.99609375,634118.8125,796.3158569335938,75560386.50925925
41,73902490.0,8596.645,643082.6,801.9311,74545425.03480028,74840688.0,8651.0517578125,634175.125,796.351318359375,75474872.27777778
42,73824616.0,8592.126,643048.4,801.89435,74467718.19532396,74755384.0,8646.119140625,634168.125,796.3466796875,75389550.3611111
43,73735380.0,8586.949,643031.8,801.88745,74378683.76686643,74670048.0,8641.181640625,634149.5625,796.3352661132812,75304170.16666667
44,73667960.0,8583.03,643124.9,801.95886,74311677.11638674,74584800.0,8636.248046875,634114.75,796.3129272460938,75218923.83333333
45,73574730.0,8577.517,643141.75,801.91406,74216858.36425833,74499680.0,8631.3193359375,634313.4375,796.4378051757812,75133978.19444445
46,73495120.0,8572.949,643132.9,801.96265,74138584.38694412,74414520.0,8626.3857421875,634232.0625,796.3867797851562,75048769.81481482
47,73421770.0,8568.583,643033.5,801.89734,74063645.482034,74329688.0,8621.4638671875,634073.875,796.2875366210938,74963748.2962963
48,73345450.0,8564.232,643030.8,801.8989,73989039.78281334,74244776.0,8616.541015625,634282.875,796.4188842773438,74879056.0925926
49,73236930.0,8557.864,643074.4,801.908,73880089.92679852,74159864.0,8611.6103515625,634040.6875,796.2667846679688,74793901.18518518
50,73159256.0,8553.293,643062.06,801.9078,73801848.82028858,74075072.0,8606.6875,634020.125,796.2537841796875,74709093.49074075
51,73070936.0,8548.18,642934.8,801.8404,73714343.39566347,73990560.0,8601.7763671875,633990.875,796.2353515625,74624546.25925925
52,72993656.0,8543.64,642978.1,801.8654,73636720.0997968,73906000.0,8596.8583984375,634108.6875,796.3094482421875,74540072.27777778
53,72893384.0,8537.768,643153.25,801.9748,73536710.47681268,73821528.0,8591.9443359375,634324.3125,796.4447021484375,74455846.2962963
54,72820380.0,8533.481,643217.1,802.0171,73463552.82404383,73737000.0,8587.02734375,634381.1875,796.4805297851562,74371398.07407407
55,72732160.0,8528.321,643225.6,802.0186,73375513.7563209,73652952.0,8582.1279296875,634304.75,796.432373046875,74287228.58333333
56,72673640.0,8524.871,643187.4,801.99664,73316606.11816147,73569128.0,8577.2451171875,634207.5,796.3714599609375,74203324.85185185
57,72577816.0,8519.24,643153.0,801.97644,73220568.36091463,73485248.0,8572.3515625,634365.5625,796.4706420898438,74119581.02777778
58,72525510.0,8516.218,643146.56,801.9719,73169119.1299159,73401200.0,8567.4501953125,634300.5,796.4297485351562,74035490.6111111
59,72394440.0,8508.519,643235.44,802.0221,73038158.78546259,73317080.0,8562.5400390625,634449.5,796.5231323242188,73951549.73148148
60,72320024.0,8504.156,643274.94,802.0535,72963893.23161604,73233272.0,8557.64453125,634294.3125,796.4259643554688,73867577.7962963
61,72231064.0,8498.926,643197.3,801.9968,72874894.96674298,73149320.0,8552.740234375,634243.5625,796.3938598632812,73783582.85185185
62,72174070.0,8495.526,643056.25,801.9118,72817099.11582088,73066184.0,8547.8759765625,634135.4375,796.3262329101562,73700322.78703703
63,72078600.0,8489.877,643000.6,801.8791,72720953.09529567,72982504.0,8542.98046875,634141.9375,796.3302001953125,73616661.87037037
64,71873430.0,8477.812,643071.44,801.9158,72516335.10676715,72535032.0,8516.75,634142.9375,796.3309936523438,73169165.8888889
65,71535490.0,8457.932,642991.25,801.87494,72179620.31497724,72445400.0,8511.4873046875,634058.875,796.2781372070312,73079478.6388889
66,71460430.0,8453.435,643064.94,801.9203,72103674.53679365,72357120.0,8506.298828125,634204.5,796.3696899414062,72991324.5462963
67,71366120.0,8447.893,643059.0,801.916,72009965.42627124,72268704.0,8501.0986328125,634027.875,796.2587280273438,72902734.02777778
68,71294610.0,8443.582,642952.6,801.81866,71936982.84256282,72180776.0,8495.92578125,634016.875,796.2517700195312,72814783.46296297
69,71180090.0,8436.77,642962.5,801.8568,71822097.99768512,72092488.0,8490.7294921875,634060.5,796.2791748046875,72726538.57407407
70,71133384.0,8434.124,643064.4,801.9222,71777543.05789758,72004792.0,8485.5634765625,634210.3125,796.3733520507812,72639019.66666667
71,71014770.0,8427.081,643142.5,801.96277,71658823.16170684,71916680.0,8480.37109375,634315.5,796.4393920898438,72551002.26851852
72,70914060.0,8420.954,643366.1,801.96747,71555568.94806965,71828800.0,8475.1845703125,634096.9375,796.3020629882812,72462889.56481482
73,70849336.0,8417.246,643083.56,801.92804,71493203.40265954,71741440.0,8470.0302734375,634121.4375,796.3173217773438,72375532.71296297
74,70796440.0,8414.1,643082.7,801.93304,71440090.95007588,71653912.0,8464.86328125,634069.5,796.284912109375,72287967.6388889
75,70685240.0,8407.449,642975.5,801.86115,71328153.38244297,71566400.0,8459.693359375,634307.5625,796.4342651367188,72200707.0925926
76,70603496.0,8402.639,643152.1,801.9735,71247485.71527046,71479368.0,8454.548828125,634020.5,796.2540283203125,72113395.60185185
77,70497290.0,8396.304,643177.56,801.98846,71141108.27655032,71392040.0,8449.3818359375,634257.3125,796.4026489257812,72026296.98148148
78,70445300.0,8393.159,643062.56,801.92114,71088058.17567325,71305232.0,8444.244140625,634118.6875,796.315673828125,71939360.26851852
79,70320140.0,8385.7,642955.9,801.8547,70963006.21178529,71217784.0,8439.064453125,633950.6875,796.210205078125,71851744.33333333
80,70280136.0,8383.367,642905.94,801.8233,70923842.78752026,71131176.0,8433.9287109375,634092.75,796.2992553710938,71765248.57407407
81,70174056.0,8377.01,643009.3,801.886,70817282.70469919,71044496.0,8428.7890625,634264.875,796.407470703125,71678738.56481482
82,70108130.0,8373.118,643063.1,801.9177,70752222.45551583,70958008.0,8423.6572265625,634158.0,796.3403930664062,71592187.06481482
83,69990450.0,8366.014,643035.1,801.9051,70633253.1036292,70871240.0,8418.505859375,634121.25,796.3173217773438,71505372.5462963
84,69891820.0,8360.15,642966.56,801.8584,70535111.9666658,70784656.0,8413.3623046875,634050.5625,796.2728271484375,71418712.07407407
85,69829730.0,8356.396,643156.2,801.90546,70472343.88559377,70698272.0,8408.2236328125,634152.125,796.3369750976562,71332407.56481482
