epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,second_out_loss,second_out_root_mean_squared_error,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss,val_second_out_loss,val_second_out_root_mean_squared_error
0,8367183.5,2892.635,621821.6,788.56494,9770967.20086197,781789.44,884.19775,6713737.0,2591.087890625,629298.5625,793.283203125,8192466.811921297,849431.625,921.646240234375
1,6254070.5,2500.8362,604938.75,777.78485,7617945.469366496,758805.8,871.1006,6170759.0,2484.1005859375,625251.5625,790.7284545898438,7637933.894097222,841924.0,917.564208984375
2,6167552.0,2483.455,603944.3,777.1357,7523407.98559473,751935.1,867.1315,6774690.5,2602.823486328125,629855.0625,793.6342163085938,8262405.897858797,857862.5,926.2088012695312
3,6185888.0,2487.1636,602517.75,776.2294,7538751.242013684,750219.1,866.1615,6204282.5,2490.839599609375,645722.125,803.5685424804688,7687936.330729167,837932.125,915.3864135742188
4,6102131.0,2470.2668,601316.9,775.45374,7453389.359535353,749834.6,865.9376,6535907.5,2556.5419921875,638183.875,798.864013671875,8015554.030092592,841464.5625,917.313720703125
5,6092971.5,2468.404,599223.8,774.10065,7439467.083103989,747201.2,864.41705,6292194.5,2508.424560546875,627788.9375,792.3313598632812,7756221.922453703,836238.9375,914.4609985351562
6,6062087.5,2462.1157,600946.9,775.19165,7409893.420143265,746997.0,864.2665,7000668.5,2645.87744140625,628111.25,792.5347290039062,8458418.242766203,829639.875,910.8453979492188
7,6049144.5,2459.515,599038.06,773.98456,7393754.647891535,745473.4,863.41736,6508786.0,2551.232421875,643215.25,802.0071411132812,7998238.672743056,846237.75,919.9119262695312
8,6065017.0,2462.7468,600036.0,774.6243,7410868.026299545,745701.75,863.5439,6189227.5,2487.815673828125,637946.5625,798.715576171875,7658777.864583333,831603.9375,911.923095703125
9,6034407.0,2456.5222,598522.7,773.64795,7377383.579757066,744346.5,862.75964,6265072.0,2503.012939453125,655072.5,809.3656005859375,7767191.478877314,847046.75,920.351318359375
10,6032304.5,2456.0596,595051.5,771.3912,7370067.135142043,742797.25,861.8546,6212978.0,2492.584228515625,627112.5,791.9042358398438,7672813.881944444,832724.5,912.537353515625
11,6010436.5,2451.6108,598932.2,773.8793,7352308.638448777,743072.56,861.98846,6079019.5,2465.56640625,632448.25,795.2660522460938,7539495.208622686,828029.1875,909.961181640625
12,5989225.5,2447.315,597035.56,772.69,7329468.5485866405,743062.0,862.02,6621427.0,2573.213134765625,629409.5625,793.3533325195312,8085995.404803241,835159.4375,913.870849609375
13,6020039.5,2453.572,598794.5,773.82074,7362446.665947556,743652.75,862.3435,6138085.5,2477.51611328125,639053.9375,799.4087524414062,7617338.860243056,840199.625,916.6240234375
14,6008024.5,2451.1064,597115.6,772.7328,7346948.665146994,741902.7,861.3399,6177797.5,2485.51806640625,650424.0,806.4885864257812,7682148.936053241,853927.75,924.0822143554688
15,5990984.5,2447.5068,598279.1,773.4699,7331497.75281,742986.9,861.9472,6699207.5,2588.282470703125,651336.9375,807.0545043945312,8203819.475983797,853276.3125,923.7298583984375
16,6003503.5,2450.213,597305.7,772.8558,7343275.048142957,742455.8,861.64,6489172.0,2547.385986328125,640236.375,800.1475830078125,7968143.459490741,838732.5,915.8233032226562
17,5988656.5,2447.1309,597597.1,773.04974,7327792.237377505,741724.3,861.242,6086624.5,2467.1083984375,643479.625,802.1716918945312,7577606.087962963,847501.4375,920.5984497070312
18,5957340.0,2440.789,595917.25,771.964,7294284.663873814,740894.4,860.7595,6281917.0,2506.37548828125,633167.4375,795.7182006835938,7764605.538483797,849522.0625,921.6949462890625
19,5956972.0,2440.708,596508.3,772.34576,7295489.259744978,741899.06,861.3429,6127835.5,2475.446533203125,657700.9375,810.9876098632812,7627404.479456019,841868.75,917.5341796875
20,5968929.5,2443.144,596601.56,772.4046,7306902.045194707,741336.3,861.01135,6216089.0,2493.208251953125,632115.875,795.05712890625,7689141.014756944,840934.75,917.02490234375
21,5952955.0,2439.891,596937.0,772.61926,7290632.096961085,740609.25,860.59314,6269090.5,2503.815185546875,647706.25,804.8019409179688,7750598.515625,833801.1875,913.1270751953125
22,5937893.5,2436.6772,596428.1,772.291,7274098.643829253,740255.75,860.38617,6136276.5,2477.15087890625,630105.75,793.7920532226562,7597149.725694444,830766.4375,911.4638061523438
23,5965356.0,2442.3691,597129.06,772.74506,7302791.334393246,740483.9,860.51495,6160246.5,2481.983642578125,634467.6875,796.5347900390625,7626751.041956019,832039.75,912.1622314453125
24,5952729.5,2439.823,595351.5,771.59937,7289092.881999279,740981.44,860.8137,6159173.5,2481.768310546875,631400.8125,794.6072998046875,7630513.797453703,839939.3125,916.4820556640625
25,5945584.0,2438.376,597436.8,772.9478,7283428.225041153,740294.0,860.4111,6163859.5,2482.7119140625,636321.75,797.69775390625,7642459.617476852,842279.6875,917.7579956054688
26,5932068.5,2435.5996,596438.94,772.3035,7269813.372804085,741202.3,860.94055,6179839.0,2485.928466796875,638238.875,798.8984985351562,7663528.561921297,845450.5,919.48388671875
27,5952047.0,2439.698,596735.9,772.49414,7289715.002964325,740835.2,860.72485,6226963.5,2495.388427734375,642704.0,801.6883544921875,7709950.814525463,840282.3125,916.6693725585938
28,5947720.0,2438.8145,595168.75,771.4756,7283669.110769953,740663.8,860.62726,6065841.0,2462.892333984375,630045.3125,793.7539672851562,7533590.256944444,837704.375,915.26220703125
29,5932581.5,2435.6992,596699.8,772.4726,7269824.050946526,740454.4,860.5072,6203693.5,2490.72216796875,638735.625,799.2093505859375,7679247.789930556,836818.3125,914.7777099609375
30,5936455.0,2436.5034,596200.2,772.1475,7271947.369132437,739165.0,859.75665,6178796.0,2485.719482421875,632556.9375,795.3345336914062,7645768.511863426,834411.1875,913.4611206054688
31,5950492.0,2439.381,595935.6,771.97784,7286383.82714158,739835.06,860.1454,6150296.5,2479.97900390625,639094.4375,799.4337768554688,7637410.459780092,848020.5,920.8803100585938
32,5939098.5,2437.0298,595588.75,771.75024,7274465.054434913,739747.75,860.0802,6179394.0,2485.8388671875,641545.6875,800.96533203125,7655884.705729167,834943.4375,913.75244140625
33,5929827.0,2435.1433,595081.75,771.4219,7265352.293307441,740323.4,860.4275,6200605.0,2490.1015625,631803.5625,794.860595703125,7667124.491319444,834714.0625,913.6270751953125
34,5934546.0,2436.118,596331.44,772.2319,7271164.319555544,740138.06,860.3217,6089431.5,2467.67724609375,637119.0625,798.1973266601562,7563492.392071759,836942.5625,914.8455200195312
35,5923624.5,2433.87,594893.2,771.30176,7257780.900023148,739140.4,859.74194,6155793.0,2481.086669921875,630882.9375,794.281494140625,7619557.665798611,832882.4375,912.6240844726562
36,5932845.0,2435.7593,596144.7,772.10736,7269015.1990277525,739920.75,860.19574,6183988.5,2486.7626953125,640906.9375,800.5665893554688,7659819.504340278,834923.9375,913.74169921875
37,5944020.5,2438.0188,594810.7,771.24927,7278293.425107384,739514.25,859.9607,6155655.0,2481.059326171875,653896.75,808.6387329101562,7654259.24681713,844709.625,919.0811157226562
38,5936164.5,2436.436,596337.5,772.2227,7271820.788012166,739280.7,859.8082,6165650.0,2483.072509765625,640989.4375,800.6182250976562,7645901.191550926,839261.5,916.1122436523438
39,5919255.5,2432.9783,594875.8,771.2918,7253155.192481803,738857.56,859.5789,6124452.5,2474.763916015625,632929.5625,795.5684814453125,7592995.248553241,835610.0625,914.1170043945312
40,5926085.5,2434.3667,595189.1,771.4935,7260128.1933723865,738768.2,859.525,6176023.5,2485.1611328125,630220.8125,793.864501953125,7645406.131076389,839159.625,916.056640625
41,5912974.5,2431.6785,596163.8,772.12494,7248171.59481661,738918.25,859.6126,6532507.5,2555.876953125,637423.625,798.3882446289062,8014184.025173611,844252.75,918.8321533203125
42,5912955.5,2431.6577,594916.06,771.2943,7247161.490319324,739330.8,859.831,6167138.0,2483.3720703125,630662.8125,794.14306640625,7635526.876446759,837725.75,915.2737426757812
43,5920940.0,2433.3164,595097.6,771.4346,7255488.364891715,739330.06,859.85095,6077122.0,2465.181396484375,631385.1875,794.5977172851562,7549083.025462963,840578.3125,916.8305053710938
44,5913067.0,2431.6992,595576.56,771.7457,7248030.883770802,739260.2,859.81213,6188983.5,2487.7666015625,637968.6875,798.7294311523438,7667156.769965278,840203.9375,916.6258544921875
45,5910807.0,2431.2375,595392.94,771.62506,7244962.534620232,738626.56,859.4423,6127126.5,2475.30322265625,637330.3125,798.329833984375,7607210.920138889,842754.3125,918.0165405273438
46,5917285.0,2432.5608,595239.6,771.5239,7251671.189520692,739060.1,859.69324,6133847.0,2476.660888671875,642215.5,801.3837890625,7611534.841145833,835471.3125,914.041259765625
47,5935577.0,2436.1472,594994.6,771.36346,7268631.134516706,738810.94,859.53973,6103354.0,2470.496826171875,634886.0625,796.7972412109375,7579503.792824074,841263.25,917.203857421875
48,5920979.0,2433.3164,595335.3,771.58453,7254751.798097945,738384.3,859.29474,6127190.5,2475.31591796875,641339.25,800.836669921875,7601685.67650463,833157.9375,912.7748413085938
49,5914088.5,2431.913,594871.1,771.287,7247799.591585432,738696.6,859.4819,6143664.5,2478.6416015625,634052.6875,796.2742919921875,7613253.265335648,835535.5625,914.0762329101562
50,5920136.0,2433.1565,594777.2,771.2268,7254115.679110188,739057.7,859.694,6221053.5,2494.203857421875,639420.375,799.6376342773438,7699701.435763889,839228.875,916.0943603515625
51,5913209.0,2431.7092,594772.06,771.224,7246897.222549449,738884.6,859.59357,6173758.0,2484.70458984375,629494.25,793.4065551757812,7638115.125578703,834865.5,913.7098999023438
52,5901879.0,2429.3572,594040.3,770.74536,7234452.253752026,738631.44,859.4363,6145234.5,2478.9580078125,632815.9375,795.4972534179688,7618668.767939814,840618.4375,916.8525390625
53,5923836.5,2433.8945,595155.0,771.4689,7257817.590569459,738806.94,859.5388,6080710.0,2465.90966796875,634841.125,796.76904296875,7550367.092303241,834815.5,913.6824340820312
54,5907114.5,2430.4614,594225.2,770.8648,7239939.301378958,738577.56,859.4007,6189188.5,2487.807861328125,641981.6875,801.2376098632812,7675332.982349537,844162.3125,918.7828369140625
55,5908673.0,2430.778,593394.75,770.3097,7239819.180174387,737781.75,858.92755,6067215.5,2463.171630859375,629270.9375,793.265869140625,7532608.820601852,836123.875,914.3980102539062
56,5912169.0,2431.515,595052.44,771.4043,7246524.9563887315,739174.0,859.76215,6178322.5,2485.623046875,645020.125,803.131591796875,7660603.188368056,837262.0625,915.0202026367188
57,5912271.5,2431.5425,593504.44,770.4013,7244550.995648358,738614.0,859.4368,6054409.0,2460.571044921875,631211.75,794.488525390625,7517492.730613426,831871.75,912.0701904296875
58,5890887.5,2427.1409,594795.75,771.2371,7224430.27895522,738598.0,859.4249,6148372.5,2479.591796875,637084.875,798.1760864257812,7621504.1640625,836045.1875,914.3551635742188
59,5903321.0,2429.5383,594698.3,771.17334,7236707.512596775,739334.0,859.8517,6123479.5,2474.56640625,641578.875,800.9862060546875,7600753.77662037,835695.5,914.1640014648438
60,5898479.5,2428.6887,595239.6,771.5211,7232413.337511896,738631.8,859.4443,6327567.0,2515.465576171875,635322.3125,797.0709838867188,7795518.501736111,832628.75,912.4849243164062
