epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,second_out_loss,second_out_root_mean_squared_error,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss,val_second_out_loss,val_second_out_root_mean_squared_error
0,154363470.0,12424.394,643555.1,802.2187,155824182.051596,815027.75,902.7783,156228096.0,12499.1259765625,634676.8125,796.6659545898438,157743536.2777778,880767.3125,938.4918212890625
1,154260380.0,12420.152,643517.94,802.20044,155718688.0843643,814900.9,902.71906,156098432.0,12493.9345703125,634651.9375,796.6503295898438,157613731.7037037,880643.6875,938.4263305664062
2,154123460.0,12414.719,643491.9,802.1848,155583408.03436303,814776.5,902.6524,155969360.0,12488.7685546875,634628.375,796.6355590820312,157484527.94444445,880506.5,938.3529052734375
3,153998640.0,12409.616,643473.7,802.1715,155456599.3954577,814653.75,902.5817,155842848.0,12483.701171875,634614.25,796.6266479492188,157357837.03703704,880358.5,938.2742309570312
4,153873150.0,12404.609,643453.1,802.15265,155332204.52892306,814543.2,902.5045,155716896.0,12478.6591796875,634584.8125,796.6084594726562,157231735.03703704,880197.125,938.1884155273438
5,153746100.0,12399.489,643440.4,802.1472,155205124.08364412,814400.4,902.4322,155591456.0,12473.626953125,634559.9375,796.5926513671875,157106117.46296296,880148.5,938.1621704101562
6,153625920.0,12394.549,643433.1,802.1317,155082580.95115614,814330.75,902.40375,155465296.0,12468.5712890625,634538.75,796.5792236328125,156979950.6111111,880125.4375,938.1499633789062
7,153493780.0,12389.33,643389.25,802.12585,154953192.5356105,814239.3,902.3628,155339136.0,12463.5146484375,634545.5625,796.5836791992188,156853645.07407406,879922.3125,938.041748046875
8,153369630.0,12384.311,643390.06,802.11316,154828647.93436044,814135.7,902.2968,155213904.0,12458.490234375,634532.5,796.5752563476562,156728256.85185185,879791.75,937.9722290039062
9,153248750.0,12379.393,643375.75,802.1157,154706756.38694412,813937.94,902.1954,155088816.0,12453.462890625,634513.4375,796.5634765625,156602908.96296296,879580.0,937.8592529296875
10,153038860.0,12370.936,643340.75,802.0941,154497199.9174876,813868.5,902.15436,154866496.0,12444.53515625,634506.6875,796.5592651367188,156380497.0,879505.6875,937.8197631835938
11,152898910.0,12365.201,643325.9,802.0815,154355294.65552098,813718.7,902.06555,154732368.0,12439.1435546875,634507.6875,796.5595703125,156246151.7962963,879350.3125,937.7368774414062
12,152766000.0,12359.717,643309.0,802.0741,154219357.12729236,813654.44,902.03754,154598896.0,12433.7783203125,634476.0,796.5400390625,156112747.5925926,879386.6875,937.756103515625
13,152604750.0,12353.304,643335.75,802.09064,154061209.0018776,813675.06,902.04785,154421584.0,12426.6474609375,634442.8125,796.5192260742188,155935275.94444445,879222.875,937.6688842773438
14,152441740.0,12346.793,643346.9,802.0846,153899999.2143831,813526.56,901.956,154260880.0,12420.1787109375,634420.6875,796.5052490234375,155774256.5,878993.1875,937.546142578125
15,152282340.0,12340.296,643258.9,802.0347,153739554.04079324,813362.5,901.86707,154100448.0,12413.7216796875,634399.1875,796.4918823242188,155613782.37037036,878931.5625,937.5134887695312
16,152125040.0,12333.838,643290.3,802.038,153580429.17194372,813466.06,901.9133,153941024.0,12407.2978515625,634477.5625,796.5408935546875,155455058.2037037,879522.75,937.8289794921875
17,151951440.0,12326.91,643246.9,802.0272,153409379.73219475,813354.56,901.86456,153781040.0,12400.845703125,634394.25,796.4886474609375,155294255.6851852,878870.375,937.4808349609375
18,151796240.0,12320.546,643191.8,801.99854,153252468.7764603,813310.9,901.83984,153621680.0,12394.4169921875,634340.5625,796.4552001953125,155135300.94444445,879298.5,937.709228515625
19,151647410.0,12314.387,643226.2,801.9841,153100953.0302734,813519.25,901.92596,153462352.0,12387.9931640625,634333.875,796.4507446289062,154975818.33333334,879149.6875,937.6298217773438
20,151486160.0,12307.92,643227.75,802.01324,152941407.06129274,813136.3,901.7374,153303280.0,12381.5732421875,634361.25,796.4679565429688,154816988.42592594,879301.9375,937.7108154296875
21,151329680.0,12301.677,643199.25,802.00146,152787657.3199928,813163.8,901.7576,153144624.0,12375.1611328125,634353.5625,796.4633178710938,154657854.9814815,878875.5,937.4835205078125
22,151175220.0,12295.279,643172.5,801.9852,152630183.95329097,813092.7,901.71204,152985680.0,12368.736328125,634360.3125,796.4674072265625,154498692.8888889,878641.125,937.3587036132812
23,150999550.0,12288.247,643167.1,801.9825,152457593.78379074,813392.56,901.8865,152826560.0,12362.30078125,634288.5625,796.42236328125,154339923.0925926,879084.0625,937.5948486328125
24,150855570.0,12282.356,643151.75,801.97174,152312531.07723963,813052.25,901.6907,152668448.0,12355.9091796875,634263.0625,796.40625,154181222.4074074,878502.0625,937.2843017578125
25,150702370.0,12276.04,643103.3,801.94366,152157445.26968285,813027.44,901.68634,152510144.0,12349.498046875,634296.9375,796.4275512695312,154023238.75925925,878792.875,937.4392700195312
26,150538160.0,12269.501,643296.7,802.067,151996850.7835078,812930.75,901.6358,152351984.0,12343.0947265625,634399.0625,796.49169921875,153864650.03703704,878262.125,937.15625
27,150381010.0,12263.069,643211.56,802.0133,151839040.3395149,813066.5,901.71155,152194240.0,12336.7021484375,634305.5,796.43310546875,153707425.3148148,878877.6875,937.484619140625
