epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss
0,4048266.8,2012.0485,551827.94,742.8587,4600178.507282209,3367758.25,1835.1453857421875,540052.6875,734.8826904296875,3907811.399016204
1,3203496.8,1789.847,524602.0,724.30096,3728163.2300358163,3074862.25,1753.528076171875,543586.5,737.2830810546875,3618448.2418981483
2,3078373.2,1754.5225,513921.62,716.8844,3592271.678411707,3203575.75,1789.8531494140625,546393.75,739.184326171875,3749969.2866030093
3,3050735.5,1746.6504,504991.66,710.63617,3555789.8874070835,3018267.0,1737.3155517578125,541285.6875,735.7210693359375,3559551.559027778
4,2927009.8,1710.8628,499552.5,706.79706,3426611.3890387486,3044438.5,1744.831787109375,570937.9375,755.604248046875,3615375.9599247687
5,2869700.2,1694.0273,482701.0,694.77,3352433.336106896,3096678.25,1759.73828125,540869.875,735.438720703125,3637548.623842593
6,2829648.5,1682.1438,479764.78,692.6289,3309343.4735895344,3250308.75,1802.8607177734375,619210.4375,786.8992919921875,3869518.7356770835
7,2804397.2,1674.6459,477342.97,690.9076,3281791.5352857583,3100987.25,1760.9620361328125,542704.125,736.6846313476562,3643691.7641782407
8,2767523.2,1663.5979,464951.47,681.8762,3232509.693922973,3014209.5,1736.148193359375,586616.4375,765.9087524414062,3600826.3602430555
9,2726459.8,1651.2086,460376.4,678.5125,3186869.3184286505,3037011.25,1742.70263671875,580678.0625,762.0224609375,3617689.9055266203
10,2725614.2,1650.9144,456109.9,675.355,3181625.7365914118,3248081.25,1802.2432861328125,575174.5,758.4027099609375,3823254.4892939813
11,2693346.8,1641.1187,451844.53,672.1908,3145111.004435235,3258029.75,1805.0013427734375,603616.125,776.9274291992188,3861645.9265046297
12,2692191.2,1640.8059,448088.7,669.4026,3140346.263693125,3718544.25,1928.35302734375,576418.875,759.2225341796875,4294964.24681713
13,2697762.5,1642.4944,443066.94,665.63635,3140860.232886005,3106573.75,1762.547607421875,553426.3125,743.9262084960938,3660000.2119502313
14,2651109.2,1628.2024,445229.56,667.2556,3096273.597936868,3092659.75,1758.595947265625,566518.6875,752.6743774414062,3659178.3747106483
15,2639830.8,1624.6625,442250.6,665.0066,3081764.3405726743,3097276.25,1759.9085693359375,576622.5625,759.3565673828125,3673899.419849537
16,2644535.8,1626.2015,440068.1,663.3745,3084596.93842595,3807195.25,1951.203369140625,545974.75,738.9011840820312,4353168.868634259
17,2595231.8,1610.9698,437829.75,661.69366,3033064.9762532474,3424728.0,1850.6021728515625,618693.9375,786.5709838867188,4043422.184027778
18,2575881.5,1604.9705,435271.2,659.75684,3011210.4373046826,3027115.0,1739.860107421875,552238.25,743.12744140625,3579352.171296296
19,2570849.2,1603.3987,434404.75,659.0973,3005299.8616621443,3170917.25,1780.7071533203125,570532.5625,755.3360595703125,3741450.3791956017
20,2566927.0,1602.1688,429157.7,655.10455,2996108.4438305385,3083811.25,1756.078125,554470.9375,744.6280517578125,3638281.62890625
