epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss
0,4605685.0,2146.1045,577118.56,759.6859,5182886.479794684,3438636.75,1854.355712890625,556420.875,745.9362182617188,3995056.4971064813
1,3121359.2,1766.7563,536803.4,732.6769,3658243.531895432,3296836.25,1815.718994140625,557780.5,746.8469848632812,3854616.653935185
2,3062172.0,1749.9135,534162.2,730.8656,3596363.784255318,3321352.0,1822.4578857421875,553683.25,744.0989990234375,3875036.255642361
3,3015642.0,1736.575,532374.25,729.6425,3548072.7328522466,3311668.75,1819.79931640625,553273.875,743.823974609375,3864943.1494502313
4,3003759.0,1733.094,530307.25,728.21655,3533913.5902447337,3272066.0,1808.884765625,553133.3125,743.7293701171875,3825199.8713831017
5,2986009.5,1728.0181,528558.5,727.02795,3514616.4580654083,3290446.75,1813.958984375,555919.9375,745.6004028320312,3846366.6051793983
6,2985907.5,1727.885,528135.9,726.7299,3513720.2607320147,3368459.25,1835.33642578125,553393.25,743.9041748046875,3921853.093894676
7,2978437.2,1725.752,528123.75,726.7236,3506344.6150797987,3304268.5,1817.7645263671875,547249.125,739.7628784179688,3851517.190972222
8,2979132.8,1726.0282,528023.9,726.6555,3507205.654514648,3223735.0,1795.4759521484375,553086.75,743.6981201171875,3776821.657986111
9,2969437.8,1723.223,527156.75,726.06445,3496663.178031521,3253776.25,1803.822265625,550904.5625,742.2293701171875,3804680.3541666665
10,2970195.8,1723.432,524980.3,724.5612,3495208.8551612054,3707835.0,1925.5738525390625,542597.1875,736.612060546875,4250431.889178241
11,2975786.8,1725.0475,528180.5,726.762,3503977.105755999,3227526.0,1796.531494140625,547959.75,740.2431030273438,3775484.730902778
12,2962160.0,1721.105,526800.9,725.81744,3489015.539979809,3212551.0,1792.35888671875,555084.75,745.0401000976562,3767635.7272858797
13,2955949.0,1719.3082,525977.1,725.2512,3482007.860221778,3244418.0,1801.2269287109375,553153.875,743.7432250976562,3797572.2965856483
14,2958963.5,1720.1696,525320.25,724.79694,3484315.465656267,3279370.0,1810.90234375,556048.25,745.6866455078125,3835418.6587094907
15,2945424.0,1716.2346,525441.75,724.8802,3470909.8726401143,3243400.0,1800.9442138671875,546262.75,739.0960083007812,3789663.161892361
16,2951523.2,1718.0078,525472.06,724.90295,3477035.3315623472,3324745.5,1823.388671875,555750.5625,745.48681640625,3880495.872829861
17,2947780.8,1716.9261,525947.44,725.23083,3473795.214440154,3249631.0,1802.673095703125,551881.3125,742.88720703125,3801512.5237268517
18,2944129.0,1715.8635,524420.3,724.1772,3468619.348560598,3247892.5,1802.1905517578125,550666.625,742.069091796875,3798558.755931713
