epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss
0,76728170.0,8759.49,563636.0,750.758,77292335.59597726,77841600.0,8822.7890625,546654.1875,739.3607177734375,78388230.99074075
1,76655384.0,8755.211,563594.3,750.7363,77217338.65706423,77769768.0,8818.716796875,546629.5625,739.3441162109375,78316408.32407407
2,76576870.0,8750.816,563561.44,750.7155,77140393.33079554,77679728.0,8813.609375,546551.125,739.2909545898438,78226263.37037037
3,76490696.0,8745.865,563518.7,750.6882,77053708.47964196,77602520.0,8809.2294921875,546597.6875,739.322265625,78149136.5
4,76414250.0,8741.581,563519.6,750.6867,76978797.45826796,77526752.0,8804.9287109375,546477.25,739.2410278320312,78073223.3611111
5,76338904.0,8737.277,563437.6,750.6338,76903439.55307493,77451360.0,8800.6474609375,546428.8125,739.2081298828125,77997806.57407407
6,76264210.0,8732.922,563418.56,750.61743,76827267.80750534,77375680.0,8796.3447265625,546548.9375,739.2893676757812,77922236.05555555
7,76179224.0,8728.101,563447.06,750.6367,76743220.34527637,77276744.0,8790.7177734375,546380.125,739.1754150390625,77823133.76851852
8,76078090.0,8722.339,563372.2,750.5896,76642528.57810129,77181256.0,8785.2880859375,546364.5625,739.1649169921875,77727619.31481482
9,75985990.0,8717.01,563351.5,750.5734,76549592.60104427,77086992.0,8779.9189453125,546321.75,739.1356811523438,77633299.10185185
10,75890460.0,8711.548,563305.3,750.54333,76454361.71115512,76992608.0,8774.541015625,546257.0625,739.0921020507812,77538851.21296297
11,75807370.0,8706.128,563337.6,750.5641,76360051.24072121,76898520.0,8769.1796875,546232.6875,739.0753784179688,77444739.98148148
12,75703380.0,8700.771,563293.0,750.53375,76266753.80251549,76804696.0,8763.830078125,546238.875,739.0796508789062,77350937.37962963
13,75611220.0,8695.475,563226.5,750.4934,76174600.51595977,76710752.0,8758.466796875,546179.5625,739.0394897460938,77256922.77777778
14,75520950.0,8690.318,563340.5,750.5677,76084908.16584788,76617184.0,8753.125,546246.0625,739.0846557617188,77163436.62962963
15,75424500.0,8684.771,563311.8,750.5501,75988632.11203992,76523616.0,8747.7763671875,546231.6875,739.0750732421875,77069838.75925925
16,75334040.0,8679.43,563241.9,750.50165,75895731.58023612,76430176.0,8742.4345703125,546096.5,738.9833374023438,76976261.4074074
17,75235016.0,8673.82,563229.3,750.4892,75798363.39401734,76336536.0,8737.078125,546368.4375,739.1674194335938,76882902.01851852
18,75142590.0,8668.484,563278.5,750.52625,75705887.6654235,76224056.0,8730.6416015625,546380.0625,739.1754150390625,76770462.43518518
19,75026856.0,8661.826,563287.1,750.5311,75590553.7600247,76109488.0,8724.0751953125,546203.375,739.0556640625,76655694.0925926
20,74909240.0,8654.99,563272.3,750.52246,75472180.70444198,75997424.0,8717.6484375,546235.875,739.0776977539062,76543655.44444445
21,74803384.0,8648.881,563224.25,750.4849,75366352.1558682,75885864.0,8711.251953125,546149.5,739.01953125,76432041.56481482
22,74692000.0,8642.433,563243.6,750.5002,75254799.5766352,75774776.0,8704.8701171875,546418.8125,739.2017211914062,76321192.76851852
23,74570024.0,8635.421,563191.06,750.46484,75133715.0170529,75663272.0,8698.46484375,546160.5,739.0265502929688,76209438.89814815
24,74467150.0,8629.404,563183.75,750.45685,75029804.42871474,75552400.0,8692.087890625,546064.9375,738.962158203125,76098460.50925925
25,74359016.0,8623.221,563104.2,750.3977,74923037.70241004,75441784.0,8685.7216796875,546079.625,738.9719848632812,75987838.50925925
26,74265780.0,8617.798,563231.56,750.48895,74829608.43334448,75331040.0,8679.34765625,546024.625,738.9347534179688,75877091.42592593
27,74141140.0,8610.534,563147.25,750.4376,74704533.80117801,75220496.0,8672.9736328125,545976.125,738.9019165039062,75766451.7037037
28,74019510.0,8603.458,563185.75,750.4656,74582712.36482419,75109760.0,8666.5869140625,546124.9375,739.002685546875,75655876.41666667
29,73909120.0,8597.0625,563263.75,750.5136,74472754.12772962,74999512.0,8660.2265625,546237.5625,739.0787963867188,75545744.17592593
30,73797470.0,8590.503,563245.7,750.502,74360070.86694616,74889208.0,8653.8564453125,546278.3125,739.1063232421875,75435505.01851852
31,73695030.0,8584.611,563287.4,750.5319,74258857.90797089,74779216.0,8647.5,546292.5625,739.1160278320312,75325523.56481482
32,73603380.0,8579.275,563202.75,750.4772,74167234.7558322,74669712.0,8641.1640625,546279.125,739.1068115234375,75215992.25
33,73488500.0,8572.602,563217.75,750.4873,74052697.48049076,74559912.0,8634.80859375,546090.8125,738.9796752929688,75105994.41666667
34,73372000.0,8565.765,563175.06,750.45935,73935492.92234883,74450440.0,8628.4677734375,546161.8125,739.027587890625,74996589.8888889
35,73260630.0,8559.293,563123.6,750.4236,73824581.5172201,74341184.0,8622.1337890625,545860.5,738.8236694335938,74887030.82407407
36,73146740.0,8552.613,563048.44,750.37305,73710183.85071632,74231656.0,8615.78125,546073.1875,738.9675903320312,74777740.93518518
37,73049310.0,8546.918,563127.5,750.41095,73612886.93320301,74122352.0,8609.435546875,545856.875,738.8212890625,74668223.51851852
38,72946010.0,8540.875,562964.56,750.31116,73509506.23195042,74013456.0,8603.1083984375,545826.5625,738.80078125,74559292.6111111
39,72837130.0,8534.464,563220.1,750.4681,73400256.8312971,73904568.0,8596.7763671875,545829.5,738.802734375,74450386.6388889
40,72716216.0,8527.264,562919.8,750.2864,73277170.28215747,73795664.0,8590.44140625,545793.0625,738.7781982421875,74341489.85185185
41,72606990.0,8520.962,562949.3,750.3056,73169753.56259163,73687120.0,8584.119140625,546052.0625,738.9531860351562,74233156.8888889
42,72506470.0,8515.067,563159.9,750.43115,73069538.17711361,73578824.0,8577.8115234375,546045.5625,738.948974609375,74124893.0925926
43,72395150.0,8508.554,563028.94,750.34674,72958454.01023689,73470624.0,8571.5029296875,545694.0625,738.7112426757812,74016328.62037037
44,72311930.0,8503.672,562969.56,750.32056,72875463.4539983,73362680.0,8565.2021484375,545759.3125,738.7552490234375,73908434.47222222
45,72193720.0,8496.636,563174.2,750.3627,72755803.74690707,73254664.0,8558.892578125,546108.375,738.9913940429688,73800757.55555555
46,72088984.0,8490.546,563161.5,750.44727,72652548.45628746,73146840.0,8552.59375,546221.1875,739.06787109375,73693071.26851852
47,71996536.0,8485.007,563221.1,750.4824,72558507.59824069,73039368.0,8546.306640625,546144.75,739.016357421875,73585506.10185185
48,71888270.0,8478.72,563167.44,750.4522,72451842.24830885,72931744.0,8540.0068359375,546130.875,739.0067749023438,73477880.32407407
49,71757050.0,8470.95,563231.6,750.4789,72320286.18184625,72824312.0,8533.716796875,546094.5,738.982177734375,73370415.52777778
50,71665870.0,8465.557,563152.56,750.43384,72228688.4184264,72717112.0,8527.4326171875,546132.3125,739.0075073242188,73263252.91666667
51,71549750.0,8458.731,563078.25,750.3922,72113238.05447671,72610056.0,8521.154296875,546050.875,738.952392578125,73156117.91666667
52,71448710.0,8452.746,563085.25,750.396,72011932.0813807,72503024.0,8514.87109375,545772.625,738.76416015625,73048804.33333333
53,71329750.0,8445.705,562973.4,750.32196,71892971.93569793,72396400.0,8508.6064453125,545657.0,738.68603515625,72942033.78703703
54,71239890.0,8440.371,562863.1,750.2506,71802752.9419481,72289608.0,8502.3291015625,545587.4375,738.6387329101562,72835199.23148148
55,71125020.0,8433.578,562872.5,750.254,71688054.46878777,72183336.0,8496.0791015625,545537.125,738.6046142578125,72728860.98148148
56,71043290.0,8428.705,562756.94,750.17865,71605823.89475039,72077384.0,8489.8408203125,545665.5625,738.691650390625,72623062.42592593
57,70921460.0,8421.462,562843.25,750.2372,71483882.02546361,71971376.0,8483.5947265625,545527.25,738.5980834960938,72516908.2962963
58,70860320.0,8417.882,562876.9,750.2584,71423655.51325908,71865440.0,8477.34765625,545552.9375,738.615478515625,72410993.47222222
59,70705110.0,8408.663,562711.25,750.1434,71268257.4506546,71759376.0,8471.091796875,545524.0625,738.5958251953125,72304927.25925925
60,70610370.0,8403.034,562736.8,750.16626,71173715.72005452,71653640.0,8464.84765625,545684.8125,738.7046508789062,72199326.77777778
61,70506890.0,8396.877,562801.3,750.198,71070425.19416651,71547896.0,8458.59765625,545873.4375,738.8324584960938,72093758.9537037
62,70415200.0,8391.379,562928.5,750.2888,70978191.07868001,71442856.0,8452.38671875,545736.9375,738.7402954101562,71988584.02777778
63,70305090.0,8384.774,562875.44,750.2536,70867286.34275573,71337528.0,8446.1552734375,545695.25,738.7117309570312,71883208.41666667
64,70200360.0,8378.552,562920.8,750.27795,70763063.74556959,71232456.0,8439.9296875,545697.4375,738.7132568359375,71778138.0925926
65,70078570.0,8371.368,562851.3,750.2405,70642545.10687003,71127520.0,8433.7138671875,545681.0,738.7020874023438,71673228.89814815
66,69992360.0,8366.154,562893.3,750.26904,70555405.66547494,71023016.0,8427.5146484375,545924.9375,738.8673095703125,71568947.43518518
67,69880024.0,8359.475,562974.25,750.3214,70443761.01514956,70918240.0,8421.294921875,545842.5625,738.8118286132812,71464052.42592593
68,69782504.0,8353.562,562996.75,750.2993,70344945.52452481,70813872.0,8415.1005859375,545615.4375,738.6577758789062,71359491.75
69,69648090.0,8345.481,563012.2,750.347,70210120.81000026,70709304.0,8408.8818359375,546029.125,738.937744140625,71255328.87037037
70,69595650.0,8342.46,562798.4,750.2073,70159501.45368965,70605472.0,8402.70703125,545350.9375,738.478759765625,71150833.62962963
71,69455360.0,8334.04,562774.7,750.1862,70019011.48167391,70501160.0,8396.49609375,545344.0625,738.47412109375,71046495.66666667
72,69339620.0,8326.922,562826.56,750.1577,69900350.63350394,70397128.0,8390.298828125,545335.0625,738.4682006835938,70942445.7037037
73,69258010.0,8322.183,562598.06,750.06885,69821374.90686488,70293608.0,8384.1279296875,545516.5625,738.5908813476562,70839114.3888889
74,69198350.0,8318.592,563102.56,750.4098,69762037.56866175,70190024.0,8377.9501953125,545790.625,738.7763671875,70735827.81481482
75,69073730.0,8311.043,562875.9,750.2552,69636362.99400705,70086520.0,8371.7685546875,546226.625,739.0714111328125,70632723.76851852
76,68987160.0,8305.896,562917.6,750.2839,69550808.21533476,69983688.0,8365.6240234375,545453.5,738.5482177734375,70529128.37037037
77,68842700.0,8297.1875,562742.1,750.1683,69406090.6985262,69880280.0,8359.443359375,545489.6875,738.5724487304688,70425791.76851852
78,68772490.0,8292.893,562744.75,750.17175,69334922.67527457,69777640.0,8353.298828125,545614.0,738.656982421875,70323233.27777778
79,68651280.0,8285.6045,563000.5,750.3424,69214253.244888,69674384.0,8347.119140625,545875.125,738.8336791992188,70220250.0462963
80,68577900.0,8281.224,562995.0,750.33856,69141653.88060392,69571848.0,8340.9736328125,545810.0625,738.7896118164062,70117655.76851852
81,68457300.0,8273.913,562886.5,750.2647,69020420.95352247,69469536.0,8334.83984375,545917.0,738.8619384765625,70015453.00925925
82,68371670.0,8268.772,563068.9,750.3832,68935688.16903727,69367360.0,8328.7080078125,545899.3125,738.8499755859375,69913257.93518518
83,68244110.0,8260.981,562910.8,750.2826,68806694.53566192,69265072.0,8322.564453125,545618.875,738.6600341796875,69810666.2037037
84,68136890.0,8254.528,562834.5,750.2288,68700100.36842512,69162824.0,8316.4189453125,545638.4375,738.673583984375,69708469.87037037
85,68052730.0,8249.3955,563041.1,750.242,68615365.79037526,69060744.0,8310.279296875,546071.6875,738.9666137695312,69606832.7962963
86,67942520.0,8242.701,563047.1,750.3726,68505223.45348388,68959088.0,8304.1611328125,545878.0625,738.8355102539062,69504967.05555555
87,67873060.0,8238.551,562933.44,750.2987,68436654.3478999,68857288.0,8298.029296875,545887.9375,738.8423461914062,69403181.87037037
88,67776490.0,8232.657,563086.0,750.39984,68339704.22171353,68756160.0,8291.9326171875,545958.875,738.8901977539062,69302096.5925926
89,67674344.0,8226.476,563017.8,750.34875,68237908.81977417,68654944.0,8285.8271484375,545858.125,738.8221435546875,69200800.7824074
90,67556620.0,8219.273,562851.75,750.2399,68119275.94238535,68553592.0,8279.708984375,545582.6875,738.6356811523438,69099165.10185185
91,67473680.0,8214.286,562896.7,750.27203,68037337.03047918,68452552.0,8273.60546875,545795.4375,738.7799072265625,68998355.5324074
92,67364960.0,8207.576,562950.56,750.3091,67927236.20566373,68351712.0,8267.5078125,545774.125,738.7651977539062,68897478.96296297
93,67240540.0,8200.041,562979.5,750.32776,67803639.2783765,68250552.0,8261.3896484375,545504.75,738.5828857421875,68796052.03703703
94,67136970.0,8193.735,562665.4,750.1149,67700017.13891818,68150240.0,8255.31640625,545380.375,738.4985961914062,68695620.77314815
95,67074916.0,8189.889,562852.25,750.23645,67637094.25036652,68049936.0,8249.23828125,545921.5625,738.8650512695312,68595870.12037037
96,66943600.0,8181.9634,562790.94,750.20294,67507339.06679699,67949704.0,8243.162109375,545864.4375,738.8263549804688,68495570.85185185
97,66836650.0,8175.3887,563059.44,750.3673,67400055.16787983,67849488.0,8237.0791015625,545913.0,738.8591918945312,68395401.60185185
98,66752100.0,8170.1514,563040.5,750.36676,67314372.5965174,67749264.0,8230.9951171875,545854.875,738.8197631835938,68295140.10185185
99,66711092.0,8167.7334,563042.3,750.3646,67274950.94513747,67650080.0,8224.96484375,545843.5625,738.8123779296875,68195892.50925925
