epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,second_out_loss,second_out_root_mean_squared_error,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss,val_second_out_loss,val_second_out_root_mean_squared_error
0,7832509.5,2798.688,548134.25,740.36847,9184294.234127035,803469.94,896.37415,5665753.5,2380.284423828125,542423.875,736.4942016601562,7060197.896122686,852021.6875,923.0501708984375
1,4960544.5,2227.2463,531885.2,729.3104,6277140.464357365,784605.4,885.786,5405540.5,2324.982177734375,541230.5625,735.6837768554688,6776694.956741898,829923.0625,911.0011596679688
2,4805312.5,2192.0999,530681.3,728.4819,6116253.4918866865,780301.44,883.3285,5669709.0,2381.11572265625,545283.5625,738.4330444335938,7058685.440972222,843691.125,918.52685546875
3,4813381.5,2193.9578,530099.44,728.08813,6123409.961312663,779825.44,883.0877,5431415.0,2330.539794921875,554297.625,744.5115966796875,6815183.839699074,829471.9375,910.75341796875
4,4760969.0,2181.9812,528461.9,726.9601,6067227.168882945,777698.1,881.88043,5607782.5,2368.074951171875,548661.0625,740.716552734375,6991749.061631944,835306.8125,913.9511108398438
5,4769598.0,2183.9504,527093.7,726.01746,6072027.237343746,775280.2,880.5044,5520157.0,2349.50146484375,543844.3125,737.4580078125,6886711.002025463,822710.375,907.03369140625
6,4749175.5,2179.2434,528563.0,727.0074,6053315.713695054,775690.2,880.7231,5805217.0,2409.4013671875,546785.25,739.4492797851562,7177831.874710648,825830.5625,908.7523803710938
7,4745826.0,2178.5046,526701.9,725.7504,6047206.615245377,774590.4,880.1187,5616047.0,2369.81982421875,559208.4375,747.8024291992188,7009943.512152778,834688.0,913.612548828125
8,4756069.0,2180.8533,527628.9,726.38525,6058003.4230899075,774240.56,879.9134,5385288.5,2320.623046875,552768.875,743.484130859375,6765266.632233797,827206.75,909.5089721679688
9,4752180.0,2179.9646,526551.06,725.64276,6052211.381584532,773395.1,879.43604,5439575.5,2332.28955078125,560561.75,748.7066040039062,6835853.851273148,835718.3125,914.1761474609375
10,4736884.0,2176.4053,523882.94,723.794,6032083.289774043,771467.8,878.3304,5467880.5,2338.349853515625,542676.75,736.6661376953125,6832155.61009838,821597.0625,906.4200439453125
11,4728414.5,2174.4202,526386.2,725.509,6025697.608910016,771268.8,878.19666,5376825.5,2318.7978515625,547449.5,739.8983764648438,6741378.556423611,817104.0,903.9379272460938
12,4713753.0,2171.1377,525322.44,724.8003,6010540.712854304,771340.9,878.27026,5541728.5,2354.087646484375,546238.0,739.0789794921875,6912743.365885417,824776.4375,908.171875
13,4742350.5,2177.669,526392.0,725.5331,6040006.450820173,771395.94,878.27405,5396521.5,2323.041259765625,551575.25,742.68115234375,6779679.61400463,831582.9375,911.9114379882812
14,4728042.5,2174.3618,525077.94,724.62115,6022675.092196302,769751.75,877.3586,5396377.0,2323.009765625,563789.0625,750.8589477539062,6794167.054398148,834000.8125,913.2366333007812
15,4721971.5,2172.9124,525817.7,725.11584,6018038.253446591,770702.0,877.8909,5786166.5,2405.44482421875,562706.375,750.1377563476562,7182372.436053241,833500.125,912.962158203125
16,4720990.5,2172.7932,525567.1,724.96,6016469.448728749,769895.3,877.4263,5587296.0,2363.74609375,556487.75,745.9810180664062,6964460.984085648,820677.5,905.9125366210938
17,4713048.0,2170.9226,525606.4,724.993,6008324.317758301,769791.6,877.3858,5357671.0,2314.66455078125,557535.6875,746.6832885742188,6742184.427662037,826976.6875,909.3827514648438
18,4686572.5,2164.8691,523969.1,723.86475,5978905.174049616,768258.06,876.50977,5613299.5,2369.240234375,545937.6875,738.8759765625,6984430.660590278,825194.0625,908.4019165039062
19,4701546.0,2168.3215,524944.3,724.53546,5995932.925814707,769346.2,877.1309,5384073.0,2320.360595703125,568351.625,753.8910522460938,6778586.148003472,826162.3125,908.9346313476562
20,4702419.0,2168.5146,524428.75,724.1795,5995040.175676458,768150.3,876.4416,5482388.5,2341.449951171875,547656.125,740.0379638671875,6852100.234230324,822056.75,906.673583984375
21,4704805.5,2169.0745,525367.06,724.8264,5998729.457673165,768463.6,876.62494,5512437.5,2347.8583984375,563967.375,750.977783203125,6900671.869791667,824266.9375,907.8916625976562
22,4694474.5,2166.6064,524458.75,724.1977,5985521.513210859,766872.2,875.7161,5384662.5,2320.487548828125,546773.4375,739.4412841796875,6744917.09693287,813480.4375,901.9315185546875
23,4707078.5,2169.5532,525378.5,724.8353,6000209.403037308,767859.94,876.2775,5433267.5,2330.937255859375,550790.25,742.1524047851562,6798023.764467592,813965.625,902.200439453125
24,4695351.0,2166.8774,523207.84,723.33966,5985631.125620515,767030.56,875.81244,5457099.5,2336.04296875,546564.3125,739.2999267578125,6821134.865162037,817472.8125,904.1421508789062
25,4690592.0,2165.7957,525410.9,724.86,5983471.620257722,767370.94,876.0042,5439595.5,2332.2939453125,549376.75,741.199462890625,6814221.764467592,825250.875,908.43310546875
26,4683533.0,2164.161,524233.1,724.0475,5974870.167873402,767016.4,875.80444,5434187.5,2331.134765625,554437.25,744.6054077148438,6816235.002314814,827608.5625,909.7298583984375
27,4693567.5,2166.48,524590.94,724.2928,5985312.8324706135,767070.0,875.83234,5460134.5,2336.6923828125,559365.6875,747.9074096679688,6834474.729311342,814977.125,902.7608642578125
28,4688300.0,2165.2678,523882.25,723.7996,5978346.783784305,766064.44,875.2612,5338234.0,2310.462158203125,547440.3125,739.89208984375,6701725.946180556,816051.3125,903.35546875
29,4683640.5,2164.182,524807.7,724.445,5975144.111065743,766618.6,875.579,5431256.5,2330.505615234375,551876.75,742.884033203125,6800465.378038194,817332.875,904.064453125
30,4683723.0,2164.2065,524465.75,724.2073,5974723.078905065,766435.94,875.4732,5411033.0,2326.16259765625,549634.5,741.3733520507812,6771177.901331019,810510.4375,900.2833862304688
31,4694131.0,2166.607,523821.56,723.7634,5983837.129886957,765802.94,875.10974,5388153.0,2321.23974609375,553307.25,743.8462524414062,6764187.550491898,822725.75,907.0424194335938
32,4673726.0,2161.8804,523812.28,723.7535,5963655.202326449,766103.1,875.2766,5531929.5,2352.005859375,558908.5,747.6018676757812,6903475.955150463,812636.75,901.4635620117188
33,4682543.5,2163.931,523448.88,723.50336,5972657.444690579,766585.9,875.55817,5487438.0,2342.52783203125,549289.9375,741.14111328125,6849696.883680556,812968.9375,901.6478271484375
34,4683240.0,2164.0989,524454.3,724.19916,5973404.590212583,765602.75,874.9958,5406911.5,2325.277587890625,555596.375,745.3834838867188,6776463.74291088,813953.625,902.193603515625
35,4672754.5,2161.6748,523003.06,723.1981,5960939.6690163715,765070.75,874.69275,5461084.5,2336.896240234375,546199.0625,739.0529174804688,6818273.858072917,810989.3125,900.549560546875
36,4682099.0,2163.8298,524265.3,724.0673,5972234.140172073,765787.1,875.10034,5407171.5,2325.332763671875,557246.875,746.4898071289062,6779684.077546297,815263.625,902.919677734375
37,4689556.0,2165.533,523063.38,723.2398,5977564.028820186,764943.44,874.6209,5415633.0,2327.15087890625,568176.6875,753.7749633789062,6806200.132523148,822391.5,906.858154296875
38,4684355.0,2164.3445,524752.9,724.3915,5974746.755105584,765605.9,874.9941,5400654.0,2323.93017578125,556243.9375,745.8176879882812,6773942.099247686,817045.5625,903.9058227539062
39,4670491.0,2161.1562,522624.72,722.93726,5957853.649716106,764595.8,874.42285,5387208.5,2321.035888671875,548470.375,740.5880126953125,6747275.228298611,811595.5625,900.8862915039062
40,4677596.0,2162.7908,523945.1,723.84906,5966866.529524294,765231.06,874.7842,5412802.5,2326.54345703125,547554.0625,739.9688110351562,6774455.443865741,814098.3125,902.2738647460938
41,4672735.0,2161.6648,524658.5,724.3413,5962519.435863513,765039.0,874.6739,5618567.0,2370.3515625,553921.6875,744.2591552734375,6992006.227864583,819519.3125,905.273193359375
