epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,second_out_loss,second_out_root_mean_squared_error,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss,val_second_out_loss,val_second_out_root_mean_squared_error
0,151601580.0,12312.758,563636.5,750.75726,152981085.36094037,813630.75,902.0138,153983488.0,12409.0087890625,546654.8125,739.3612060546875,155379384.25925925,849265.75,921.5560302734375
1,151512200.0,12309.017,563595.25,750.7348,152888870.84256282,813494.44,901.939,153892592.0,12405.34375,546608.75,739.329833984375,155288307.0185185,849122.5625,921.4786987304688
2,151420300.0,12305.358,563555.56,750.7098,152798967.90226087,813384.06,901.8848,153802160.0,12401.69921875,546581.25,739.311279296875,155197831.57407406,849077.5,921.4541625976562
3,151333090.0,12301.743,563529.3,750.6921,152709485.87690014,813250.5,901.80505,153711744.0,12398.0537109375,546543.5,739.285888671875,155107265.9814815,848960.0,921.3903198242188
4,151240910.0,12298.041,563506.7,750.6714,152618647.547725,813146.9,901.7377,153621232.0,12394.40625,546506.375,739.2606811523438,155016624.5185185,848856.375,921.333984375
5,151150580.0,12294.363,563503.44,750.6689,152528053.57360014,813002.6,901.6637,153531104.0,12390.7666015625,546476.875,739.2406616210938,154926295.96296296,848753.25,921.2783813476562
6,151064110.0,12290.752,563478.1,750.6476,152439180.59744334,812913.2,901.6174,153440624.0,12387.1142578125,546479.6875,739.2424926757812,154835756.8148148,848709.5,921.2542114257812
7,150970830.0,12287.095,563459.8,750.6494,152348989.56125414,812819.56,901.5757,153350176.0,12383.466796875,546469.6875,739.2357177734375,154745312.6851852,848616.5625,921.203857421875
8,150881600.0,12283.43,563426.2,750.6122,152258875.77499422,812721.3,901.51526,153260224.0,12379.8310546875,546354.4375,739.1578979492188,154655358.6851852,848757.9375,921.2806396484375
9,150793740.0,12279.835,563344.44,750.57245,152170460.24949202,812647.6,901.48004,153170288.0,12376.201171875,546285.75,739.1116943359375,154565103.74074075,848487.1875,921.1336669921875
10,150699470.0,12276.015,563383.8,750.5979,152076453.6766892,812495.5,901.39404,153079824.0,12372.544921875,546393.5,739.184326171875,154474670.03703704,848458.5625,921.1179809570312
11,150616540.0,12272.571,563314.6,750.54803,151991775.4559531,812424.1,901.3472,152989808.0,12368.9072265625,546245.0,739.083984375,154384540.1111111,848418.125,921.0963134765625
12,150524910.0,12268.707,563251.3,750.50867,151896784.90619615,812283.25,901.2776,152899856.0,12365.2666015625,546249.625,739.0870361328125,154294533.55555555,848458.0,921.1177368164062
13,150430980.0,12265.004,563254.2,750.5109,151805868.09660742,812294.56,901.2824,152809696.0,12361.619140625,546280.25,739.10791015625,154204230.0185185,848315.1875,921.040283203125
14,150342020.0,12261.466,563229.25,750.48083,151718879.8656344,812213.6,901.23083,152719888.0,12357.9912109375,546102.25,738.9874877929688,154114146.14814815,848120.0,920.9343872070312
