epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss
0,4769899.0,2184.0286,720233.5,848.67053,5490222.203681615,3551167.0,1884.4539794921875,722518.375,850.0108642578125,4273684.908564814
1,3309778.0,1819.3002,683060.44,826.48444,3992928.181688701,3403395.5,1844.8292236328125,720242.25,848.6709594726562,4123638.823784722
2,3246546.5,1801.8268,680082.56,824.6754,3926665.75234381,3415653.0,1848.148681640625,729060.6875,853.8505249023438,4144714.3903356483
3,3194873.8,1787.4355,677101.8,822.86554,3872038.689490149,3416140.25,1848.2802734375,717175.5,846.8619384765625,4133315.4194155093
4,3186674.2,1785.0864,677313.8,822.9881,3863839.491168111,3354621.0,1831.5625,731666.875,855.3753051757812,4086287.644386574
5,3165597.5,1779.2249,673837.6,820.8819,3839485.584062894,3359666.25,1832.939697265625,722819.125,850.187744140625,4082485.841724537
6,3171769.8,1780.8458,673614.6,820.74493,3845034.6801350024,3376467.25,1837.5167236328125,723669.25,850.6876220703125,4100137.0305266203
7,3158152.0,1777.0667,673475.75,820.6171,3831380.9673072225,3418539.75,1848.928955078125,717090.875,846.8120727539062,4135628.761574074
8,3164306.8,1778.8632,673205.8,820.49756,3837570.083986535,3318100.25,1821.5653076171875,720923.625,849.0722045898438,4039023.650462963
9,3151353.0,1775.223,671961.2,819.7412,3823390.419271972,3314530.75,1820.585205078125,720774.5625,848.9844970703125,4035305.619357639
10,3153976.8,1775.9525,671010.44,819.1597,3825029.3595675044,3889285.25,1972.1268310546875,717388.125,846.9878540039062,4606671.944733797
11,3159134.0,1777.3984,671984.3,819.7481,3831131.025878366,3317678.25,1821.4493408203125,720829.625,849.01708984375,4038508.1069155093
12,3147929.5,1774.256,671731.56,819.5991,3819724.7336512,3304660.25,1817.87255859375,724900.5,851.4108276367188,4029560.757378472
13,3139969.5,1772.0159,670995.5,819.15295,3811054.042770519,3316428.75,1821.106201171875,720899.3125,849.0580444335938,4037327.445891204
14,3147947.8,1774.2523,669640.06,818.3229,3817623.3867608476,3354454.5,1831.5172119140625,728393.0625,853.4593505859375,4082846.840422454
15,3132902.2,1770.008,669974.44,818.5273,3802914.1916330154,3335428.5,1826.3150634765625,712759.875,844.2510375976562,4048187.323061343
16,3137086.5,1771.1941,670568.3,818.8891,3807710.0828371355,3404928.0,1845.244873046875,724824.875,851.366455078125,4129754.213686343
17,3136609.0,1771.064,670418.1,818.8004,3807101.417751228,3326279.0,1823.8084716796875,725956.6875,852.0309448242188,4052235.0063657407
18,3129916.0,1769.1727,669155.6,818.0271,3799144.032361622,3330041.0,1824.8399658203125,719418.5,848.1853637695312,4049458.8838252313
19,3139334.5,1771.8064,669316.0,818.12225,3808620.40325915,3431742.25,1852.496337890625,733651.3125,856.534423828125,4165393.117621528
20,3129760.8,1769.1162,668915.56,817.8716,3798685.572105121,3307281.5,1818.5931396484375,721652.5625,849.5013427734375,4028933.916087963
21,3123963.5,1767.4915,669157.25,818.02466,3793189.6843299083,3359406.5,1832.868408203125,715782.75,846.0393676757812,4075189.287326389
22,3130044.8,1769.2057,668883.2,817.8625,3798988.559172368,3335834.25,1826.4267578125,737751.75,858.9248657226562,4073586.274016204
23,3125469.8,1767.894,668839.94,817.82385,3794283.053058849,3438319.0,1854.2705078125,739342.3125,859.8501586914062,4177661.2432002313
24,3124948.5,1767.7676,668456.4,817.60205,3793478.653617634,3346580.25,1829.366455078125,720519.9375,848.8344116210938,4067100.680121528
25,3123709.0,1767.4065,669421.25,818.17737,3793144.394422439,3316510.25,1821.129150390625,726862.5625,852.562255859375,4043372.582609954
26,3129994.0,1769.1731,668366.6,817.53876,3798340.45361249,3334264.0,1825.9967041015625,729731.1875,854.2431640625,4063995.685329861
27,3127618.8,1768.5006,669031.25,817.94604,3796626.3023804626,3399672.0,1843.8199462890625,722262.6875,849.8604736328125,4121934.261140046
28,3117664.2,1765.699,668881.44,817.86084,3786590.4429367394,3325775.75,1823.6708984375,717961.625,847.3262329101562,4043736.857060185
29,3122143.0,1766.971,668820.9,817.8171,3791012.352712904,3322171.25,1822.68310546875,719048.875,847.9672241210938,4041221.563078704
30,3117722.2,1765.7178,668934.5,817.8828,3786693.5212646932,3299644.25,1816.4921875,715576.4375,845.9174194335938,4015220.7000868055
31,3118276.5,1765.8779,668898.7,817.86725,3787231.5180511973,3302486.0,1817.27392578125,731838.5,855.4757690429688,4034323.6643518517
32,3110657.5,1763.7222,668282.8,817.496,3779015.877381588,3313516.25,1820.306884765625,719411.6875,848.1814575195312,4032926.7575231483
33,3124141.2,1767.5004,668717.75,817.74084,3792757.167564752,3342652.5,1828.29248046875,724773.1875,851.3359985351562,4067425.685908565
34,3116819.5,1765.4714,668470.5,817.608,3785369.365523483,3288665.0,1813.46728515625,719511.5625,848.240478515625,4008176.634403935
35,3123316.5,1767.3055,668639.5,817.7109,3792017.235845508,3416109.0,1848.27197265625,724214.0625,851.007568359375,4140323.4606481483
