epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss
0,77134800.0,8782.68,720467.3,848.80347,77855897.39777258,78131424.0,8839.197265625,726858.5,852.5601806640625,78858270.3888889
1,77072600.0,8779.0,720407.7,848.77814,77791334.2073613,78067088.0,8835.5595703125,726821.875,852.5383911132812,78793932.2962963
2,77007010.0,8775.356,720348.5,848.74225,77727232.59672317,78003080.0,8831.935546875,726758.9375,852.5015869140625,78729827.17592593
3,76943496.0,8771.722,720292.9,848.7104,77663402.92816173,77938992.0,8828.3046875,726715.6875,852.47607421875,78665706.77777778
4,76878140.0,8768.08,720251.25,848.6843,77599441.06412202,77875088.0,8824.6865234375,726677.0625,852.4535522460938,78601741.14814815
5,76809110.0,8764.14,720206.9,848.65955,77530397.49365981,77774200.0,8818.9677734375,726627.9375,852.4246826171875,78500813.69444445
6,76711880.0,8758.511,720161.5,848.634,77431620.96473674,77702416.0,8814.8974609375,726595.75,852.4058837890625,78429026.5925926
7,76641864.0,8754.572,720139.3,848.6175,77362635.49587181,77632400.0,8810.9248046875,726555.1875,852.3819580078125,78358950.12037037
8,76567970.0,8750.376,720131.3,848.615,77289159.94917564,77562760.0,8806.9716796875,726566.9375,852.3890380859375,78289319.24074075
9,76501496.0,8746.525,720118.6,848.6047,77221805.65302606,77493192.0,8803.021484375,726552.9375,852.3805541992188,78219745.47222222
10,76430000.0,8742.457,720091.44,848.5897,77150649.29828443,77423536.0,8799.0625,726592.0,852.4036865234375,78150120.71296297
11,76373870.0,8738.557,720049.6,848.566,77082393.46310347,77354024.0,8795.1123046875,726468.375,852.3314819335938,78080488.03703703
12,76291064.0,8734.48,720048.5,848.5578,77011137.87659147,77284624.0,8791.1669921875,726458.0,852.3253173828125,78011069.76851852
13,76221160.0,8730.479,720024.3,848.55145,76941337.98091514,77215024.0,8787.2080078125,726416.5,852.3008422851562,77941443.25
14,76155176.0,8726.725,719952.06,848.50494,76875695.08413282,77145720.0,8783.2646484375,726399.1875,852.2906494140625,77872097.57407407
15,76090090.0,8723.013,719923.2,848.49066,76810871.8779804,77076696.0,8779.333984375,726369.75,852.2732543945312,77803071.44444445
16,76021670.0,8718.959,719920.1,848.4883,76740264.83170864,77007488.0,8775.390625,726323.0625,852.245849609375,77733799.02777778
17,75946160.0,8714.706,719872.3,848.45465,76666112.8683351,76938104.0,8771.439453125,726287.0625,852.2246704101562,77664409.71296297
18,75882160.0,8711.04,719810.1,848.4251,76602045.81475861,76869168.0,8767.505859375,726245.5625,852.2006225585938,77595395.06481482
19,75809750.0,8706.906,719831.06,848.4351,76530086.09192623,76799944.0,8763.55859375,726235.5625,852.194580078125,77526181.66666667
20,75743704.0,8703.068,719782.5,848.40704,76463160.43108104,76731000.0,8759.625,726220.6875,852.186279296875,77457234.0462963
