epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,second_out_loss,second_out_root_mean_squared_error,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss,val_second_out_loss,val_second_out_root_mean_squared_error
0,154271660.0,12420.705,720485.1,848.8138,155822902.41353944,828473.9,910.1974,156317504.0,12502.7021484375,726885.1875,852.5757446289062,157982737.9074074,938326.75,968.6729125976562
1,154237390.0,12419.228,720453.0,848.7997,155785950.34687105,828287.1,910.1007,156280656.0,12501.224609375,726858.3125,852.5599365234375,157945683.7777778,938135.0625,968.5738525390625
2,154198940.0,12417.75,720426.75,848.7844,155748969.89037785,828034.1,909.9719,156243808.0,12499.7529296875,726830.8125,852.5438842773438,157908646.37037036,937956.3125,968.4814453125
3,154164030.0,12416.278,720404.75,848.7679,155712010.91694745,827851.1,909.86835,156207040.0,12498.279296875,726802.75,852.5274047851562,157871623.6851852,937810.25,968.4057006835938
4,154125920.0,12414.783,720391.5,848.75244,155675140.3766558,827747.1,909.80286,156170208.0,12496.8056640625,726797.0625,852.5238647460938,157834692.5925926,937703.25,968.3507690429688
5,154089010.0,12413.307,720339.94,848.72766,155638247.3547159,827561.94,909.7033,156133440.0,12495.3359375,726762.4375,852.50341796875,157797890.2962963,937699.3125,968.3486938476562
6,154054480.0,12411.834,720325.6,848.7112,155601453.47483218,827538.44,909.69183,156096480.0,12493.8603515625,726707.25,852.4713134765625,157760722.4074074,937490.75,968.240966796875
7,154015000.0,12410.363,720221.06,848.66907,155564546.42104992,827359.06,909.60364,156059712.0,12492.38671875,726623.625,852.4221801757812,157723830.8148148,937464.6875,968.2276000976562
8,153978960.0,12408.877,720262.44,848.6826,155527748.2748013,827247.56,909.53143,156022976.0,12490.9140625,726680.4375,852.4556274414062,157686979.35185185,937321.125,968.1532592773438
9,153942930.0,12407.397,720161.1,848.6337,155490882.65726998,827104.7,909.46405,155986224.0,12489.4443359375,726556.6875,852.3828735351562,157650036.62962964,937252.375,968.1181030273438
10,153905760.0,12405.921,720115.44,848.606,155454097.0790401,827062.94,909.4392,155949376.0,12487.9677734375,726574.9375,852.3938598632812,157613166.2222222,937206.375,968.09423828125
11,153870720.0,12404.441,720129.7,848.60754,155417334.67424574,826994.44,909.3983,155912592.0,12486.498046875,726513.0625,852.3572998046875,157576287.94444445,937149.4375,968.0648193359375
12,153837280.0,12402.964,720039.5,848.5608,155380555.4422696,826918.56,909.3588,155875904.0,12485.025390625,726505.6875,852.3530883789062,157539480.4814815,937075.1875,968.0264892578125
13,153797340.0,12401.487,719990.6,848.5311,155343844.77193344,826914.56,909.35693,155839120.0,12483.5537109375,726417.9375,852.3015747070312,157502593.57407406,937055.25,968.0159912109375
14,153758780.0,12400.0205,719953.56,848.4966,155307059.56593534,826820.0,909.2947,155802352.0,12482.0830078125,726362.8125,852.2693481445312,157465796.2962963,937007.5,967.9915771484375
15,153722930.0,12398.527,719939.9,848.49146,155270396.0727385,826839.0,909.3074,155765584.0,12480.6083984375,726401.4375,852.2918701171875,157428943.4814815,936949.875,967.96142578125
16,153688460.0,12397.051,719921.44,848.47217,155233577.17389852,826742.06,909.2324,155728880.0,12479.1376953125,726343.3125,852.2576904296875,157392187.1111111,936956.5,967.96484375
17,153649040.0,12395.577,719847.6,848.4396,155196828.8737879,826620.3,909.1886,155692144.0,12477.66796875,726270.375,852.2147827148438,157355285.62962964,936890.125,967.9309692382812
18,153613740.0,12394.098,720063.3,848.5691,155160408.53952006,826624.56,909.1909,155655296.0,12476.1923828125,726616.5,852.418212890625,157318872.24074075,936855.1875,967.9126586914062
19,153580400.0,12392.62,719978.25,848.5012,155123534.9184907,826537.8,909.12067,155618624.0,12474.7216796875,726222.9375,852.1870727539062,157281661.14814815,936778.5625,967.873291015625
20,153541400.0,12391.144,719832.8,848.4301,155086888.06769723,826592.75,909.16907,155581936.0,12473.2490234375,726313.6875,852.2403564453125,157245233.94444445,936948.0625,967.960693359375
21,153502610.0,12389.664,719853.2,848.4467,155050367.1612953,826571.8,909.1654,155545280.0,12471.7802734375,726276.375,852.2185668945312,157208294.0925926,936713.75,967.8396606445312
22,153468740.0,12388.19,719836.44,848.4354,155013677.5435582,826528.1,909.1333,155508576.0,12470.3076171875,726304.125,852.2347412109375,157171539.7962963,936675.1875,967.81982421875
23,153429060.0,12386.719,719776.0,848.401,154976927.78764886,826423.94,909.0835,155471824.0,12468.8349609375,726239.5,852.1971435546875,157134728.5185185,936625.125,967.7940063476562
24,153393260.0,12385.243,719738.94,848.3768,154940376.88685408,826493.4,909.12067,155435280.0,12467.3642578125,726172.875,852.1576538085938,157097982.14814815,936597.4375,967.7796630859375
25,153358690.0,12383.764,719668.5,848.33844,154903446.7890635,826161.8,908.9423,155398544.0,12465.8974609375,726178.5,852.1611938476562,157061273.14814815,936545.5625,967.7526245117188
26,153318580.0,12382.287,719681.5,848.3493,154867101.59499988,826365.06,909.0533,155361920.0,12464.423828125,726142.3125,852.139892578125,157024569.0185185,936527.25,967.74365234375
27,153282770.0,12380.809,719659.75,848.3364,154830531.10110858,826355.0,909.0484,155325248.0,12462.9560546875,726119.75,852.1266479492188,156987934.8888889,936589.125,967.7753295898438
28,153247000.0,12379.33,719647.9,848.32904,154793901.38491216,826299.25,909.01886,155288608.0,12461.484375,726095.125,852.1121215820312,156951098.85185185,936447.5,967.7023315429688
29,153211250.0,12377.859,719634.8,848.31396,154757202.78525683,826199.75,908.9594,155251856.0,12460.01171875,726073.75,852.0997314453125,156914381.24074075,936429.75,967.69287109375
30,153174160.0,12376.383,719675.9,848.34155,154720858.94781244,826364.56,909.05035,155215232.0,12458.5400390625,725985.6875,852.0479125976562,156877683.62962964,936484.4375,967.7210083007812
31,153137490.0,12374.905,719645.4,848.3253,154684100.44846833,826190.75,908.95526,155178576.0,12457.068359375,726151.3125,852.1449584960938,156841110.44444445,936414.125,967.6849365234375
32,153101420.0,12373.427,720006.25,848.5362,154647844.7678181,826118.25,908.9195,155141824.0,12455.5966796875,726326.25,852.2477416992188,156804525.7962963,936301.125,967.626708984375
33,153063800.0,12371.948,719881.06,848.4654,154610984.3524782,825916.06,908.80414,155105280.0,12454.126953125,726395.3125,852.2879638671875,156767996.0185185,936314.5,967.6334228515625
34,153028320.0,12370.474,719896.5,848.47644,154574617.68749195,825948.06,908.826,155068752.0,12452.6591796875,726156.5625,852.1482543945312,156731171.8888889,936244.5,967.5973510742188
35,152999360.0,12368.999,719606.8,848.2888,154537991.83559248,826195.6,908.93365,155032096.0,12451.19140625,726012.3125,852.0637817382812,156694590.7037037,936473.4375,967.7154541015625
36,152956110.0,12367.53,719514.6,848.2519,154501528.08168936,826191.2,908.9608,154995584.0,12449.72265625,726247.6875,852.20166015625,156658295.25925925,936442.875,967.6995849609375
37,152919820.0,12366.054,719577.4,848.2889,154465177.29777,826245.7,908.99054,154959024.0,12448.25390625,725979.25,852.0439453125,156621428.35185185,936426.5625,967.69140625
38,152882540.0,12364.583,719579.6,848.2848,154428594.9677718,826158.25,908.9398,154922384.0,12446.78125,726132.6875,852.1342163085938,156584790.2962963,936263.1875,967.6068115234375
39,152846660.0,12363.098,719660.0,848.3262,154392081.14426813,826169.1,908.9068,154885792.0,12445.3154296875,726152.4375,852.14599609375,156548294.1111111,936331.6875,967.6421508789062
40,152808800.0,12361.632,719670.7,848.34296,154355737.61074102,826145.94,908.9352,154849312.0,12443.8447265625,726135.875,852.1360473632812,156511684.3888889,936251.25,967.6007080078125
