epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss
0,4172470.8,2042.6772,614435.2,783.8678,4786980.668042195,3680868.25,1918.55908203125,588002.875,766.813232421875,4268871.331163194
1,3409231.2,1846.4264,585405.8,765.1238,3994705.637305808,3261021.25,1805.830078125,581308.0,762.4356689453125,3842330.3359375
2,3309061.0,1819.0834,571782.0,756.15656,3880840.2294755843,3405224.0,1845.3248291015625,585702.875,765.3123168945312,3990925.711371528
3,3282256.2,1811.7139,560736.3,748.8314,3843058.045504964,3234367.75,1798.4346923828125,604647.0625,777.5908813476562,3839014.540798611
4,3204933.2,1790.2457,552768.56,743.4906,3757754.5423364798,3309274.25,1819.1412353515625,602818.125,776.4136352539062,3912092.984230324
5,3137793.5,1771.387,537247.1,732.97394,3675063.2220969223,3428267.25,1851.5579833984375,573068.875,757.0130004882812,4001336.4914641203
6,3109895.0,1763.4701,538436.6,733.7634,3648235.640237982,3690943.5,1921.1826171875,640133.6875,800.0834350585938,4331076.928385417
7,3081924.2,1755.5514,530244.56,728.18726,3612219.314834165,3233053.75,1798.0692138671875,585651.0625,765.278564453125,3818704.255642361
8,3061115.0,1749.6133,524643.0,724.3243,3585797.940390378,3437207.5,1853.9705810546875,643757.0625,802.3447875976562,4080964.0515046297
9,3011629.8,1735.4178,519067.44,720.4688,3530751.2725475193,3238898.0,1799.694091796875,633033.625,795.6341552734375,3871931.6682581017
10,3031834.0,1741.1985,513869.28,716.83887,3545630.525072983,3369028.75,1835.4913330078125,622465.625,788.96484375,3991493.959346065
11,2985748.2,1727.906,511183.03,714.9625,3496831.139578886,3363064.25,1833.8660888671875,630409.5,793.9833374023438,3993473.820457176
12,2944649.2,1716.0112,506837.75,711.9345,3451549.378925641,3831699.0,1957.4722900390625,637182.0625,798.23681640625,4468880.195023148
13,2954163.2,1718.7781,504220.8,710.08514,3458418.694780601,3465553.25,1861.5999755859375,637391.6875,798.367919921875,4102945.683159722
14,2917925.2,1708.1605,497493.62,705.3314,3415303.8626749017,3395711.5,1842.7452392578125,610814.5625,781.5462646484375,4006525.1882233797
15,2906008.0,1704.6046,498455.75,706.0085,3404121.8758439645,3402889.0,1844.6922607421875,651578.25,807.203857421875,4054467.261284722
16,2891911.2,1700.5632,497643.97,705.44183,3389560.09208538,3932773.75,1983.1220703125,620230.625,787.54736328125,4553003.712673611
17,2895290.8,1701.5453,494026.4,702.8746,3389288.207948057,3217041.0,1793.611328125,664929.0625,815.4317626953125,3881970.599537037
18,2858931.5,1690.8538,493087.16,702.20856,3352081.6700532422,3338719.75,1827.2164306640625,618244.5,786.2852172851562,3956964.5147569445
19,2820253.2,1679.3748,487747.06,698.39453,3308052.460745197,3336440.0,1826.5919189453125,610444.625,781.3095703125,3946883.3668981483
20,2813913.0,1677.4714,485689.03,696.91565,3299600.044948751,3395292.5,1842.6319580078125,598595.0625,773.6892700195312,3993887.4140625
21,2818874.0,1678.9647,485410.8,696.7096,3304328.664405913,3678335.75,1917.8990478515625,737954.8125,859.0430297851562,4416290.370949074
22,2781587.8,1667.7462,485355.28,696.675,3266735.5819996013,3418902.75,1849.0272216796875,599609.75,774.3447875976562,4018511.970630787
23,2800605.8,1673.4834,479833.44,692.70276,3280386.760230459,3410164.25,1846.6629638671875,772147.0625,878.7190551757812,4182310.9567418983
24,2795646.5,1672.024,478865.2,692.00885,3274536.9481178788,3446052.75,1856.3543701171875,612678.625,782.7379150390625,4058731.134403935
25,2756906.0,1660.4056,480048.78,692.8614,3237002.1329075466,3424573.25,1850.560302734375,657703.25,810.9891967773438,4082276.5575810187
26,2751017.2,1658.6244,478396.25,691.6698,3229442.39095495,3436902.75,1853.888671875,694917.6875,833.6172485351562,4131821.185329861
27,2773758.2,1665.4702,474956.94,689.1768,3248755.6512786467,3423420.5,1850.2486572265625,637382.0625,798.362060546875,4060802.3094618055
28,2735282.2,1653.8755,473938.47,688.43427,3209247.1628666827,3562485.25,1887.4547119140625,647195.125,804.484375,4209680.89134838
29,2704584.2,1644.5736,474844.72,689.0983,3179481.4236589805,3482809.5,1866.2283935546875,650681.9375,806.6483764648438,4133489.594907407
30,2721791.2,1649.7992,468671.5,684.6015,3190515.927332236,3341224.5,1827.9013671875,601643.5625,775.6569213867188,3942868.3125
31,2693149.0,1641.0935,470768.16,686.1325,3163963.0835187375,3480277.0,1865.5501708984375,615474.8125,784.5220947265625,4095752.276909722
32,2689268.8,1639.9033,465723.0,682.44305,3155011.8266721754,3689911.5,1920.9139404296875,703115.6875,838.5198974609375,4393025.999710648
33,2682979.8,1637.9926,468559.6,684.5194,3151586.7190883895,3698029.0,1923.0257568359375,775203.3125,880.456298828125,4473231.404224537
34,2711124.5,1646.563,466857.5,683.2745,3178033.8379764785,3709302.75,1925.9547119140625,660728.75,812.852294921875,4370031.871238426
35,2670705.2,1634.246,463317.7,680.68146,3134087.3721160525,3638763.75,1907.554443359375,618977.9375,786.7516479492188,4257742.06568287
36,2648174.5,1627.3295,463507.9,680.8194,3111715.626900126,3529189.75,1878.6136474609375,627541.25,792.1749267578125,4156730.4577546297
37,2693241.5,1641.1089,467159.44,683.4984,3160407.0660542967,3599846.0,1897.3262939453125,655259.875,809.4813842773438,4255105.898726852
38,2681025.2,1637.3838,462186.4,679.8432,3143214.803734021,3552099.75,1884.701904296875,649811.25,806.108642578125,4201911.481336806
39,2644008.5,1626.0591,460770.03,678.80865,3104848.5827061203,3542291.0,1882.0975341796875,652819.75,807.9724731445312,4195110.509837963
40,2644289.2,1626.1367,455269.06,674.74347,3099598.140972633,3546051.0,1883.0963134765625,599320.3125,774.1578369140625,4145371.3763020835
41,2619028.5,1618.3514,459621.16,677.96094,3078690.4543535714,4285932.0,2070.2490234375,664361.875,815.0838012695312,4950293.482204861
42,2640107.0,1624.8326,459607.03,677.92957,3099670.148843206,3757774.5,1938.4981689453125,616299.25,785.0472412109375,4374073.915653936
43,2624264.0,1619.9669,456894.84,675.94714,3081197.25373595,3647254.5,1909.7786865234375,600769.4375,775.09326171875,4248024.668113426
44,2634591.8,1623.1538,456815.3,675.8894,3091454.7156787724,3439656.0,1854.630615234375,612208.375,782.4373779296875,4051863.6637731483
45,2615706.8,1617.3269,452488.72,672.679,3068243.06062881,3666290.25,1914.75634765625,635509.625,797.1885375976562,4301800.67650463
46,2603104.2,1613.4181,453360.8,673.32635,3056488.2827249286,3479301.25,1865.2886962890625,667654.4375,817.1012573242188,4146955.7897858797
47,2607789.0,1614.7634,449835.3,670.6992,3057301.2357828133,3633014.0,1906.0465087890625,657985.0625,811.162841796875,4290998.39525463
48,2604474.0,1613.8424,451299.88,671.7914,3055791.420032344,3828474.75,1956.6485595703125,594792.25,771.227783203125,4423266.344039352
49,2597291.8,1611.6265,449288.25,670.29584,3046637.173998174,4102158.5,2025.3785400390625,671429.75,819.4081420898438,4773589.110387731
50,2569869.0,1603.0946,448064.06,669.3828,3017984.279117583,3980170.25,1995.0362548828125,619372.875,787.0025634765625,4599542.854311342
51,2608858.2,1615.213,451715.7,672.10596,3060639.863523689,3755467.75,1937.90283203125,630834.0,794.2505493164062,4386301.835792824
52,2579852.0,1606.1793,448064.4,669.377,3027872.9641596363,3662364.75,1913.73046875,661688.125,813.4420166015625,4324052.240740741
53,2549591.0,1596.747,447361.12,668.8556,2996970.563604388,3550193.25,1884.1954345703125,627634.125,792.2335815429688,4177826.9204282407
54,2555547.2,1598.6018,447483.3,668.94366,3003013.232418208,3718456.25,1928.3299560546875,626996.5625,791.8311157226562,4345452.45775463
55,2568415.5,1602.6217,448356.22,669.5844,3016739.2047104477,3794489.5,1947.9449462890625,641936.0625,801.2090454101562,4436426.092881944
56,2550250.0,1596.9647,441580.12,664.5208,2991880.477957252,3778689.5,1943.885498046875,772328.8125,878.8226318359375,4551018.665943287
57,2570404.8,1603.2611,450141.88,670.9345,3020600.184886121,3472908.25,1863.5736083984375,627342.5,792.049560546875,4100249.503472222
58,2519791.8,1587.4015,446769.7,668.41266,2966620.245299519,3700472.25,1923.661376953125,624100.75,790.0004272460938,4324572.810040509
59,2532197.5,1591.246,440142.97,663.43726,2972213.661603951,3770303.5,1941.7271728515625,676413.25,822.443359375,4446716.485966436
60,2557148.8,1599.1073,442213.9,664.9935,2999362.728580982,3787291.25,1946.096435546875,758772.375,871.075439453125,4546063.408854167
61,2559676.0,1599.911,441966.75,664.8121,3001690.794505067,3552364.25,1884.771240234375,694194.9375,833.1835327148438,4246558.291377314
62,2516681.8,1586.415,439104.75,662.657,2955825.395107256,3587336.5,1894.026611328125,734171.3125,856.8380737304688,4321508.134548611
63,2494001.8,1579.1865,437262.72,661.22186,2931044.576553216,3535507.75,1880.2950439453125,715239.75,845.7183837890625,4250748.337962963
64,2529409.0,1590.4144,435535.62,659.95233,2964953.254356465,3680477.25,1918.45703125,628654.375,792.8772583007812,4309131.287037037
65,2526403.8,1589.4763,436431.22,660.63416,2962872.680286916,3722462.25,1929.368408203125,621075.25,788.083251953125,4343537.538194444
66,2495820.5,1579.7112,436694.22,660.83453,2932188.4406668767,3693700.5,1921.900390625,661594.0625,813.38427734375,4355294.854311342
67,2512061.8,1584.9615,431446.38,656.8481,2943551.4361110753,3472191.0,1863.382080078125,643521.4375,802.1979370117188,4115713.891059028
68,2498135.5,1580.5608,433647.47,658.5263,2931828.7443221277,3555179.25,1885.5185546875,598707.375,773.7616577148438,4153886.3920717593
69,2478784.2,1574.4265,434088.12,658.8606,2912916.04841624,3681003.5,1918.59375,623449.125,789.5878295898438,4304451.692563658
70,2496647.2,1580.0817,434639.6,659.277,2931304.3879681192,3740815.0,1934.118408203125,691849.4375,831.774658203125,4432663.915075231
71,2488733.5,1577.567,430217.66,655.9084,2918935.7806447567,3576322.25,1891.116455078125,619750.4375,787.2425537109375,4196072.82349537
72,2483692.8,1575.984,432012.1,657.28235,2915745.2200689963,3572641.0,1890.1431884765625,621400.375,788.28955078125,4194040.6124131945
73,2476213.0,1573.5896,432219.03,657.439,2908410.3415581034,3697982.25,1923.0145263671875,633311.6875,795.8088989257812,4331294.989293981
74,2465192.0,1570.1077,426936.34,653.40686,2892178.80261195,3667001.5,1914.941650390625,618208.9375,786.2626953125,4285211.149884259
75,2483335.8,1575.8755,428782.6,654.8232,2912176.5453827903,3672639.0,1916.412841796875,683042.0625,826.4632568359375,4355680.704282408
76,2470535.0,1571.8071,427295.1,653.6843,2897878.6190970703,3454510.5,1858.631103515625,679164.5625,824.114501953125,4133674.92578125
77,2454573.0,1566.7097,426831.72,653.3229,2881411.4405318424,3802955.75,1950.1168212890625,680491.5,824.9190673828125,4483446.752170139
78,2464090.5,1569.751,425955.28,652.6593,2890082.2747579026,3399051.0,1843.6517333984375,619231.75,786.9130249023438,4018283.417534722
79,2478269.0,1574.2654,430269.06,655.9559,2908589.9606005168,3564939.75,1888.1043701171875,795373.6875,891.8372802734375,4360312.838396991
80,2458698.5,1568.0345,430537.75,656.15906,2889276.717416536,3620845.75,1902.8521728515625,634332.5625,796.4495849609375,4255178.775896991
81,2466397.0,1570.4792,422549.72,650.0423,2888959.9712891276,3707749.75,1925.552001953125,617923.0,786.08056640625,4325673.862268519
82,2465619.8,1570.2434,427745.06,654.02893,2893416.7980256053,3795135.0,1948.1102294921875,618892.625,786.6973876953125,4414026.716145833
83,2441243.2,1562.4562,419871.2,647.9816,2861148.014783045,3750195.0,1936.5418701171875,749743.9375,865.8775634765625,4499939.015625
84,2437350.5,1561.213,422064.25,649.67096,2859459.6836804575,3682689.75,1919.033447265625,740960.0625,860.7901611328125,4423649.175347222
85,2424874.8,1557.2086,421251.28,649.0437,2846157.5614775973,3668743.75,1915.396240234375,623493.875,789.6162109375,4292236.636284722
86,2448857.0,1564.8834,423497.75,650.7654,2872357.6478802823,3462617.0,1860.810791015625,609661.8125,780.808349609375,4072278.635561343
87,2446527.0,1564.0994,420661.28,648.58203,2867061.833722897,3548702.75,1883.7998046875,695278.5625,833.833740234375,4243981.886863426
88,2433481.2,1559.9762,416796.06,645.6049,2850329.88878154,3549280.0,1883.95361328125,631074.3125,794.4017333984375,4180355.0358796297
89,2408364.2,1551.8945,419411.47,647.6251,2827795.4756922117,3801303.75,1949.6929931640625,619499.625,787.0831298828125,4420802.948784722
90,2427606.5,1558.0869,416397.94,645.28723,2844028.512177204,3677239.75,1917.6129150390625,623633.25,789.7044067382812,4300872.290653936
91,2421029.5,1555.917,413541.12,643.0609,2834404.446671082,3863551.5,1965.5921630859375,654881.25,809.2474365234375,4518434.576967592
92,2428502.0,1558.3751,417187.47,645.89844,2845717.512201317,3489342.5,1867.9786376953125,642153.4375,801.3446655273438,4131497.069155093
93,2395679.5,1547.7738,414242.97,643.61884,2809851.444292709,3455881.75,1859.0001220703125,674341.875,821.183349609375,4130223.929108796
94,2415833.5,1554.2958,415055.53,644.25415,2830899.005388513,3894910.75,1973.5531005859375,660780.6875,812.8839721679688,4555691.738570602
95,2389413.8,1545.782,411149.56,641.2109,2800595.3997659404,3533681.5,1879.80908203125,657957.0625,811.1456298828125,4191638.7258391203
96,2417945.8,1554.936,408786.5,639.3681,2826617.24992123,3642455.0,1908.5218505859375,640939.5625,800.587158203125,4283395.761429398
97,2432019.5,1559.5038,413110.22,642.7374,2845161.4353828547,3704562.75,1924.7242431640625,626450.5625,791.4862060546875,4331013.754050926
98,2406626.5,1551.3401,410451.1,640.6685,2817114.2315806733,3572832.5,1890.1942138671875,662330.9375,813.8369140625,4235162.967303241
99,2395317.8,1547.6974,411435.9,641.439,2806809.6742505594,3620313.0,1902.7119140625,645366.9375,803.34716796875,4265678.931423611
