epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss
0,4776990.5,2185.6467,642606.2,801.6333,5419671.15931962,3695328.5,1922.3232421875,598890.5,773.8801879882812,4294217.018373842
1,3378741.5,1838.1559,601123.3,775.3304,3979953.6340087196,3551331.5,1884.4974365234375,586315.375,765.71240234375,4137645.975405093
2,3337891.0,1826.9982,597482.94,772.9734,3935410.437001659,3597686.5,1896.7568359375,590084.875,768.169677734375,4187771.4606481483
3,3283977.2,1812.1892,594527.44,771.061,3878567.094585123,3548920.0,1883.85791015625,588490.9375,767.131591796875,4137411.663628472
4,3274451.0,1809.5062,594038.4,770.7388,3868350.3729760926,3514158.75,1874.60888671875,590475.75,768.4242553710938,4104633.977141204
5,3250958.2,1803.0511,591569.94,769.14166,3842575.565214351,3562021.0,1887.3316650390625,592824.375,769.950927734375,4154845.151909722
6,3256583.8,1804.5138,590948.4,768.735,3847225.6816243986,3575985.0,1891.027587890625,593934.6875,770.6715698242188,4169919.8858506945
7,3245357.5,1801.4252,591062.3,768.7974,3836179.426991435,3593920.0,1895.763671875,588314.125,767.0164184570312,4182234.163917824
8,3248614.2,1802.4061,591330.6,768.98254,3840002.0841794414,3460689.75,1860.2930908203125,590330.5,768.32958984375,4051019.985532407
9,3233732.0,1798.2731,589797.4,767.9915,3823598.309813781,3470125.25,1862.8271484375,592158.25,769.5181884765625,4062283.994068287
10,3235853.8,1798.8558,588610.94,767.2169,3824504.52871891,3972891.25,1993.2113037109375,586758.6875,766.0016479492188,4559650.452546297
11,3240643.2,1800.1804,590194.9,768.2423,3830847.948288279,3472299.5,1863.4105224609375,591435.25,769.0484619140625,4063734.564380787
12,3225379.2,1795.9471,589849.7,768.02454,3815289.0235731374,3455997.0,1859.03125,592301.0,769.61083984375,4048297.9247685187
13,3219763.2,1794.3912,588724.5,767.29224,3808578.511810682,3472269.75,1863.40283203125,592333.3125,769.632080078125,4064603.1821469907
14,3227094.8,1796.4164,588054.94,766.8548,3815180.865720408,3521319.75,1876.5177001953125,596647.25,772.4295043945312,4117966.232349537
15,3211629.8,1792.1106,588186.94,766.94,3799858.6922519226,3502482.25,1871.491943359375,587045.5625,766.1890869140625,4089528.123263889
16,3215077.8,1793.0718,588624.2,767.2259,3803741.9346514186,3579078.0,1891.8450927734375,588288.5625,766.9995727539062,4167365.9171006945
17,3214155.5,1792.8232,588459.44,767.12067,3802689.046520133,3484023.5,1866.5533447265625,588461.625,767.1124877929688,4072484.5002893517
18,3209053.8,1791.4015,587221.44,766.3116,3796352.81311087,3500774.0,1871.0355224609375,589395.625,767.7210693359375,4090168.5422453703
19,3216260.8,1793.3873,587594.8,766.55225,3803839.7413288667,3593715.75,1895.7095947265625,598487.5625,773.6200561523438,4192203.0436921297
20,3208117.8,1791.1248,586607.5,765.90356,3794734.0455676587,3458671.5,1859.7498779296875,589725.875,767.9360961914062,4048396.4765625
21,3201584.0,1789.3146,587281.94,766.3443,3788929.773968595,3511025.75,1873.7730712890625,587876.75,766.731201171875,4098901.9500868055
22,3207074.5,1790.8422,587433.06,766.4511,3794567.3379764785,3470868.75,1863.026611328125,599704.4375,774.40576171875,4070573.661892361
23,3204530.2,1790.1045,586271.8,765.68207,3790742.4683312327,3583534.0,1893.0223388671875,606314.125,778.6618041992188,4189846.951967593
24,3203492.0,1789.8451,585692.0,765.3153,3789253.192160292,3499119.0,1870.5933837890625,587041.875,766.186767578125,4086160.966435185
25,3201400.0,1789.251,587545.44,766.50854,3788953.8309354023,3459739.0,1860.03759765625,593916.8125,770.6600952148438,4053656.1459780093
26,3206184.5,1790.5725,586257.6,765.6763,3792412.3131719567,3472460.25,1863.4539794921875,598639.125,773.7177124023438,4071099.380787037
27,3205058.8,1790.2565,586736.94,765.9918,3791763.741889902,3548623.0,1883.7789306640625,590600.5,768.5051879882812,4139223.337528935
28,3196788.8,1787.966,586844.2,766.0668,3783679.507383485,3478606.75,1865.102294921875,588622.9375,767.2177124023438,4067229.5069444445
29,3199485.0,1788.7219,586770.6,766.01276,3786301.4545513,3472222.5,1863.39013671875,594917.3125,771.3088989257812,4067140.269965278
30,3193904.2,1787.1606,586846.3,766.0585,3780788.841810489,3457802.25,1859.516357421875,589244.0,767.6219482421875,4047046.218894676
31,3196499.5,1787.8885,587156.1,766.2664,3783709.3690456287,3469678.5,1862.7071533203125,594161.125,770.8184204101562,4063838.7844328703
32,3188977.5,1785.7876,586472.25,765.8236,3775522.41056708,3469070.5,1862.5438232421875,589210.1875,767.6002807617188,4058280.070891204
33,3201999.2,1789.3845,586544.25,765.8458,3788415.935480915,3502993.0,1871.6287841796875,589001.75,767.4645385742188,4091995.9428530093
34,3195070.2,1787.4933,585819.94,765.39484,3780962.9622402196,3446378.75,1856.442138671875,590223.125,768.2597045898438,4036601.443576389
35,3200351.2,1788.9653,586698.3,765.9681,3787105.924070514,3571961.0,1889.962890625,590210.1875,768.2514038085938,4162169.8580729165
36,3188682.5,1785.6868,585671.0,765.29443,3774352.2710589264,3465369.5,1861.550048828125,591468.625,769.070068359375,4056837.689380787
37,3194748.2,1787.3885,585811.25,765.37787,3780556.580674979,3492103.75,1868.71728515625,593927.625,770.6670532226562,4086031.658564815
38,3195032.8,1787.4661,586009.1,765.52155,3781055.8053994444,3480079.75,1865.49658203125,591229.4375,768.9144897460938,4071308.816261574
39,3189314.0,1785.8685,586425.1,765.7843,3775749.579676689,3509538.75,1873.376220703125,591754.5,769.2556762695312,4101294.344328704
40,3190022.8,1786.0619,585464.94,765.13916,3775452.354596955,3459479.75,1859.967529296875,589976.9375,768.0994262695312,4049456.896846065
41,3198302.8,1788.3688,586080.8,765.5652,3784353.479137195,3491053.75,1868.4365234375,590992.5625,768.760498046875,4082046.8411458335
42,3186216.0,1785.0098,586194.8,765.6396,3772463.602336737,3456652.75,1859.2076416015625,591030.3125,768.7847900390625,4047682.3408564813
43,3190133.2,1786.1095,584518.1,764.53925,3774711.4272615034,3455443.5,1858.882080078125,586119.3125,765.5843505859375,4041562.399594907
44,3190270.2,1786.144,584553.7,764.569,3774879.3289404307,3477041.25,1864.6824951171875,607286.9375,779.286376953125,4084328.0305266203
45,3184343.2,1784.489,585978.06,765.49774,3770390.1941504413,3450905.75,1857.66162109375,589975.9375,768.0989379882812,4040882.3969907407
46,3187320.2,1785.3147,585191.25,764.9867,3772554.5360927493,3518741.75,1875.8306884765625,595350.6875,771.5896606445312,4114091.620949074
47,3185122.0,1784.6858,585648.75,765.2818,3770759.611806824,3539590.5,1881.380126953125,608193.3125,779.86767578125,4147784.138454861
48,3187980.8,1785.4865,586315.2,765.7192,3774284.6874726717,3524072.5,1877.2513427734375,589799.5625,767.9839477539062,4113872.479311343
49,3184929.8,1784.6521,585755.5,765.3555,3770753.342331336,3526607.5,1877.92626953125,588366.5625,767.0504760742188,4114974.5026041665
