epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss
0,77336280.0,8794.13,631550.7,794.7041,77968325.46546979,78321984.0,8849.970703125,596885.3125,772.5835571289062,78918866.08333333
1,77262750.0,8789.837,631510.0,794.6848,77892723.57128526,78249744.0,8845.8896484375,596856.5,772.5650634765625,78846599.62037037
2,77190340.0,8785.795,631478.9,794.66455,77821710.69389644,78179552.0,8841.9208984375,596824.125,772.5439453125,78776388.32407407
3,77111600.0,8781.297,631452.25,794.6494,77742607.22899252,78086136.0,8836.6376953125,596799.9375,772.5281982421875,78682936.78703703
4,77017430.0,8776.014,631434.1,794.6361,77649861.01658994,77996096.0,8831.541015625,596778.1875,772.5139770507812,78592872.85185185
5,76929200.0,8770.984,631386.06,794.6067,77561568.1251061,77907576.0,8826.5283203125,596748.375,772.494873046875,78504315.49074075
6,76832610.0,8765.399,631346.2,794.58093,77463491.53074925,77775664.0,8819.05078125,596697.6875,772.4620361328125,78372347.60185185
7,76697540.0,8757.749,631335.94,794.57196,77329508.40947555,77656592.0,8812.296875,596693.125,772.4592895507812,78253289.25925925
8,76575016.0,8750.7705,631314.6,794.56226,77207304.66627228,77541672.0,8805.775390625,596645.25,772.427978515625,78138316.68518518
9,76464090.0,8744.389,631316.9,794.5604,77095608.11811003,77428456.0,8799.341796875,596654.625,772.4342041015625,78025071.14814815
10,76349416.0,8737.849,631288.44,794.54443,76981260.78191312,77315248.0,8792.9091796875,596632.625,772.4200439453125,77911888.80555555
11,76249416.0,8731.421,631283.2,794.54034,76868956.18138327,77202488.0,8786.494140625,596609.875,772.4052734375,77799092.25
12,76125896.0,8725.015,631380.94,794.5999,76757329.51073845,77090096.0,8780.0947265625,596714.3125,772.4727172851562,77686804.25925925
13,76015480.0,8718.692,631361.2,794.5905,76647031.13896963,76977568.0,8773.6884765625,596616.25,772.4093627929688,77574193.62962963
14,75906330.0,8712.451,631305.1,794.5529,76538170.59728903,76865352.0,8767.287109375,596560.0625,772.3731079101562,77461886.37962963
