epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,second_out_loss,second_out_root_mean_squared_error,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss,val_second_out_loss,val_second_out_root_mean_squared_error
0,8104141.0,2846.7954,622155.4,788.77716,9475219.243383318,748788.2,865.333,7097807.0,2664.17041015625,587849.6875,766.7135620117188,8628932.242476853,943276.3125,971.2239990234375
1,6176407.0,2485.2239,589603.56,767.8592,7482194.039455747,716252.1,846.3119,5992668.5,2447.992919921875,617035.875,785.5164184570312,7553913.319155092,944207.5625,971.7032470703125
2,6048158.5,2459.324,572094.6,756.37695,7314647.019965791,694249.3,833.2218,5947401.0,2438.7294921875,595340.25,771.5830688476562,7475398.817418981,932657.875,965.7417602539062
3,5892113.0,2427.385,559949.6,748.30414,7127649.006420561,675476.44,821.8807,5956360.5,2440.565185546875,650837.9375,806.7453002929688,7524514.786747686,917317.875,957.7671508789062
4,5861546.0,2421.0786,547973.8,740.2613,7074671.479371898,665047.7,815.5146,5790363.5,2406.317626953125,654580.375,809.0615844726562,7351239.577835648,906294.25,951.99462890625
5,5711500.0,2389.8967,535900.06,732.0566,6900447.62422516,652932.1,808.0424,5661420.0,2379.37451171875,647262.0,804.5261840820312,7217823.524305556,909139.1875,953.4879150390625
6,5685394.5,2384.4,534258.56,730.93634,6867098.443423828,647459.3,804.65015,6380076.5,2525.8818359375,629700.3125,793.53662109375,7924662.416666667,914885.75,956.4965209960938
7,5615008.0,2369.6099,523329.8,723.4235,6778431.677878804,640023.44,800.0217,5752975.0,2398.535400390625,641041.3125,800.6505737304688,7286628.463107639,892613.125,944.7821044921875
8,5621870.0,2371.0728,518230.8,719.88025,6772383.6637645,632164.9,795.0924,5884455.0,2425.7900390625,639343.5,799.5894775390625,7407826.426793981,884026.125,940.2266235351562
9,5537932.5,2353.2842,511880.4,715.45557,6677466.828390648,627645.0,792.2384,5820585.0,2412.589599609375,594744.875,771.197021484375,7318988.474537037,903657.6875,950.609375
10,5527712.5,2351.123,505754.53,711.17175,6656008.478449163,622446.6,788.9618,5795756.0,2407.4375,593615.8125,770.4644775390625,7275450.62181713,886079.875,941.3180541992188
11,5474260.5,2339.7227,505883.7,711.264,6599600.22570668,619382.0,787.0164,6258207.0,2501.640869140625,627305.125,792.0262451171875,7780206.63599537,894693.875,945.8825073242188
12,5428531.0,2329.9258,500098.12,707.17834,6541471.261092106,612809.2,782.8263,5706216.5,2388.76904296875,605933.5,778.4172973632812,7218913.2265625,906762.75,952.2409057617188
13,5384070.0,2320.379,501658.84,708.2868,6495768.011947324,609934.3,780.98914,6173982.0,2484.749267578125,654378.375,808.9365844726562,7740631.047453703,912271.5,955.129150390625
14,5361634.5,2315.5356,495472.38,703.90234,6464241.165899329,607053.5,779.1427,5736113.0,2395.0185546875,645522.375,803.444091796875,7281608.193865741,899971.5625,948.66845703125
15,5330905.0,2308.8586,492770.47,701.9765,6430302.823529412,606711.56,778.91223,5768937.0,2401.861328125,662546.0,813.9692993164062,7318026.089409722,886543.5,941.564453125
16,5311886.5,2304.7559,487921.22,698.5156,6399966.129313061,600127.94,774.68756,5607302.5,2367.97412109375,635941.3125,797.4593505859375,7163176.701822917,919933.9375,959.1319580078125
17,5280800.5,2298.0137,485363.44,696.6888,6366125.67350787,599868.56,774.5204,6626714.0,2574.2412109375,620307.5,787.59619140625,8128184.564236111,881162.5,938.7025756835938
18,5280610.0,2297.9614,482746.12,694.8066,6359694.104977944,596291.6,772.2062,5951431.5,2439.55517578125,619547.3125,787.1132202148438,7471225.155815972,900248.125,948.814208984375
