epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,second_out_loss,second_out_root_mean_squared_error,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss,val_second_out_loss,val_second_out_root_mean_squared_error
0,8824828.0,2970.6863,612151.7,782.41003,10190220.749421282,753065.6,867.80176,6604376.5,2569.89794921875,588505.9375,767.1414794921875,8150613.713252314,957734.125,978.6389770507812
1,6166243.0,2483.2107,593999.94,770.7193,7490907.629677976,730557.75,854.73334,6230691.0,2496.135009765625,585706.1875,765.3143920898438,7771002.926215278,954604.875,977.0388793945312
2,6034224.0,2456.4644,593123.3,770.1385,7355124.673273168,727796.2,853.10754,6497407.5,2549.00146484375,589139.3125,767.5540161132812,8057340.514756944,970793.875,985.28857421875
3,6039355.5,2457.5261,591976.9,769.409,7358189.940581677,726747.2,852.50354,6228118.0,2495.61962890625,596580.0625,772.3859252929688,7785057.584490741,960360.5,979.9797973632812
4,5989076.0,2447.2734,590941.9,768.7345,7305881.347424059,725759.3,851.92267,6354637.5,2520.8408203125,591774.3125,769.2685546875,7901293.953125,954881.5,977.1805419921875
5,5994648.0,2448.4072,589222.44,767.6111,7306957.566809846,723017.56,850.313,6294409.5,2508.866455078125,588144.8125,766.906005859375,7837797.787037037,955242.5625,977.365478515625
6,5980748.0,2445.5364,590244.2,768.2564,7294469.366923661,723617.06,850.65,6373072.5,2524.4951171875,586742.4375,765.9910888671875,7910700.895543981,950887.5,975.1347045898438
7,5954803.0,2440.258,588968.06,767.45105,7266659.275383241,722803.0,850.18787,6611528.5,2571.288818359375,595048.1875,771.3937377929688,8163719.919849537,957143.75,978.3373413085938
8,5972753.5,2443.9407,589530.6,767.8135,7284159.952519355,721776.3,849.5766,6167532.5,2483.4521484375,594965.9375,771.3404541015625,7713545.375289352,951044.6875,975.215087890625
9,5953012.0,2439.8945,588395.9,767.07666,7263519.274640552,722018.3,849.7212,6238866.0,2497.772216796875,599146.25,774.04541015625,7801395.131365741,963382.4375,981.5204467773438
10,5957418.0,2440.7676,585400.6,765.1082,7263358.508129389,720633.56,848.89526,6207363.0,2491.45751953125,587802.4375,766.6828002929688,7743731.25462963,948567.3125,973.9443359375
11,5924054.0,2433.9094,587645.7,766.54803,7232590.6430431595,721210.7,849.166,6147342.0,2479.382568359375,588947.75,767.42919921875,7683848.984953703,947562.3125,973.4281616210938
12,5917597.5,2432.6372,587217.1,766.31036,7224978.008465367,720008.8,848.5432,6284416.5,2506.874267578125,587392.3125,766.4152221679688,7830498.752604167,958689.0625,979.1268920898438
13,5939342.5,2437.0647,588194.1,766.9389,7248456.5133812595,720997.1,849.1032,6145362.0,2478.984375,594459.125,771.0116577148438,7698058.369212963,958236.5,978.8954467773438
14,5947005.0,2438.6233,587129.1,766.2439,7254321.636336454,720306.94,848.70966,6253839.0,2500.767333984375,597459.75,772.9552612304688,7814707.74681713,963411.125,981.53466796875
15,5921513.0,2433.2861,587656.56,766.5832,7228769.240607075,720280.6,848.6663,6462999.5,2542.24267578125,603607.5625,776.9217529296875,8025421.241608797,958815.625,979.1913452148438
16,5920039.5,2433.1301,587114.3,766.23535,7227413.389263806,720195.5,848.6332,6278186.5,2505.630859375,594440.5625,770.9999389648438,7827571.101273148,954941.4375,977.2108764648438
17,5925078.0,2434.0974,587558.9,766.5304,7232216.052338666,719807.2,848.42285,6160673.0,2482.06982421875,596282.0,772.1929931640625,7717270.877314814,960318.6875,979.9583740234375
18,5892482.0,2427.464,585719.2,765.3304,7197795.777109751,719470.5,848.22345,6310022.5,2511.975830078125,590270.5,768.2906494140625,7856454.294270833,956161.1875,977.8348388671875
19,5897280.5,2428.4531,586780.6,766.022,7203935.980924793,719754.3,848.38934,6191788.0,2488.33056640625,602210.0625,776.0220947265625,7746588.489583333,952588.0625,976.0062866210938
20,5902095.5,2429.4219,586961.94,766.1378,7208006.032990174,718954.4,847.9127,6310454.5,2512.06201171875,591017.75,768.7767944335938,7860309.550925926,958835.875,979.2017822265625
21,5901596.0,2429.3423,587292.4,766.3479,7208368.537986445,719364.2,848.16125,6376228.0,2525.119140625,594878.875,771.2839965820312,7920477.951967592,949370.5625,974.3564453125
22,5884728.5,2425.7434,586354.7,765.73956,7189001.86614239,718409.44,847.5948,6211083.5,2492.204345703125,588267.5,766.986083984375,7746937.005787037,947586.125,973.4405517578125
23,5906617.5,2430.3076,586893.4,766.0946,7212393.4066800205,719092.25,847.99634,6194759.0,2488.92724609375,589356.5625,767.6956787109375,7731881.805555556,947765.875,973.532958984375
24,5895395.0,2428.0417,585941.8,765.4775,7200175.500694462,718817.94,847.84106,6255678.0,2501.135009765625,588851.5,767.3665161132812,7803789.775173611,959258.9375,979.4174194335938
25,5885728.0,2426.0684,587323.56,766.37885,7191892.430913861,718732.06,847.7882,6290805.5,2508.1474609375,592088.5625,769.4729614257812,7840494.701678241,957600.0,978.5706176757812
26,5885946.0,2426.1094,586293.25,765.7067,7191015.728269117,718692.06,847.7666,6230539.5,2496.104736328125,593951.875,770.6826782226562,7784292.022569444,959802.125,979.695068359375
27,5891482.5,2427.253,586593.75,765.90137,7196701.471392011,718527.8,847.6672,6271766.0,2504.34912109375,597276.75,772.8368530273438,7820954.059895833,951910.8125,975.6591796875
28,5897522.5,2428.5012,585810.2,765.3862,7201933.012799326,718483.25,847.643,6151052.0,2480.131591796875,588354.5,767.0427856445312,7694852.019965278,955445.25,977.468994140625
29,5879591.5,2424.7908,586880.7,766.0908,7185312.326852221,718792.25,847.82513,6340911.5,2518.117431640625,592135.3125,769.5033569335938,7886774.999710648,953727.1875,976.589599609375
30,5882932.0,2425.4956,586346.8,765.74054,7187238.231953626,717833.4,847.2605,6225240.5,2495.04296875,591411.125,769.0326538085938,7766896.691261574,950244.5,974.804931640625
31,5889716.0,2426.897,586293.0,765.70667,7193144.86439659,717002.8,846.76685,6169000.5,2483.7470703125,596886.0625,772.5838012695312,7730992.519675926,965106.75,982.3984985351562
32,5880119.5,2424.8918,585980.5,765.49866,7184039.02271792,717947.6,847.3208,6210393.0,2492.06640625,598642.875,773.7200927734375,7758682.653935186,949643.75,974.4966430664062
33,5882644.5,2425.4353,585394.56,765.11774,7186159.769486741,718010.5,847.36176,6296252.5,2509.233154296875,588161.75,766.9170532226562,7835707.689814814,951295.9375,975.3438720703125
34,5882425.0,2425.393,586829.25,766.0542,7187647.54592775,718263.75,847.51263,6170521.5,2484.0537109375,595702.5625,771.81787109375,7719019.345196759,952795.5625,976.1123657226562
35,5867298.0,2422.2673,585332.2,765.0792,7170182.825738188,717443.7,847.02893,6253719.0,2500.74365234375,588383.125,767.0613403320312,7790011.122106481,947910.125,973.6068115234375
36,5884238.0,2425.7607,586531.6,765.8565,7189156.524283675,718292.25,847.5281,6204214.0,2490.82568359375,596447.5,772.3001098632812,7751195.942708333,950535.1875,974.9537963867188
37,5887198.0,2426.3374,585350.9,765.091,7189624.302743769,717125.75,846.84247,6204901.5,2490.9638671875,604242.125,777.3302612304688,7768277.592881944,959135.6875,979.3551025390625
38,5877858.5,2424.4456,586530.4,765.85156,7182127.84402248,717665.0,847.15186,6228637.5,2495.72314453125,594923.125,771.3128662109375,7776520.632233797,952961.25,976.197265625
39,5868659.5,2422.5586,585126.2,764.9452,7171079.105301063,717137.44,846.8502,6213143.5,2492.61767578125,589989.375,768.107421875,7753855.433738426,950722.8125,975.0502319335938
40,5875966.5,2424.054,585853.0,765.4192,7179161.248193112,717248.0,846.9136,6256880.0,2501.375732421875,589736.3125,767.9429321289062,7800168.984085648,953551.5,976.4996948242188
41,5865499.0,2421.8906,586640.0,765.9331,7169914.236818077,717686.4,847.17285,6543004.0,2557.929931640625,592507.5625,769.7452392578125,8088278.6015625,952766.4375,976.09765625
42,5867894.0,2422.37,585779.56,765.35065,7170758.097571954,717111.5,846.8245,6227798.5,2495.554931640625,589654.4375,767.8896484375,7768690.182291667,951238.3125,975.3143920898438
43,5867149.5,2422.2383,585517.2,765.19934,7169962.657202475,717180.3,846.8734,6197690.5,2489.516357421875,588854.0625,767.3681640625,7738571.228587963,952026.3125,975.7183227539062
44,5869360.5,2422.6975,586201.6,765.64813,7173365.727121325,717671.56,847.1652,6263280.5,2502.654296875,595989.75,772.0037231445312,7811174.343460648,951905.4375,975.6563110351562
45,5863509.5,2421.488,586034.94,765.5369,7166369.265993531,716706.44,846.5926,6206687.0,2491.32275390625,596065.125,772.0523681640625,7757170.015625,954414.875,976.9415893554688
46,5872823.5,2423.4014,585752.06,765.3507,7175701.5086100465,717062.7,846.7992,6203958.0,2490.774169921875,598868.75,773.8660888671875,7755109.34375,952283.5625,975.85009765625
47,5879293.0,2424.585,585512.4,765.19116,7180911.257883433,716783.06,846.628,6215810.0,2493.15234375,590497.5625,768.4384155273438,7758251.047743056,951945.4375,975.6767578125
48,5864640.5,2421.713,585799.94,765.38074,7167176.504710127,716689.75,846.5689,6195402.0,2489.056640625,600117.9375,774.6727294921875,7745089.274305556,949569.125,974.4585571289062
49,5864681.0,2421.7358,584927.8,764.81323,7166793.925522133,717036.4,846.7885,6210747.5,2492.13671875,591436.3125,769.0490112304688,7754025.611979167,951843.25,975.6243896484375
