epoch,first_out_loss,first_out_root_mean_squared_error,last_out_loss,last_out_root_mean_squared_error,loss,second_out_loss,second_out_root_mean_squared_error,val_first_out_loss,val_first_out_root_mean_squared_error,val_last_out_loss,val_last_out_root_mean_squared_error,val_loss,val_second_out_loss,val_second_out_root_mean_squared_error
0,154250900.0,12419.891,631551.2,794.7031,155651789.73821342,766688.25,875.6024,155904240.0,12486.1572265625,596883.875,772.582763671875,157472333.6851852,971291.4375,985.5411987304688
1,154160830.0,12416.152,631510.4,794.6808,155558841.52864015,766598.6,875.558,155813040.0,12482.5068359375,596852.5,772.5623779296875,157381101.37037036,971205.6875,985.497802734375
2,154068930.0,12412.5205,631481.0,794.66284,155468639.69299623,766508.1,875.5091,155722432.0,12478.880859375,596822.4375,772.5427856445312,157290426.46296296,971130.5625,985.4593505859375
3,153981300.0,12408.905,631451.2,794.6427,155378962.38071966,766413.44,875.4574,155631856.0,12475.251953125,596806.875,772.5328369140625,157199786.0185185,971060.375,985.423828125
4,153889000.0,12405.242,631433.94,794.6259,155287888.4146197,766361.0,875.41046,155541200.0,12471.62109375,596759.3125,772.5018310546875,157109016.07407406,970985.6875,985.3861083984375
5,153798050.0,12401.584,631406.4,794.61237,155196972.31348544,766293.2,875.3752,155450896.0,12467.9912109375,596723.6875,772.47900390625,157018540.75925925,970900.6875,985.3428955078125
6,153711260.0,12398.002,631423.06,794.61273,155107874.33298182,766180.7,875.31757,155360272.0,12464.361328125,596792.3125,772.523193359375,156927872.92592594,970808.125,985.2958374023438
7,153618340.0,12394.349,631389.56,794.61017,155017574.2369917,766107.5,875.286,155269824.0,12460.728515625,596771.3125,772.509765625,156837372.85185185,970819.1875,985.3015747070312
8,153528210.0,12390.7,631365.2,794.5831,154927084.57316288,766168.1,875.3161,155179600.0,12457.111328125,596660.25,772.4378051757812,156747137.7222222,970857.9375,985.3213500976562
9,153440320.0,12387.139,631310.9,794.5607,154838484.14516833,766075.1,875.2658,155089552.0,12453.4951171875,596670.875,772.4447631835938,156656815.4814815,970592.0,985.1859741210938
10,153345820.0,12383.328,631322.8,794.5671,154744190.14007562,765950.8,875.1932,154998800.0,12449.85546875,596667.9375,772.4429321289062,156566260.62962964,970699.75,985.2410278320312
11,153262580.0,12379.91,631315.8,794.5597,154659620.64744464,766034.94,875.2346,154908832.0,12446.236328125,596726.25,772.4806518554688,156476482.4074074,970962.0,985.3740844726562
12,153170270.0,12376.059,631295.75,794.5502,154564228.95876953,766100.8,875.2825,154818592.0,12442.61328125,596586.6875,772.39013671875,156385876.55555555,970699.625,985.2409057617188
13,153076300.0,12372.376,631230.75,794.5089,154472883.30934438,765915.0,875.1745,154728224.0,12438.98046875,596556.8125,772.3707275390625,156295332.5185185,970516.25,985.1477661132812
14,152987460.0,12368.861,631230.75,794.49554,154385876.79209855,765826.56,875.11847,154638368.0,12435.369140625,596621.75,772.4127807617188,156205506.75925925,970478.6875,985.128662109375
15,152901260.0,12365.351,631274.8,794.5276,154298973.66290286,765795.2,875.09973,154548336.0,12431.7470703125,596665.5,772.441162109375,156115420.8148148,970414.3125,985.0961303710938
16,152814220.0,12361.74,631247.3,794.48846,154209735.60678002,765841.4,875.11005,154458432.0,12428.12890625,596504.1875,772.3369140625,156025625.8148148,970678.5,985.2303466796875
17,152711420.0,12357.702,631209.8,794.4891,154109879.68311942,765842.5,875.1242,154368128.0,12424.498046875,596632.6875,772.420166015625,155935128.64814815,970377.4375,985.0771484375
18,152625400.0,12354.165,631075.5,794.40814,154022080.0843643,765565.8,874.96735,154278320.0,12420.8818359375,596438.9375,772.2945556640625,155845017.0185185,970279.75,985.0274047851562
19,152538640.0,12350.531,631179.3,794.4478,153932402.90460145,765723.5,875.01215,154188272.0,12417.2578125,596582.1875,772.387451171875,155755179.7777778,970346.3125,985.0615844726562
20,152458060.0,12347.345,631264.25,794.52075,153853792.89138097,765518.2,874.93604,154098736.0,12413.6552734375,596526.6875,772.3513793945312,155665397.5185185,970087.0625,984.9299926757812
21,152363200.0,12343.607,631201.7,794.4855,153761281.26957998,765472.2,874.9079,154008992.0,12410.03515625,596522.5625,772.3486328125,155575493.8888889,970006.0,984.8886108398438
22,152277170.0,12340.003,631057.75,794.39514,153672243.97458783,765486.3,874.9116,153919104.0,12406.4140625,596410.6875,772.2761840820312,155485623.44444445,970092.9375,984.9328002929688
23,152178830.0,12336.145,631096.4,794.4207,153577071.93827,765412.56,874.8802,153829344.0,12402.794921875,596478.5625,772.3201904296875,155395840.0185185,970036.4375,984.904052734375
24,152096370.0,12332.768,631204.4,794.48883,153493778.47681266,765282.3,874.8065,153739808.0,12399.185546875,596497.0625,772.3323364257812,155306318.03703704,969982.4375,984.876708984375
25,152000660.0,12328.807,631179.8,794.4744,153395962.9340261,765232.75,874.7811,153650160.0,12395.5703125,596463.5625,772.3104858398438,155216301.55555555,969707.4375,984.7377319335938
26,151918220.0,12325.615,631091.3,794.4213,153317137.34756553,765316.94,874.833,153560704.0,12391.9638671875,596413.3125,772.2779541015625,155127141.85185185,969998.6875,984.8853149414062
27,151832660.0,12322.113,631113.5,794.4348,153230979.8373415,765430.94,874.8981,153471376.0,12388.3583984375,596420.125,772.282470703125,155038005.92592594,970216.5,984.9957885742188
28,151727420.0,12317.801,631035.06,794.38556,153124930.75048226,765543.75,874.9577,153381680.0,12384.7353515625,596348.6875,772.2361450195312,154948072.9814815,970017.4375,984.8946533203125
29,151637660.0,12314.133,630923.75,794.31274,153034204.84333444,765346.75,874.84296,153292096.0,12381.1201171875,596291.9375,772.1995849609375,154858514.42592594,970069.625,984.9212646484375
30,151554560.0,12310.769,631004.4,794.36084,152951291.75071377,765155.9,874.7384,153202704.0,12377.5126953125,596311.8125,772.2123413085938,154768803.87037036,969731.875,984.7499389648438
31,151462430.0,12307.043,631032.56,794.3823,152859460.8709072,765073.25,874.6908,153113344.0,12373.8994140625,596232.5,772.1609497070312,154679592.2962963,969986.5625,984.8790283203125
32,151383860.0,12303.83,630954.9,794.32855,152780085.71969444,764962.4,874.625,153024016.0,12370.2900390625,596301.875,772.2059326171875,154589754.9074074,969404.875,984.5836791992188
33,151290450.0,12300.063,630958.7,794.3368,152687643.4042028,765077.6,874.695,152934800.0,12366.6806640625,596511.25,772.34130859375,154501195.66666666,969939.25,984.8551025390625
34,151205760.0,12296.574,631115.9,794.4369,152602400.58396563,765252.4,874.795,152845968.0,12363.087890625,596511.4375,772.341552734375,154412447.74074075,969959.1875,984.8649291992188
35,151119860.0,12292.8,630996.8,794.3498,152509009.38727847,765141.5,874.7026,152756608.0,12359.47265625,596227.5,772.15771484375,154322421.25925925,969596.4375,984.6807250976562
36,151029330.0,12289.3955,630933.94,794.323,152425096.10679287,765057.25,874.685,152667888.0,12355.8837890625,596427.125,772.2868041992188,154234238.07407406,969951.1875,984.861083984375
37,150935090.0,12285.555,631082.5,794.41656,152331056.3617377,765139.94,874.73315,152578608.0,12352.2734375,596401.9375,772.2705078125,154144701.3888889,969646.375,984.7063598632812
38,150859470.0,12282.492,631058.7,794.39594,152255803.48033643,765019.4,874.6574,152489904.0,12348.681640625,596381.875,772.2576293945312,154055586.44444445,969310.375,984.5352172851562
39,150780780.0,12279.269,631031.8,794.3744,152176573.56722137,765224.75,874.7593,152401072.0,12345.080078125,596205.9375,772.1436767578125,153967221.03703704,970007.4375,984.8898315429688
40,150664750.0,12274.598,630922.9,794.31445,152061994.27557293,765124.5,874.7205,152311984.0,12341.470703125,596347.5,772.2354125976562,153877759.96296296,969467.3125,984.6151733398438
41,150578800.0,12270.916,630959.75,794.3345,151971177.5757607,764751.2,874.505,152223168.0,12337.875,596290.1875,772.1982421875,153788561.62962964,969124.5,984.441162109375
42,150497310.0,12267.742,630946.2,794.32446,151893694.4699195,765361.2,874.856,152134272.0,12334.26953125,596240.8125,772.166259765625,153700499.53703704,969999.75,984.8856811523438
43,150410340.0,12264.236,631064.7,794.40436,151807959.49751794,765463.3,874.915,152045856.0,12330.6884765625,596315.3125,772.2144165039062,153612163.92592594,969968.25,984.8695068359375
44,150318420.0,12260.385,630961.1,794.33923,151713182.29954475,765202.9,874.7648,151956784.0,12327.0771484375,596249.6875,772.171875,153522721.3148148,969665.25,984.7156372070312
45,150220580.0,12256.421,630965.9,794.3353,151616167.7244785,765268.2,874.7981,151868112.0,12323.4765625,596298.875,772.2040405273438,153433620.16666666,969215.5625,984.4876098632812
46,150144560.0,12253.42,630886.8,794.29364,151542216.12366572,764802.56,874.54065,151779552.0,12319.88671875,596202.6875,772.1414794921875,153345074.6851852,969277.875,984.518798828125
47,150059710.0,12249.957,630868.44,794.2821,151457105.04920393,764732.2,874.5001,151691072.0,12316.2939453125,596289.0625,772.1975708007812,153256626.3888889,969258.375,984.5092163085938
48,149987710.0,12246.95,631004.4,794.36786,151383922.82887936,765118.5,874.721,151602704.0,12312.70703125,596347.0625,772.2351684570312,153168864.2037037,969774.8125,984.7713623046875
49,149874580.0,12242.315,631056.94,794.3989,151270307.1336197,765130.0,874.72314,151514288.0,12309.1142578125,596520.5625,772.3473510742188,153080753.37037036,969908.875,984.839599609375
50,149791900.0,12238.955,631143.25,794.44775,151188289.03603488,765101.8,874.69855,151425600.0,12305.5107421875,596262.0625,772.179931640625,152991586.35185185,969746.3125,984.757080078125
51,149698000.0,12235.181,630958.4,794.3289,151096162.45232645,765538.3,874.9425,151337504.0,12301.9345703125,596484.75,772.3243408203125,152903952.94444445,969936.5,984.8536987304688
52,149645360.0,12232.964,631060.6,794.40106,151041365.20836443,765055.1,874.67926,151249600.0,12298.357421875,596411.0,772.2764892578125,152815652.3148148,969632.875,984.6988525390625
53,149526580.0,12228.078,631107.2,794.42535,150922167.78188738,765091.8,874.7013,151160816.0,12294.7490234375,596315.75,772.2149047851562,152726921.55555555,969760.5,984.764404296875
54,149440590.0,12224.608,630923.1,794.3105,150836967.7411456,765045.75,874.6704,151072768.0,12291.1689453125,596267.8125,772.1837768554688,152638718.7962963,969633.625,984.6997680664062
55,149364050.0,12221.465,630914.56,794.3078,150759847.1656164,764844.9,874.56,150984736.0,12287.583984375,596296.3125,772.2024536132812,152551045.55555555,970037.875,984.9051513671875
56,149285170.0,12218.336,630867.3,794.2796,150683558.02474344,764818.75,874.54645,150897072.0,12284.0185546875,596254.0625,772.1749267578125,152462947.0185185,969611.625,984.6885375976562
57,149170030.0,12213.361,630880.7,794.283,150561731.41017002,764639.5,874.4373,150808720.0,12280.419921875,596187.9375,772.1321411132812,152374142.1111111,969249.4375,984.5044555664062
58,149099180.0,12210.637,631046.06,794.38367,150495291.69844905,764579.56,874.4004,150720752.0,12276.8388671875,596329.75,772.2237548828125,152286296.53703704,969226.0625,984.49267578125
59,148990080.0,12206.122,630802.6,794.23126,150384963.5414491,764744.2,874.4942,150632688.0,12273.251953125,596249.0625,772.171630859375,152198300.46296296,969360.375,984.5609130859375
60,148920620.0,12203.27,630811.8,794.2448,150315104.83458936,764662.3,874.457,150545008.0,12269.6767578125,596068.0625,772.0543823242188,152110938.1851852,969912.8125,984.8416137695312
61,148853230.0,12200.585,630941.2,794.32556,150250225.69695723,765014.06,874.6567,150457104.0,12266.0966796875,596463.0625,772.310302734375,152023188.83333334,969602.125,984.6840209960938
62,148765800.0,12196.945,631135.8,794.4452,150161780.91370663,765100.0,874.70386,150369344.0,12262.517578125,596045.4375,772.0397338867188,151935052.12962964,969672.25,984.7191772460938
63,148662350.0,12192.785,630968.56,794.3415,150060068.5754263,764841.0,874.5552,150281328.0,12258.9306640625,596061.3125,772.0499877929688,151846655.33333334,969228.0,984.4940185546875
64,148566340.0,12188.77,630790.56,794.2309,149961667.40543738,764697.5,874.4794,150193584.0,12255.3505859375,596128.125,772.09326171875,151758913.0925926,969226.125,984.4927368164062
65,148482930.0,12185.409,630698.4,794.1734,149879922.37763318,764706.5,874.4831,150105920.0,12251.7705078125,595930.3125,771.9651489257812,151671465.4074074,969645.6875,984.7059326171875
66,148424660.0,12182.915,630743.06,794.2027,149818787.69227603,764580.8,874.4114,150018416.0,12248.2021484375,596015.4375,772.020263671875,151583469.16666666,969036.9375,984.3969116210938
67,148293470.0,12177.529,630834.0,794.25745,149687603.74474654,764424.5,874.3232,149930528.0,12244.61328125,596109.1875,772.0810546875,151496078.16666666,969434.0625,984.5980834960938
68,148242220.0,12175.502,630812.6,794.2469,149638499.3498804,764904.7,874.5977,149843360.0,12241.0517578125,595937.125,771.9697875976562,151408874.5925926,969587.5625,984.6764526367188
69,148121180.0,12170.426,630772.5,794.2135,149515102.9110831,764997.25,874.6476,149755824.0,12237.474609375,596082.4375,772.06396484375,151321150.1111111,969258.4375,984.5089111328125
70,148053340.0,12167.689,630787.8,794.223,149448448.64939943,764901.06,874.56683,149668304.0,12233.8974609375,595973.75,771.9932861328125,151233307.37037036,969037.4375,984.3968505859375
71,147949760.0,12163.504,630819.7,794.24866,149346398.96869776,764692.2,874.4729,149581024.0,12230.330078125,595876.875,771.9306030273438,151146028.5925926,969159.0625,984.4588012695312
72,147850340.0,12159.38,630658.9,794.147,149245913.2208133,764498.0,874.3572,149493424.0,12226.75,595939.0625,771.9708251953125,151058943.3148148,969590.875,984.6780395507812
73,147791100.0,12156.994,630800.06,794.23615,149187716.22418272,764412.1,874.3057,149406080.0,12223.1787109375,596166.25,772.117919921875,150972733.4074074,970443.5625,985.1109619140625
74,147709200.0,12153.445,630762.2,794.20905,149101873.9621904,764948.6,874.61505,149318832.0,12219.6083984375,596044.125,772.0390014648438,150884106.05555555,969221.4375,984.4906616210938
75,147602900.0,12149.2295,630795.06,794.234,148998933.04354537,764424.9,874.3183,149231488.0,12216.0341796875,596172.75,772.1221923828125,150796532.74074075,968879.5625,984.31689453125
76,147513490.0,12145.533,630953.75,794.3281,148909537.9811209,764629.5,874.42096,149144320.0,12212.4609375,596078.5,772.0611572265625,150709779.4814815,969391.0625,984.576416015625
77,147431120.0,12142.224,630669.7,794.1524,148828821.28089714,764641.06,874.4411,149057424.0,12208.9052734375,596355.25,772.2402954101562,150622901.7962963,969106.4375,984.4321899414062
78,147372320.0,12139.734,630933.2,794.32245,148768421.90653053,764189.06,874.18933,148970352.0,12205.3427734375,595929.25,771.9644165039062,150534805.35185185,968562.0,984.155517578125
79,147257840.0,12134.983,630719.44,794.1855,148652911.25142106,764327.2,874.2673,148883072.0,12201.7666015625,596098.25,772.0738525390625,150447964.3888889,968779.6875,984.2659301757812
