epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,38918079.782453254,6238.432,39401479.300925925,6277.06005859375
1,38845553.7184084,6232.6216,39320798.02314815,6270.63134765625
2,38756342.26425577,6225.4614,39228922.050925925,6263.29833984375
3,38672056.911957614,6218.688,39148087.28240741,6256.84375
4,38591990.85552612,6212.2427,39067905.03240741,6250.43212890625
5,38513710.01687286,6205.9404,38988199.416666664,6244.0537109375
6,38433954.41698603,6199.5107,38908461.81481481,6237.66552734375
7,38353491.56434064,6193.021,38828655.9212963,6231.263671875
8,38274733.24751151,6186.6626,38749218.53240741,6224.88720703125
9,38195962.857480906,6180.287,38670105.86111111,6218.52880859375
10,38114574.461122975,6173.6973,38590602.68055555,6212.13330078125
11,38036400.01054554,6167.3677,38511791.65740741,6205.7861328125
12,37962042.107770264,6161.334,38433206.93518519,6199.453125
13,37882918.60428509,6154.91,38354391.78703704,6193.0927734375
14,37806325.650762625,6148.687,38275774.856481485,6186.74072265625
15,37724338.770132974,6142.0166,38197373.958333336,6180.40234375
16,37647663.981069475,6135.768,38119335.527777776,6174.08642578125
17,37572495.12261118,6129.641,38041244.356481485,6167.7587890625
18,37495362.61930605,6123.347,37963374.52314815,6161.44189453125
19,37416701.92222022,6116.9194,37885358.21296296,6155.10791015625
20,37342826.61611667,6110.8794,37807687.76388889,6148.79541015625
21,37263637.44422439,6104.398,37730183.43981481,6142.490234375
22,37181495.09740477,6097.661,37652863.96759259,6136.19384765625
23,37105481.38300882,6091.428,37575588.55555555,6129.8935546875
24,37031983.40199079,6085.3877,37498581.75,6123.6083984375
25,36959488.42933203,6079.4336,37421600.574074075,6117.31982421875
26,36877468.3324674,6072.679,37344807.12962963,6111.0400390625
27,36806498.84832429,6066.837,37268301.81481481,6104.77734375
28,36733539.17518455,6060.8203,37191718.02314815,6098.50341796875
29,36652746.03487744,6054.1533,37115578.33796296,6092.255859375
30,36571034.6806245,6047.395,37039255.28703704,6085.98876953125
31,36490932.53571337,6040.773,36963140.78240741,6079.7314453125
32,36436230.906504795,6036.2427,36887381.94444445,6073.4970703125
33,36359918.746778466,6029.9185,36811750.6712963,6067.267578125
34,36272109.46557268,6022.634,36736156.583333336,6061.03564453125
35,36204946.10149438,6017.0566,36660892.60185185,6054.82470703125
36,36124255.60143008,6010.345,36585591.84259259,6048.6005859375
37,36051350.12093932,6004.274,36510151.083333336,6042.36328125
38,35989548.57131099,5999.1304,36435521.875,6036.18505859375
39,35912230.4569562,5992.6816,36360600.62962963,6029.97509765625
40,35827273.47071684,5985.591,36285674.75,6023.75927734375
