epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,2471314.0658421,1572.0421,2063577.7386429398,1436.5157470703125
1,2028963.4952946964,1424.4176,2010727.6319444445,1418.0009765625
2,1944490.9466349122,1394.4507,1918271.0006510417,1385.0166015625
3,1887171.3587251473,1373.743,1993527.8282696758,1411.92333984375
4,1859378.8044108,1363.5902,1986624.9273726852,1409.4769287109375
5,1829014.3375569074,1352.4106,1902350.037181713,1379.2569580078125
6,1816352.4863382224,1347.7213,1908470.0559895833,1381.4737548828125
7,1789181.610073883,1337.602,1971871.0558449074,1404.2332763671875
8,1760927.6854326886,1327.0002,1971230.2919560184,1404.0052490234375
9,1736883.7330274698,1317.9093,2018513.09375,1420.7437744140625
10,1728590.8273377016,1314.7587,1913722.2076822917,1383.37353515625
11,1708558.2895208532,1307.118,2000963.5177228008,1414.553955078125
12,1692338.5471896783,1300.8992,1988602.8207465278,1410.17822265625
13,1690880.7417797847,1300.3381,2147244.7452256945,1465.34814453125
14,1669152.6743373673,1291.9568,1919901.8525752316,1385.605224609375
15,1643391.1753806681,1281.9482,2021795.406177662,1421.8983154296875
16,1646607.8269969006,1283.2021,1905662.2470341434,1380.45751953125
17,1634255.9927885234,1278.3801,1953225.2080439816,1397.5780029296875
18,1625650.0635854993,1275.0098,1973356.2276475695,1404.761962890625
19,1605879.7609040227,1267.2327,2096964.6391059028,1448.0902099609375
20,1605274.6051178013,1266.9941,2022649.289279514,1422.1988525390625
21,1594624.1033261851,1262.7837,1970021.5613425926,1403.5745849609375
22,1608858.2071117281,1268.4078,2044779.7490596066,1429.9580078125
23,1580475.4552200416,1257.1694,2051534.2015335648,1432.3177490234375
24,1566353.872238628,1251.5405,1988702.4087818286,1410.213623046875
25,1572444.0601811067,1253.971,1973874.314236111,1404.9464111328125
26,1567723.224375627,1252.0869,1973627.7279369214,1404.858642578125
27,1546601.5586876913,1243.6244,2039733.4750434028,1428.1925048828125
28,1536463.2841017966,1239.5417,1985623.3106915508,1409.121337890625
29,1550031.0881275882,1245.0024,2065709.9346064816,1437.2576904296875
30,1547289.1754931968,1243.9012,2013969.7016782407,1419.1439208984375
31,1530271.9575156255,1237.042,1950279.1902488426,1396.52392578125
32,1518288.845256276,1232.1888,2133895.160228588,1460.78564453125
33,1540216.2964895894,1241.0542,2025397.8590133102,1423.164794921875
34,1513334.5012024487,1230.1769,2041786.398365162,1428.910888671875
35,1513194.0680404268,1230.1196,1971494.6507523148,1404.0989990234375
36,1510316.4161894917,1228.95,2104189.664858218,1450.5828857421875
37,1509224.4851438117,1228.505,2098491.7763310187,1448.617431640625
38,1499594.8375778054,1224.5798,2166506.9306278937,1471.90576171875
39,1492271.5045501748,1221.5853,2102174.211371528,1449.8875732421875
40,1498164.159469122,1223.9951,2050230.601634838,1431.862548828125
41,1479395.6735753878,1216.3037,2220452.3393373843,1490.1181640625
42,1487940.2797107694,1219.8118,2180678.356843171,1476.7117919921875
43,1475202.1474317755,1214.5793,2516359.0326967593,1586.3035888671875
44,1468960.2479857379,1212.0066,2174542.372612847,1474.633056640625
45,1479982.2808826745,1216.5455,2086944.8052662036,1444.6260986328125
46,1462273.7955170209,1209.2455,2058031.572337963,1434.584228515625
47,1477758.552554078,1215.6313,2097688.771629051,1448.3399658203125
48,1460490.3393051198,1208.5077,2053107.5662615742,1432.866943359375
49,1449075.817641754,1203.7759,2311563.9659288195,1520.3828125
50,1452242.3000422786,1205.0905,2131257.4344618055,1459.882568359375
51,1464744.7428455914,1210.2662,2125795.550853588,1458.0107421875
52,1464456.046119049,1210.1467,2104758.8610387733,1450.77880859375
53,1453580.609901875,1205.6464,2065433.2613570602,1437.16162109375
54,1462529.1705893606,1209.3501,2027434.630931713,1423.880126953125
55,1445338.8289492722,1202.2219,2303845.015046296,1517.8421630859375
56,1430507.6270809756,1196.038,2098284.6204427085,1448.545654296875
57,1433277.0159236027,1197.196,2192336.4364149305,1480.654296875
58,1467175.4953457362,1211.2705,2134891.196903935,1461.1263427734375
59,1418478.6115660928,1190.9985,2344125.538845486,1531.0540771484375
60,1439904.3119670965,1199.9598,2131483.5826822915,1459.9600830078125
61,1449187.1218688914,1203.8215,2058670.6495949074,1434.8067626953125
62,1450552.2473258378,1204.389,2154706.1438078703,1467.8916015625
63,1445137.1716398955,1202.1381,2102653.4829282407,1450.0526123046875
64,1414692.4475295146,1189.4078,2101450.4657841437,1449.63818359375
65,1407097.16743655,1186.2112,2158791.695095486,1469.2825927734375
66,1408246.8405791044,1186.6963,2076386.5285734953,1440.96728515625
