epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,2458033.0075683533,1567.8113,2251876.622612847,1500.625244140625
1,2015322.1758139033,1419.6205,2080154.6617476852,1442.274169921875
2,1953734.92271374,1397.7612,2034541.527054398,1426.3736572265625
3,1938603.7521275945,1392.3365,2060450.5774739583,1435.4271240234375
4,1930472.8289404307,1389.4143,2057371.8723958333,1434.3541259765625
5,1919387.8855174065,1385.4204,2003707.9775752316,1415.52392578125
6,1918750.3423570564,1385.1884,2016847.0530960648,1420.157470703125
7,1913728.5453522466,1383.376,2060531.072554977,1435.4552001953125
8,1906382.5133579504,1380.7179,2004904.1170428242,1415.946533203125
9,1905755.3547995063,1380.491,2028933.001663773,1424.40625
10,1900013.7540679094,1378.4097,1996002.077835648,1412.799560546875
11,1890998.9225208338,1375.1351,2080035.2327835648,1442.2325439453125
12,1896140.5558149966,1377.0043,2034519.2761140047,1426.3658447265625
13,1889355.629295378,1374.5382,2140397.153718171,1463.009521484375
14,1885341.3204501467,1373.0773,1978803.0414496528,1406.69921875
15,1882950.3891826244,1372.2063,1994096.208984375,1412.1246337890625
16,1884682.012961689,1372.8368,2059385.7309027778,1435.055908203125
17,1883491.2537906067,1372.4027,1998896.9976851852,1413.8236083984375
18,1881272.8699153143,1371.5945,2006849.2986834492,1416.6328125
19,1883194.7836573087,1372.2953,2061407.2903645833,1435.759765625
20,1886588.91960152,1373.5316,2000989.4809751157,1414.5634765625
21,1881442.3870911996,1371.6566,2011003.5258969907,1418.0987548828125
22,1879534.0824223873,1370.9613,2013702.756076389,1419.050048828125
23,1878763.8831301923,1370.6809,2036912.2961516203,1427.204345703125
24,1881608.367030161,1371.7179,2042526.884476273,1429.1700439453125
25,1873998.515660366,1368.9401,2025396.577907986,1423.1644287109375
26,1881938.7381302407,1371.8379,2007792.9819155093,1416.9659423828125
27,1867379.5171019381,1366.5209,2037930.523654514,1427.56103515625
28,1872161.3662476852,1368.269,1991520.4403211805,1411.2125244140625
29,1872650.056027997,1368.4474,2021415.281539352,1421.7650146484375
30,1874987.7148589212,1369.3016,1993456.166015625,1411.89794921875
31,1868330.5246759176,1366.8684,2028567.6817853008,1424.2779541015625
32,1871025.0251003113,1367.8538,1999437.3628472222,1414.0146484375
33,1872150.113824301,1368.2649,2009204.1814959492,1417.4642333984375
34,1869275.3056413808,1367.2147,2001958.8742042824,1414.9056396484375
35,1870907.0139567633,1367.8105,2061456.5287181714,1435.7772216796875
36,1862874.5851781329,1364.8715,2016859.213107639,1420.1614990234375
37,1866807.5093197806,1366.3123,2012035.1793258102,1418.46240234375
38,1867171.0465972954,1366.4448,2016030.007740162,1419.86962890625
39,1870145.7675729508,1367.5328,2018704.8658130786,1420.8114013671875
40,1866059.8908962742,1366.0391,1996827.7701099536,1413.091552734375
41,1867431.2586735447,1366.5399,2101926.2453703703,1449.80224609375
42,1870061.1754811401,1367.5016,1988729.1557436343,1410.22314453125
43,1863915.9345011124,1365.2517,2101748.615306713,1449.74072265625
44,1865893.8375922735,1365.977,2000523.0886140047,1414.3988037109375
45,1857830.4854299556,1363.0228,1978863.312210648,1406.720703125
46,1861892.8064901682,1364.5127,1979005.863208912,1406.7716064453125
47,1860044.6216844248,1363.8346,1989600.9484230324,1410.5318603515625
48,1863148.2492910698,1364.9724,1994042.2233072917,1412.105712890625
49,1863863.9083896512,1365.2338,2018127.4256365742,1420.6080322265625
50,1863298.2918622522,1365.0267,1984946.8585792824,1408.8814697265625
51,1861772.2620839656,1364.468,1992124.7973090278,1411.4266357421875
52,1865252.8374990355,1365.7428,2005870.8501157407,1416.2877197265625
53,1861466.9873268667,1364.3555,1990793.9103009258,1410.955078125
54,1860797.2233974317,1364.1108,2006225.6884403934,1416.4132080078125
55,1857728.8445987874,1362.9858,2035876.4967447917,1426.8414306640625
56,1863045.3336770814,1364.9347,2007312.4382957176,1416.7967529296875
57,1859375.0753041487,1363.5891,2037862.1127025464,1427.5369873046875
58,1863686.2703206583,1365.1699,1998555.2082609953,1413.7027587890625
59,1856636.892417822,1362.5852,1987358.2955729167,1409.7369384765625
60,1856941.1048654157,1362.6976,1998341.4499421297,1413.627197265625
61,1862590.2635331734,1364.7673,1984629.3302228008,1408.768798828125
62,1858679.2531274918,1363.3339,2060482.6177662036,1435.438232421875
63,1857184.8524605185,1362.7853,1974852.7141927083,1405.2945556640625
64,1855920.4970879203,1362.3219,1975405.02734375,1405.49072265625
65,1855586.7784665243,1362.1989,2028421.8829571758,1424.226806640625
66,1856267.5808936057,1362.4492,2033244.1375868055,1425.91845703125
67,1856500.3883884938,1362.5347,2043324.6463396992,1429.4490966796875
68,1855202.1940089765,1362.0576,1979261.1875,1406.8621826171875
69,1859242.6539929975,1363.5404,1992907.7683738426,1411.7039794921875
70,1854661.9275589008,1361.8597,1975616.4603587964,1405.5660400390625
71,1856212.6468048303,1362.4287,2002716.8918547453,1415.1737060546875
72,1856085.5191491551,1362.3815,1983941.9232494214,1408.524658203125
73,1858330.253625029,1363.2063,2025851.9227430555,1423.32421875
74,1859350.8747942334,1363.5798,2008380.3511284722,1417.173583984375
75,1854150.0081703812,1361.6709,2016932.674045139,1420.1876220703125
76,1855632.418530087,1362.2164,2007199.7803096066,1416.7568359375
77,1855197.8927698757,1362.056,2029155.267505787,1424.4842529296875
78,1857257.801427988,1362.8129,1998301.9646990742,1413.6129150390625
79,1852332.1504612067,1361.0045,1988919.793185764,1410.2908935546875
80,1855324.4326142487,1362.1035,1983720.4150752316,1408.446044921875
81,1857900.0319589302,1363.0487,2021376.995876736,1421.75146484375
82,1853408.4824190116,1361.3995,2025260.6257233797,1423.11669921875
83,1853068.9293947245,1361.2743,2018189.4086371528,1420.6298828125
84,1854534.124121473,1361.812,1997051.5375434028,1413.1705322265625
85,1855528.9394170053,1362.1774,1984965.6871383102,1408.8883056640625
86,1854914.5738211824,1361.9528,2021865.5445601852,1421.92333984375
87,1852592.9567158686,1361.1001,1997552.5716145833,1413.3480224609375
88,1853104.3470728092,1361.2882,1989280.638599537,1410.41845703125
89,1853804.6525542387,1361.5446,2061883.044921875,1435.92578125
90,1853053.729564,1361.2698,2008098.3530092593,1417.07373046875
91,1855137.2500016075,1362.0347,2008342.9598524305,1417.1600341796875
92,1857098.3067586294,1362.7542,2006866.808376736,1416.63916015625
93,1850710.5398351294,1360.408,2003635.7506510417,1415.4984130859375
94,1854865.4409281039,1361.9341,1987431.273365162,1409.7628173828125
95,1853728.700267175,1361.517,1995443.9484953703,1412.6019287109375
96,1852530.148670394,1361.0769,1994073.839771412,1412.116943359375
97,1854813.0289383407,1361.9148,2077979.619357639,1441.52001953125
98,1853336.73256771,1361.3726,1998119.3893952547,1413.54833984375
99,1851777.2349750185,1360.8005,1982495.1114728008,1408.010986328125
