epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,38727663.522930115,6223.156,39416813.625,6278.2822265625
1,38681681.49113917,6219.459,39371209.425925925,6274.64697265625
2,38636547.98816842,6215.83,39326035.65740741,6271.04736328125
3,38592118.71015201,6212.2573,39280889.71296296,6267.4462890625
4,38546619.920985624,6208.595,39235678.71759259,6263.8388671875
5,38501780.8436431,6204.984,39190569.02314815,6260.23681640625
6,38457102.21224826,6201.3833,39145558.3287037,6256.64111328125
7,38411781.36875948,6197.7256,39100416.43055555,6253.03271484375
8,38366733.88122123,6194.0894,39055431.43981481,6249.43408203125
9,38322009.5024049,6190.4766,39010595.722222224,6245.845703125
10,38276422.75500913,6186.791,38965564.62037037,6242.2412109375
11,38231410.95835798,6183.16,38920786.61111111,6238.65283203125
12,38186881.18768487,6179.553,38876062.36111111,6235.06640625
13,38143328.09408678,6176.0254,38831340.833333336,6231.4794921875
14,38099385.69227604,6172.4688,38786615.106481485,6227.89013671875
15,38055862.54805937,6168.9424,38742080.152777776,6224.3134765625
16,38012471.62905425,6165.425,38697637.7037037,6220.7421875
17,37966906.887728594,6161.7295,38653029.56018519,6217.15478515625
18,37925288.64116875,6158.3535,38608668.89814815,6213.587890625
19,37876655.13516294,6154.399,38564032.652777776,6209.99462890625
20,37837174.55088866,6151.197,38519747.11111111,6206.42822265625
21,37792140.18945961,6147.5347,38475389.958333336,6202.85302734375
22,37744138.53977726,6143.626,38431055.06944445,6199.27783203125
23,37703987.25944597,6140.3594,38386795.66203704,6195.70703125
24,37658736.35216955,6136.671,38342590.300925925,6192.13916015625
25,37614780.91777052,6133.0903,38298373.050925925,6188.56787109375
26,37572488.465649836,6129.6406,38254294.791666664,6185.0048828125
27,37528067.07837136,6126.0146,38210222.55555555,6181.4404296875
28,37486474.05776898,6122.621,38166175.19444445,6177.876953125
29,37436347.956171714,6118.523,38122201.425925925,6174.31884765625
30,37397507.7371846,6115.356,38078284.28703704,6170.7607421875
31,37349972.92126855,6111.468,38034334.981481485,6167.19873046875
32,37311411.70369608,6108.307,37990426.93518519,6163.6376953125
33,37268009.22163636,6104.751,37946714.425925925,6160.08984375
34,37219322.82764474,6100.763,37902966.777777776,6156.53955078125
35,37180593.11113969,6097.588,37859334.731481485,6152.99365234375
36,37135577.27441549,6093.897,37815618.925925925,6149.4404296875
37,37085469.88024383,6089.783,37771767.36111111,6145.87451171875
38,37053007.18732478,6087.118,37728446.449074075,6142.34814453125
39,37010132.81015458,6083.5996,37684907.125,6138.802734375
40,36957635.32225623,6079.281,37641235.458333336,6135.244140625
41,36920256.15324468,6076.2036,37597981.731481485,6131.71875
42,36875594.34008076,6072.5283,37554563.972222224,6128.177734375
43,36831883.88235294,6068.9277,37511207.7962963,6124.6396484375
44,36793081.901746444,6065.727,37468094.9212963,6121.11962890625
45,36745996.554541014,6061.8477,37424803.18981481,6117.58154296875
46,36699786.32253916,6058.037,37381601.106481485,6114.048828125
47,36669755.34885156,6055.5557,37338473.375,6110.521484375
48,36620583.46773323,6051.496,37295454.583333336,6107.0
49,36582724.15473649,6048.3647,37252466.675925925,6103.47998046875
50,36536321.70204995,6044.5254,37209512.81944445,6099.96044921875
51,36481088.76133645,6039.9595,37166542.75462963,6096.43798828125
52,36458576.59857506,6038.097,37123814.81944445,6092.93115234375
53,36406581.74850176,6033.785,37080957.0462963,6089.41259765625
54,36374507.07775406,6031.125,37038377.972222224,6085.9169921875
55,36326457.748193115,6027.143,36995663.166666664,6082.40625
56,36289888.81401271,6024.1104,36953036.03240741,6078.900390625
57,36242120.22665192,6020.1426,36910369.28703704,6075.39013671875
58,36206718.51631986,6017.203,36867807.68981481,6071.88818359375
59,36157798.71012629,6013.1357,36825122.99074074,6068.36962890625
60,36124030.80665655,6010.331,36782733.541666664,6064.87646484375
61,36080545.47498649,6006.709,36740230.23611111,6061.3720703125
62,36031432.298824556,6002.6206,36697666.847222224,6057.85986328125
63,35983975.43362741,5998.6626,36655162.77314815,6054.35205078125
64,35936490.905733176,5994.706,36612797.027777776,6050.85009765625
65,35907346.25931737,5992.274,36570625.46759259,6047.36474609375
66,35880418.879446484,5990.0234,36528522.9212963,6043.88525390625
67,35813580.089508474,5984.448,36486341.37037037,6040.392578125
68,35778054.199696496,5981.4785,36444216.550925925,6036.904296875
69,35728796.13971553,5977.3555,36401982.106481485,6033.40625
70,35694779.300033435,5974.5127,36359929.40740741,6029.919921875
71,35650027.87978086,5970.7637,36317951.472222224,6026.4375
72,35613031.86100466,5967.668,36276007.175925925,6022.95654296875
73,35591288.94745235,5965.844,36234128.106481485,6019.47900390625
74,35540608.578307055,5961.592,36192224.75,6015.998046875
75,35489080.22814373,5957.274,36150361.49537037,6012.515625
76,35446640.85676072,5953.7095,36108592.050925925,6009.0419921875
77,35404689.327297516,5950.186,36066813.06018519,6005.56494140625
78,35371900.46081432,5947.4253,36025086.31018519,6002.08984375
79,35320838.64492399,5943.1313,35983424.37037037,5998.61865234375
80,35290715.66717251,5940.5967,35941968.71296296,5995.16162109375
81,35264596.48864426,5938.4014,35900472.722222224,5991.69970703125
82,35209087.60163584,5933.727,35858996.65740741,5988.23828125
83,35148797.58311685,5928.6406,35817581.43055555,5984.77880859375
