epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,2141561.925350125,1463.4073,2398775.396629051,1548.7979736328125
1,1827741.7506799942,1351.9407,2222382.8781828703,1490.7657470703125
2,1781638.359597244,1334.78,2169084.8621961805,1472.78125
3,1767193.8607884399,1329.3582,2183157.1415653937,1477.5509033203125
4,1758913.7517867936,1326.2402,2206464.0400028937,1485.417236328125
5,1743796.4144734305,1320.5284,2088311.1185619214,1445.0989990234375
6,1743518.6231014815,1320.4238,2097051.7766927083,1448.1202392578125
7,1739421.874315183,1318.8712,2190310.3448350695,1479.969970703125
8,1732150.9410723816,1316.1123,2131327.597222222,1459.9066162109375
9,1730447.474017143,1315.4652,2140915.7646122687,1463.1868896484375
10,1723534.7353093894,1312.835,2091255.459273727,1446.11767578125
11,1715261.1893631523,1309.6805,2195225.028501157,1481.62890625
12,1715632.0152211026,1309.8217,2130697.493778935,1459.690673828125
13,1711994.7792172509,1308.4315,2257577.3034577547,1502.5234375
14,1706914.222446565,1306.4885,2079904.224826389,1442.1873779296875
15,1703504.6482066154,1305.1837,2058241.584201389,1434.6571044921875
16,1704341.1367214627,1305.5046,2163668.775245949,1470.941650390625
17,1703406.4760539108,1305.1462,2130094.152199074,1459.4844970703125
18,1701056.8692935936,1304.2458,2133397.732349537,1460.6156005859375
19,1702936.524140603,1304.9657,2267326.5635127313,1505.764404296875
20,1705175.3213423379,1305.8236,2100818.154513889,1449.419677734375
21,1701295.8056140526,1304.3363,2121032.1247106483,1456.37646484375
22,1699298.910714171,1303.5718,2143025.056785301,1463.90771484375
23,1697191.5252313267,1302.7631,2184291.3493200233,1477.9351806640625
24,1701011.3892597868,1304.2279,2176364.8717447915,1475.25048828125
25,1693328.434114898,1301.279,2168783.508246528,1472.6788330078125
26,1700312.7084142468,1303.96,2107980.6864149305,1451.8885498046875
27,1686327.321266783,1298.5858,2209763.094907407,1486.527099609375
28,1689455.2670866663,1299.7905,2090066.7118055555,1445.706298828125
29,1691636.1703811826,1300.6292,2140847.0378327547,1463.1632080078125
30,1693387.1318811248,1301.3022,2138520.5983796297,1462.3680419921875
31,1685348.4720639677,1298.2096,2217423.838107639,1489.1014404296875
32,1688445.2472004488,1299.4017,2145776.066333912,1464.846923828125
33,1689098.461618901,1299.6536,2146590.078342014,1465.124755859375
34,1686746.2610535251,1298.7474,2129202.3483072915,1459.1785888671875
35,1688406.7830416162,1299.3868,2150751.530454282,1466.5438232421875
36,1679400.5835689737,1295.9167,2178161.4504484953,1475.8594970703125
37,1681504.7740457573,1296.7295,2163395.1671006945,1470.8482666015625
38,1684683.326823285,1297.9535,2163694.738208912,1470.9500732421875
39,1687673.1032659018,1299.1045,2156702.556061921,1468.571533203125
40,1683100.1745286658,1297.3431,2130240.612702546,1459.5343017578125
41,1682849.4665717676,1297.2468,2252052.2467447915,1500.6839599609375
42,1684427.2768645992,1297.8556,2072558.6397569445,1439.6385498046875
43,1680441.9339742374,1296.3185,2291425.751736111,1513.7457275390625
44,1680522.662588576,1296.3488,2142661.129123264,1463.783203125
45,1675706.3490661732,1294.4912,2083902.0743634258,1443.572509765625
46,1678407.2790251486,1295.5343,2124259.000144676,1457.483642578125
47,1676234.3846646005,1294.6943,2116755.117259838,1454.9073486328125
48,1679152.3769089675,1295.8206,2150749.4540653937,1466.5435791015625
49,1679725.3181312534,1296.0425,2178761.285951968,1476.0626220703125
50,1678457.2929582004,1295.5527,2168293.453342014,1472.5126953125
51,1677429.4357831348,1295.1564,2157388.357783565,1468.804931640625
52,1680527.6362528615,1296.3513,2188135.626736111,1479.2344970703125
53,1675992.1132737147,1294.6017,2125150.199146412,1457.78955078125
54,1677244.774796484,1295.0851,2193717.160373264,1481.120361328125
55,1674194.95960062,1293.9066,2230853.6696325233,1493.604248046875
56,1677827.3283171025,1295.3097,2158844.4186921297,1469.3006591796875
57,1674645.353757009,1294.0812,2243198.9600694445,1497.7315673828125
58,1677697.0491846497,1295.2603,2151390.8836805555,1466.7620849609375
59,1671236.3863758391,1292.7633,2137631.358579282,1462.064208984375
60,1672010.2584484876,1293.0621,2163355.984302662,1470.835205078125
61,1678380.352588319,1295.5237,2104306.6688368055,1450.6226806640625
62,1672945.542117049,1293.4241,2302086.2643952547,1517.262939453125
63,1671781.7914876926,1292.974,2090897.187427662,1445.9935302734375
64,1670439.7486898454,1292.4548,2092037.592013889,1446.3875732421875
65,1671357.4471718343,1292.8099,2214024.908275463,1487.9599609375
66,1671298.6487451452,1292.787,2220195.4670862267,1490.0321044921875
67,1671594.1303551565,1292.901,2272877.2955729165,1507.6063232421875
68,1670881.0848964094,1292.625,2105050.153862847,1450.87890625
69,1675096.4274624477,1294.2551,2149524.2803819445,1466.12548828125
70,1670060.2005464872,1292.308,2112767.50390625,1453.5362548828125
71,1670652.8987748849,1292.538,2150819.338035301,1466.5672607421875
72,1671053.5006518622,1292.6918,2139684.1780237267,1462.7657470703125
73,1674583.6948802695,1294.0569,2251059.3835358797,1500.35302734375
74,1674329.4264255767,1293.9578,2213048.84729456,1487.6318359375
75,1668477.5481059826,1291.6953,2214172.47301794,1488.0096435546875
76,1670813.288657196,1292.5995,2212490.8815104165,1487.4443359375
77,1669297.1178946218,1292.0123,2157388.386501736,1468.8050537109375
78,1672122.822531926,1293.1055,2217314.786964699,1489.0650634765625
79,1667392.009297275,1291.2754,2142878.2407407407,1463.857177734375
80,1669132.9011428084,1291.949,2126899.0698061343,1458.38916015625
81,1673183.989427133,1293.5162,2226241.29333044,1492.059326171875
