epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,2195048.3102245107,1481.5692,2056703.1359230324,1434.12109375
1,1779293.7369056882,1333.9016,2295680.539496528,1515.1500244140625
2,1708972.8903328276,1307.2769,2211004.1182002313,1486.944580078125
3,1700103.0535933601,1303.8796,2244369.509403935,1498.1221923828125
4,1670366.2840881324,1292.4269,2401365.1182002313,1549.634033203125
5,1640363.433076018,1280.7667,2402845.956814236,1550.1116943359375
6,1645036.9178500925,1282.5895,2682137.04723669,1637.72314453125
7,1622608.857775888,1273.8162,2655350.462311921,1629.524658203125
8,1602752.74342431,1265.9979,2539177.841652199,1593.4796142578125
9,1600418.4496410338,1265.0765,2468753.767361111,1571.226806640625
10,1580420.538983127,1257.1476,2588848.5068721063,1608.98974609375
11,1569807.8987017414,1252.9203,2820432.240306713,1679.41455078125
12,1563879.4859925988,1250.5516,2797725.9114583335,1672.640380859375
13,1564772.5038520957,1250.9092,3163830.392505787,1778.7158203125
14,1543716.5777251215,1242.4636,2754716.960792824,1659.7337646484375
15,1545316.8712085895,1243.1077,2803841.062355324,1674.4676513671875
16,1534482.8722567132,1238.742,2864775.5836950233,1692.565185546875
17,1537263.207058277,1239.8635,2685160.6161024305,1638.6458740234375
18,1525893.8125699286,1235.2709,3045612.5710358797,1745.1680908203125
19,1525556.2776836467,1235.1338,3340614.3176359953,1827.7349853515625
20,1521742.6412756564,1233.5887,2805219.955005787,1674.8792724609375
21,1517583.4361400113,1231.9023,3051705.223234954,1746.9132080078125
22,1513390.6824659521,1230.1998,3058407.5439814813,1748.8302001953125
23,1498732.388226935,1224.2268,2912957.974247685,1706.7392578125
24,1509845.208301718,1228.7578,3063182.455222801,1750.195068359375
25,1496584.5538995988,1223.3501,3391978.516203704,1841.732421875
26,1504281.901682142,1226.4915,3445957.3854166665,1856.3289794921875
27,1494405.3388357146,1222.4589,3576255.391059028,1891.098876953125
28,1475308.7781168818,1214.623,3053356.1266637733,1747.3857421875
29,1484038.0273283778,1218.2112,3682602.996672454,1919.0108642578125
30,1484305.749160858,1218.321,3346109.7063802085,1829.2374267578125
31,1471566.487311595,1213.0817,3125908.814380787,1768.024169921875
32,1474858.8599681866,1214.4381,3274039.448784722,1809.4305419921875
33,1480280.0985051377,1216.668,3452867.2475405093,1858.1893310546875
34,1463981.458410228,1209.9509,3212400.8151765047,1792.3170166015625
35,1470050.368549699,1212.4559,3271060.383391204,1808.6070556640625
36,1449584.0332803377,1203.9866,3268146.7252604165,1807.8017578125
37,1455201.8265021767,1206.3173,3778999.390046296,1943.964599609375
38,1460459.76352393,1208.4948,3402940.970341435,1844.7061767578125
39,1443469.907368856,1201.4454,3505398.5436197915,1872.2711181640625
40,1451506.4060402145,1204.7847,3435255.037905093,1853.44384765625
41,1446992.6413717077,1202.9098,3571334.6608796297,1889.7974853515625
42,1451899.298950751,1204.9473,3830401.5543981483,1957.14111328125
43,1441500.4695565891,1200.625,4062745.031394676,2015.625
44,1436519.7808207837,1198.5487,3629079.632957176,1905.0145263671875
45,1437548.3378904744,1198.9775,3545754.619357639,1883.017333984375
46,1437489.9615562065,1198.9536,3517269.391782407,1875.4383544921875
47,1446788.4958062996,1202.825,3553349.201244213,1885.0328369140625
48,1435807.2203728233,1198.2526,3646892.7586805555,1909.683837890625
49,1431805.5991931697,1196.5807,3883845.7858796297,1970.7471923828125
50,1429399.0392222505,1195.5747,3826846.420355903,1956.23291015625
51,1431606.4841688315,1196.4974,3781490.138527199,1944.60498046875
52,1432938.6038221149,1197.0549,3927863.593171296,1981.883544921875
53,1438962.01393265,1199.5671,3827307.1731770835,1956.3505859375
54,1429235.2436911636,1195.5059,3603168.757378472,1898.2015380859375
55,1422089.623372354,1192.5135,3583074.632667824,1892.9012451171875
56,1414554.2822804407,1189.3505,3697491.122829861,1922.8863525390625
57,1424410.703880951,1193.4862,3765291.7897858797,1940.4359130859375
58,1413444.1303266224,1188.8838,3846318.642939815,1961.203369140625
59,1419347.863827516,1191.3638,3719249.095847801,1928.5355224609375
60,1413311.0334491306,1188.8271,3783666.2667100695,1945.164794921875
61,1413726.9418407914,1189.0027,3770698.882884838,1941.8289794921875
62,1411146.1743654993,1187.9169,3677893.048032407,1917.7835693359375
63,1406210.2771314527,1185.8375,4003244.8975694445,2000.8111572265625
64,1409725.379642609,1187.3185,4075769.523582176,2018.8533935546875
65,1409203.3632283013,1187.0988,3321666.777271412,1822.543701171875
66,1403598.3734808636,1184.7356,3882403.5478877313,1970.3814697265625
67,1404819.8691227913,1185.2511,3915131.668764468,1978.6690673828125
68,1407405.197302046,1186.3416,3855374.925925926,1963.510986328125
69,1409265.2896767857,1187.1245,4141239.837962963,2035.0037841796875
70,1404857.8988399908,1185.2673,3679472.794487847,1918.195556640625
71,1401273.6333134533,1183.754,4556496.459780092,2134.59521484375
72,1411102.064260269,1187.898,4203019.25708912,2050.126220703125
73,1401393.7322253017,1183.8046,4397807.363859953,2097.09521484375
74,1394996.1847518904,1181.0999,4083115.478443287,2020.672119140625
75,1395819.4573548702,1181.4481,4237084.006510417,2058.417724609375
76,1399459.3747375673,1182.9874,4034502.8004918983,2008.607177734375
77,1389092.4987404833,1178.5978,4443240.34765625,2107.89990234375
78,1389606.6606410274,1178.8159,4181980.968171296,2044.9891357421875
79,1391109.0823404023,1179.4532,3899172.3647280093,1974.632568359375
80,1399379.9019662768,1182.9539,4201517.643518519,2049.7607421875
81,1382843.3421737957,1175.9441,4270533.911385995,2066.52734375
82,1386700.9530884281,1177.5824,4044240.4967447915,2011.0296630859375
83,1381656.230334821,1175.4386,4327958.280743634,2080.374755859375
84,1390604.3844339168,1179.2391,4080655.1967592593,2020.063232421875
85,1386726.986178271,1177.594,4349562.676793981,2085.560791015625
86,1384120.1244883968,1176.4862,4889423.688729745,2211.204345703125
87,1393147.2474319362,1180.317,4240519.469545717,2059.252197265625
88,1382422.519321967,1175.7642,4350591.045500578,2085.806396484375
89,1379639.6779897246,1174.5813,4539340.644675926,2130.57275390625
90,1380071.3794858728,1174.7649,4605697.385633681,2146.0888671875
91,1379825.630726099,1174.66,4236253.847005208,2058.2158203125
92,1380804.853451976,1175.0769,4541769.965639467,2131.14306640625
93,1379563.6083947953,1174.5482,4820100.56177662,2195.472412109375
94,1378266.9564638848,1173.9961,4589030.39525463,2142.202392578125
95,1377172.6160804997,1173.5302,4955749.912181713,2226.1513671875
96,1364366.6852438012,1168.0612,4308886.5234375,2075.78515625
97,1372005.3696380116,1171.326,4921216.920717592,2218.381591796875
98,1373237.8855310706,1171.8525,4959985.40234375,2227.1025390625
99,1369531.1250225056,1170.2694,4470882.307002314,2114.446044921875
