epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,1895821.2381756539,1376.8889,2364231.670355903,1537.605712890625
1,1581571.4303102253,1257.6052,2170931.145688657,1473.4078369140625
2,1528864.4595986104,1236.473,2065698.431423611,1437.2537841796875
3,1510710.815199883,1229.1097,2116479.2763310187,1454.8125
4,1502919.948112654,1225.937,2065333.5496238426,1437.126708984375
5,1489712.070032987,1220.5376,2021351.2081163195,1421.7423095703125
6,1490251.0304221108,1220.758,2035909.8985821758,1426.85302734375
7,1487287.0402587194,1219.5441,2093388.9097222222,1446.8548583984375
8,1479850.1965392628,1216.491,2050359.2719184028,1431.90771484375
9,1477783.554737937,1215.6407,2043628.12109375,1429.5550537109375
10,1473787.6820270906,1213.9963,2024220.4484953703,1422.7509765625
11,1462984.377796336,1209.5387,2064570.8863570602,1436.8614501953125
12,1468043.5979967494,1211.6279,2069234.0972222222,1438.483154296875
13,1462969.3716597087,1209.5327,2231739.339265046,1493.90087890625
14,1458064.2602441227,1207.5034,1997422.2275028934,1413.3018798828125
15,1457263.4348965702,1207.1721,2017912.941189236,1420.532470703125
16,1457734.5218823948,1207.3668,2089979.9168836805,1445.6761474609375
17,1457907.5243246676,1207.4384,2015650.230251736,1419.736083984375
18,1456305.6066972208,1206.7748,2028873.902560764,1424.3853759765625
19,1457145.1626617196,1207.1223,2064193.9220196758,1436.7303466796875
20,1458191.3764749286,1207.5558,2016051.8548177083,1419.87744140625
21,1455662.7690422528,1206.5084,2019378.3304398148,1421.04833984375
22,1453988.3244063312,1205.8142,2026068.0113570602,1423.39990234375
23,1451745.1999263742,1204.8835,2047521.3499710648,1430.9161376953125
24,1456952.5761690116,1207.043,2048117.6380931714,1431.1248779296875
25,1450001.2942309794,1204.1597,2040020.636935764,1428.29296875
26,1455010.2606435993,1206.238,2055553.328125,1433.72021484375
27,1441851.2749873807,1200.771,2082485.0243055555,1443.08203125
28,1445985.6863031778,1202.4908,2004065.0453559028,1415.64990234375
29,1447524.669583837,1203.132,2043851.668041088,1429.6329345703125
30,1448714.6746584757,1203.6256,2016915.784866898,1420.181640625
31,1442190.3985936334,1200.9122,2041424.1278211805,1428.7840576171875
32,1445390.24334554,1202.2437,2018013.4249855324,1420.568115234375
33,1446819.5324484298,1202.839,2032039.6942274305,1425.496337890625
34,1444273.777571922,1201.7789,2010171.7512297453,1417.8048095703125
35,1445042.4716600704,1202.0994,2065987.691189236,1437.3544921875
36,1436904.8883282107,1198.7098,2028551.6707899305,1424.2723388671875
37,1441260.645683965,1200.5249,2036052.777126736,1426.9033203125
38,1441416.4542028634,1200.5898,2036101.374710648,1426.9202880859375
39,1445044.1424274673,1202.0995,2029004.2194733797,1424.430908203125
40,1441135.6033197548,1200.4724,2016091.2270688657,1419.89111328125
