epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,1700385.2811575658,1303.9882,2338775.950376157,1529.3055419921875
1,1371744.8483845713,1171.2152,2153103.445095486,1467.345458984375
2,1335008.5630618392,1155.4258,2049004.876953125,1431.434814453125
3,1294924.8365272705,1137.9475,2107680.306423611,1451.7850341796875
4,1278770.622257517,1130.8274,1986326.884548611,1409.37109375
5,1257392.0073778583,1121.3352,2024817.140625,1422.960693359375
6,1270077.4924738451,1126.9777,2106394.942201968,1451.3426513671875
7,1251198.8783137668,1118.5701,2087526.2507957176,1444.8272705078125
8,1233213.5148135882,1110.5016,2037629.173755787,1427.455322265625
9,1237111.863509221,1112.2552,2065367.0426070602,1437.1385498046875
10,1217945.175047905,1103.6053,2073410.3553240742,1439.934326171875
11,1208678.0393693415,1099.3988,2091527.275607639,1446.21142578125
12,1195409.9377387215,1093.3478,2196835.527199074,1482.1722412109375
13,1207721.2824604863,1098.9637,2270552.0127314813,1506.835205078125
14,1186750.1296277393,1089.3805,2367843.166087963,1538.779541015625
15,1177268.799395239,1085.0199,2393877.072410301,1547.2161865234375
16,1185998.226988702,1089.0352,2208321.7100694445,1486.0421142578125
17,1178748.8989806515,1085.7017,2174646.187282986,1474.6678466796875
18,1169497.2636734324,1081.4329,2197651.1397569445,1482.4476318359375
19,1168340.8775881582,1080.8983,2313392.525318287,1520.984130859375
20,1157296.7029433467,1075.7781,2278235.3158998843,1509.3824462890625
21,1162899.164083599,1078.3785,2421079.687355324,1555.98193359375
22,1156158.039384613,1075.2479,2375934.626736111,1541.4066162109375
23,1150711.8203854426,1072.7125,2268095.491753472,1506.0198974609375
24,1155714.9003711836,1075.0415,2349677.320095486,1532.86572265625
25,1145330.4651263778,1070.2007,2353972.6147280093,1534.26611328125
26,1146169.1648612523,1070.5936,2329150.610966435,1526.1551513671875
27,1144020.673237802,1069.5887,2464955.6108217593,1570.0179443359375
28,1134205.5877646834,1064.991,2252251.8229890047,1500.7503662109375
29,1140130.6338535906,1067.7686,2480365.5631510415,1574.917724609375
30,1150727.3373439068,1072.7196,2345592.105613426,1531.5328369140625
31,1131901.3009208057,1063.9083,2286691.176576968,1512.180908203125
32,1126038.913205273,1061.1494,2557171.9466145835,1599.1158447265625
33,1134566.3717278286,1065.1602,2486299.653139468,1576.800048828125
34,1129695.2125090826,1062.8712,2383260.3198061343,1543.7811279296875
35,1122883.3809756713,1059.6622,2429486.0305989585,1558.680908203125
36,1113797.058133086,1055.3655,2458710.2821180555,1568.0277099609375
37,1112041.3623308856,1054.5334,2544177.970847801,1595.047607421875
38,1113778.657974099,1055.3573,2595024.8192274305,1610.9080810546875
39,1112575.2446122908,1054.7874,2572516.171947338,1603.906494140625
40,1114321.1406346452,1055.614,2470985.018156829,1571.9368896484375
41,1111380.1731706867,1054.2205,2549763.923611111,1596.79833984375
42,1107476.391460123,1052.3667,2533496.7610677085,1591.6962890625
43,1122180.7626361595,1059.3307,3260448.2541956017,1805.67138671875
44,1097267.7920069317,1047.5054,2479722.70666956,1574.7137451171875
45,1104612.1714405592,1051.0054,2469640.714048032,1571.509033203125
46,1098596.3010469985,1048.14,2550282.187934028,1596.96044921875
47,1101587.43506898,1049.5652,2569770.091579861,1603.05029296875
48,1092525.1805399042,1045.2394,2663150.0554108797,1631.9161376953125
49,1109761.4871283341,1053.4523,2769748.523509838,1664.2562255859375
50,1101788.9432554368,1049.6619,2599021.843315972,1612.1483154296875
51,1095020.3885412111,1046.4325,2585510.7301793983,1607.952392578125
52,1090753.12145776,1044.3912,2700393.8725405093,1643.28759765625
53,1099865.4382153605,1048.7448,2519179.386284722,1587.1920166015625
54,1093911.6972903914,1045.9025,2557029.47692419,1599.0714111328125
55,1085574.3014376333,1041.9092,2897308.5515046297,1702.1483154296875
56,1088444.432935759,1043.2855,2533508.2272858797,1591.699951171875
57,1076001.910985847,1037.3046,2559326.1526331017,1599.78955078125
58,1106581.3400192745,1051.9419,2655571.406322338,1629.5921630859375
59,1075298.6045792715,1036.9661,2661374.5126591437,1631.3719482421875
60,1069563.3850475997,1034.1971,2688715.11291956,1639.7301025390625
61,1074955.2304716636,1036.8003,2711949.5830439813,1646.7996826171875
62,1082540.5908789127,1040.4524,2998240.507667824,1731.54296875
63,1076326.9689634026,1037.4619,2903984.4048032407,1704.108154296875
64,1068703.7562256455,1033.7814,2883703.3719618055,1698.146728515625
65,1074783.0724322577,1036.7178,2821117.0497685187,1679.6181640625
66,1069995.9618081902,1034.406,3114841.0903501157,1764.89111328125
67,1069387.7097665996,1034.1115,2851327.1668836805,1688.5870361328125
68,1068035.1456570385,1033.4578,2894080.7705439813,1701.199951171875
69,1067702.8057109076,1033.2968,2882952.414641204,1697.9259033203125
70,1065144.8391435607,1032.0581,2803979.559172454,1674.5086669921875
71,1062147.7930980574,1030.6055,2866318.897280093,1693.0205078125
72,1068506.3546070019,1033.6858,2939771.6182002313,1714.5762939453125
73,1069878.3923824558,1034.349,2706355.1325231483,1645.100341796875
74,1060848.1753509284,1029.975,2805858.2317708335,1675.06982421875
75,1054068.3820467026,1026.6785,2827649.526548032,1681.561279296875
76,1070789.461884147,1034.7899,2845257.897858796,1686.788818359375
77,1057152.824062315,1028.1794,2686906.474609375,1639.1783447265625
78,1058231.6633614067,1028.7039,2853150.5454282407,1689.126953125
79,1053188.240022329,1026.2496,2822133.1999421297,1679.9202880859375
80,1064446.3662026736,1031.7197,2942101.3877314813,1715.2552490234375
81,1055011.1221226836,1027.1382,2866517.8469328703,1693.0794677734375
82,1046966.653234635,1023.21344,3023068.677517361,1738.69775390625
83,1047447.3438794079,1023.4484,3077574.969907407,1754.3017578125
84,1055210.9625339997,1027.2351,2887138.925564236,1699.158203125
85,1044938.6314623576,1022.22266,3154162.437717014,1775.9959716796875
86,1047553.0741207898,1023.5002,3054603.3132233797,1747.742431640625
87,1046183.158509012,1022.831,3015463.4049479165,1736.5093994140625
88,1050964.0274264384,1025.1652,2835753.802806713,1683.9696044921875
89,1047514.9235886501,1023.48193,2811655.2627314813,1676.7991943359375
90,1042072.3860880875,1020.8192,2992098.849826389,1729.7684326171875
91,1054998.9463154112,1027.1312,2838496.621021412,1684.783935546875
92,1050512.1008517612,1024.9453,3232816.5186631945,1798.0032958984375
93,1037215.8231508334,1018.4378,2996136.5049189813,1730.9349365234375
94,1048032.6048095534,1023.7347,3038687.5209780093,1743.183349609375
95,1030560.1768310817,1015.1647,3030306.3752893517,1740.777099609375
96,1041373.4277554238,1020.47723,2875014.78870081,1695.5867919921875
97,1039393.9554824745,1019.50653,2909503.2469618055,1705.7264404296875
98,1043637.5439826127,1021.5863,3037093.5120081017,1742.7259521484375
99,1042452.892048487,1021.0057,2913667.071108218,1706.9466552734375
