epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,38176341.69057846,6178.702,39402616.50925926,6277.14892578125
1,38109684.86319093,6173.305,39337608.625,6271.97021484375
2,38046223.327143185,6168.158,39274574.31481481,6266.943359375
3,37970398.63731063,6162.013,39192845.18055555,6260.4189453125
4,37900399.05007845,6156.3267,39125641.68981481,6255.05029296875
5,37834415.01154865,6150.9697,39058981.643518515,6249.7177734375
6,37768064.44008333,6145.574,38992387.80555555,6244.388671875
7,37700448.02397181,6140.0684,38925589.49537037,6239.03759765625
8,37633848.52964325,6134.6406,38859109.074074075,6233.70751953125
9,37568440.20849302,6129.3105,38792974.972222224,6228.4013671875
10,37501043.55148023,6123.8057,38726471.208333336,6223.060546875
11,37435340.81730497,6118.4434,38660450.12962963,6217.751953125
12,37372337.1612953,6113.2905,38594579.08796296,6212.453125
13,37305427.576429434,6107.8193,38528501.541666664,6207.1318359375
14,37242797.136294656,6102.6885,38462692.81481481,6201.83056640625
15,37174619.29272872,6097.1,38396959.606481485,6196.5283203125
16,37110456.127523854,6091.8335,38331539.356481485,6191.24658203125
17,37047510.425782554,6086.668,38266047.96296296,6185.955078125
18,36983463.24185293,6081.3994,38200718.643518515,6180.67333984375
19,36916889.87386507,6075.9253,38135217.63425926,6175.37255859375
20,36853925.44587052,6070.7417,38070027.83796296,6170.091796875
21,36790145.871807404,6065.4863,38004965.53240741,6164.81689453125
22,36717559.13763214,6059.5044,37939950.56944445,6159.54150390625
23,36654918.23040716,6054.3296,37875006.36111111,6154.267578125
24,36591588.252064094,6049.095,37810256.5,6149.005859375
25,36536818.90228658,6044.5693,37745628.61111111,6143.74658203125
26,36463025.01571543,6038.464,37680912.12037037,6138.47802734375
27,36404322.25715682,6033.6,37616531.06481481,6133.2314453125
28,36343274.86555724,6028.5386,37552088.33796296,6127.97705078125
29,36270910.50690604,6022.5347,37487848.375,6122.732421875
30,36203696.69965791,6016.9478,37423589.68055555,6117.48291015625
31,36141860.660562254,6011.807,37359509.81944445,6112.24169921875
32,36090169.50091309,6007.504,37295548.25925926,6107.00927734375
33,36022378.63108619,6001.8633,37231740.15740741,6101.78173828125
34,35953394.02808714,5996.1157,37168002.28240741,6096.556640625
35,35896513.66393168,5991.3667,37104465.68055555,6091.3427734375
36,35832267.24946629,5986.008,37040913.93518519,6086.12451171875
37,35764736.58844106,5980.3623,36977101.72685185,6080.87939453125
38,35713447.4786903,5976.076,36914069.72685185,6075.6943359375
39,35650806.13729777,5970.8286,36850757.0,6070.4814453125
40,35577414.12459168,5964.6807,36787388.01388889,6065.2607421875
