epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,2488125.3592258994,1577.3795,2052086.4657118055,1432.5103759765625
1,2030201.2795604633,1424.8503,2000151.409866898,1414.2672119140625
2,1949184.988626572,1396.1317,1929096.6881510417,1388.919189453125
3,1894717.7257291854,1376.4874,1984510.3092447917,1408.7265625
4,1873566.9819062026,1368.7836,1987341.712890625,1409.7308349609375
5,1835219.7282634906,1354.7023,1900591.0554832176,1378.6192626953125
6,1835510.9913457457,1354.8096,1898373.9262876157,1377.815185546875
7,1814996.197801191,1347.2177,2002897.0548321758,1415.237548828125
8,1778208.25003617,1333.4945,1904971.4691840278,1380.2071533203125
9,1768256.3492020115,1329.7578,1932118.1529947917,1390.00634765625
10,1741937.3036464094,1319.825,1993848.603226273,1412.0369873046875
11,1721943.2783499768,1312.2283,1954328.6642071758,1397.97265625
12,1712705.9278213335,1308.704,2005522.4289641203,1416.16455078125
13,1714990.2690796284,1309.5763,2229748.82421875,1493.234130859375
14,1676376.5212373647,1294.7501,1968524.5143229167,1403.0411376953125
15,1660538.0831441781,1288.6188,2069401.376736111,1438.5411376953125
16,1667551.3329167096,1291.3364,1915531.5187355324,1384.027099609375
17,1661842.7952196237,1289.125,1928483.451099537,1388.6983642578125
18,1645036.7565841295,1282.5896,1949597.037181713,1396.2799072265625
19,1622518.3765255664,1273.781,1929820.408130787,1389.1795654296875
20,1618189.8460311159,1272.0809,2069765.5124421297,1438.66796875
21,1612286.5849615152,1269.7593,2052721.468460648,1432.732177734375
22,1617811.0871144286,1271.9327,1932325.2892071758,1390.080810546875
23,1604077.0553311235,1266.521,1985706.543258102,1409.1512451171875
24,1581831.2342942206,1257.7087,1932393.6206597222,1390.10546875
25,1597464.3600075715,1263.908,1981645.6742621528,1407.7095947265625
26,1572760.7511349313,1254.0974,2124974.4694010415,1457.7293701171875
27,1572830.0741145606,1254.1249,2082331.6436631945,1443.02880859375
28,1552813.9801788884,1246.1193,1983938.5495515047,1408.523193359375
29,1595970.8444050774,1263.3173,1969521.0829716434,1403.396484375
30,1552662.0718270147,1246.0585,1943422.5188802083,1394.0665283203125
31,1537477.445803808,1239.9513,1955223.0408709492,1398.2928466796875
32,1535712.7705252194,1239.2384,2108362.05114294,1452.0198974609375
33,1558406.7146451168,1248.3615,1958309.90234375,1399.396240234375
34,1549637.1115054078,1244.8445,1892536.9891493055,1375.6951904296875
