epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,38918081.879883744,6238.432,39401482.25462963,6277.06005859375
1,38845556.476864114,6232.6216,39320801.152777776,6270.63134765625
2,38756345.023586,6225.4614,39228924.89814815,6263.29833984375
3,38672060.03878701,6218.6885,39148090.27314815,6256.84375
4,38591993.80873994,6212.243,39067908.56018519,6250.43212890625
5,38513712.98546773,6205.9404,38988201.99074074,6244.0537109375
6,38433957.38300882,6199.511,38908464.949074075,6237.66552734375
7,38353494.541011855,6193.021,38828659.31481481,6231.26416015625
8,38274736.223925516,6186.6626,38749221.08796296,6224.88720703125
9,38195965.756063685,6180.2876,38670108.87037037,6218.52880859375
10,38114577.50713753,6173.6978,38590606.49074074,6212.13427734375
11,38036403.1039893,6167.368,38511794.018518515,6205.7861328125
12,37962044.99879112,6161.334,38433210.3287037,6199.453125
13,37882921.55960801,6154.91,38354394.48611111,6193.0927734375
14,37806328.56765863,6148.687,38275778.027777776,6186.7412109375
15,37724341.73132025,6142.0166,38197376.875,6180.40234375
16,37647666.89950873,6135.768,38119338.041666664,6174.08642578125
17,37572498.071658224,6129.641,38041247.43518519,6167.7587890625
18,37495365.604465134,6123.347,37963377.74537037,6161.4423828125
19,37416704.8605674,6116.9194,37885361.143518515,6155.10791015625
20,37342829.52231282,6110.8794,37807691.56018519,6148.7958984375
21,37263640.328043416,6104.398,37730185.35185185,6142.490234375
22,37181497.83790735,6097.6616,37652866.81481481,6136.1943359375
23,37105484.326397285,6091.428,37575592.3287037,6129.89404296875
24,37031986.3940945,6085.388,37498584.38425926,6123.6083984375
25,36959491.29735847,6079.434,37421602.5787037,6117.31982421875
26,36877471.16793127,6072.6797,37344810.49074074,6111.0400390625
27,36806501.64001132,6066.837,37268304.43055555,6104.77734375
28,36733542.11795571,6060.8203,37191721.03240741,6098.50341796875
29,36652748.91278068,6054.1533,37115581.03703704,6092.255859375
30,36571037.54823941,6047.3955,37039258.13425926,6085.98876953125
31,36490935.401733585,6040.773,36963143.71296296,6079.7314453125
32,36436233.76069343,6036.2427,36887384.125,6073.49755859375
33,36359921.507703386,6029.919,36811753.43055555,6067.26806640625
34,36272112.29049101,6022.634,36736158.958333336,6061.03564453125
35,36204948.95290517,6017.0566,36660895.916666664,6054.82470703125
