epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,2249722.1957451324,1499.9078,2065895.9775028934,1437.3223876953125
1,1849785.8875011252,1360.0681,2015043.0279947917,1419.5218505859375
2,1788010.1276733584,1337.1646,1939082.0385561343,1392.50927734375
3,1742011.7981992206,1319.853,2074303.3775318286,1440.2442626953125
4,1723508.5660526892,1312.8242,2007258.2021122684,1416.77734375
5,1690511.1447576133,1300.1962,1950338.0966435184,1396.5450439453125
6,1698039.5713720776,1303.0891,2051202.5475260417,1432.201904296875
7,1670367.5122487396,1292.4271,2088619.4558015047,1445.2054443359375
8,1647156.5039075562,1283.4155,2031111.77734375,1425.1708984375
9,1639850.2737965868,1280.566,1996146.6019965278,1412.850341796875
10,1621957.2487718305,1273.5608,2059994.173755787,1435.267822265625
11,1599042.9831576815,1264.5326,2103734.444155093,1450.4256591796875
12,1592929.622454442,1262.1132,2169100.9149305555,1472.7867431640625
13,1599565.4970071407,1264.7395,2477215.482349537,1573.9171142578125
14,1575696.1362713482,1255.2673,2146017.78870081,1464.928955078125
15,1562172.339859725,1249.8685,2272091.7879774305,1507.345947265625
16,1558193.9500477442,1248.2766,2134868.5088975695,1461.1187744140625
17,1549434.5549975566,1244.7633,2123082.3635706017,1457.080078125
18,1535387.6403368465,1239.1072,2079300.7019675926,1441.97802734375
19,1538249.691543796,1240.2623,2158705.9401765047,1469.25341796875
20,1536087.2693476877,1239.3896,2286404.0301649305,1512.0860595703125
21,1520598.372418272,1233.1252,2308343.246238426,1519.3232421875
22,1510344.206222752,1228.9612,2157099.640697338,1468.706787109375
23,1502465.6660681216,1225.7511,2267556.1608072915,1505.840576171875
24,1505427.7239263162,1226.958,2259334.62109375,1503.1082763671875
25,1497466.5873025123,1223.7106,2232611.253689236,1494.1925048828125
26,1505811.2761829973,1227.1151,2254688.6040219907,1501.5621337890625
27,1481151.560850652,1217.0251,2201047.812934028,1483.5928955078125
28,1472425.0532155856,1213.4347,2198467.079282407,1482.7227783203125
29,1477245.435072597,1215.42,2225882.897063079,1491.939208984375
30,1481466.2879269656,1217.1553,2213706.4096498843,1487.8529052734375
31,1463484.2021488142,1209.7456,2216671.2358217593,1488.84912109375
32,1456327.3723025285,1206.7842,2244389.898292824,1498.12841796875
33,1470116.537893207,1212.4838,2299533.6374421297,1516.4212646484375
34,1461659.7315388771,1208.992,2241929.912181713,1497.307373046875
35,1451261.1069174553,1204.6831,2237685.900390625,1495.8897705078125
36,1442418.163238027,1201.0071,2318474.690610532,1522.6539306640625
37,1456194.6801494702,1206.7286,2218037.1846064813,1489.307373046875
38,1448807.5805061858,1203.6642,2362848.7330729165,1537.15625
39,1433069.4413384313,1197.1089,2343793.952329282,1530.9451904296875
40,1426413.4028861981,1194.3254,2209199.485749421,1486.3372802734375
41,1429437.528704442,1195.591,2640155.289496528,1624.8553466796875
42,1472625.1290783584,1213.5176,2393432.8373842593,1547.072509765625
43,1407550.1691747152,1186.4025,2801055.0734953703,1673.6356201171875
44,1416910.1187610922,1190.3406,2278934.134982639,1509.61376953125
45,1409431.3664478252,1187.1942,2497699.4807581017,1580.411376953125
46,1408607.7072045642,1186.8477,2312232.275969329,1520.6026611328125
47,1413977.574015696,1189.1084,2405735.4934172453,1551.04345703125
48,1405563.35710152,1185.5648,2406655.2785734953,1551.3399658203125
49,1385121.2910544574,1176.9121,2482396.3993778937,1575.5623779296875
50,1392335.763287218,1179.9731,2439174.09729456,1561.78564453125
51,1378881.958410228,1174.2584,2420705.8057002313,1555.8616943359375
52,1382544.5118581047,1175.816,2518167.259620949,1586.87353515625
53,1376710.824156357,1173.3335,2532703.6901041665,1591.447265625
54,1383172.0367727436,1176.0841,2387078.3720341437,1545.017333984375
55,1378064.9202927672,1173.9099,2732077.367766204,1652.8995361328125
56,1359002.8000848787,1165.7623,2429913.3040364585,1558.818115234375
57,1365137.598317456,1168.3907,2393756.3994502313,1547.1771240234375
58,1378915.2941473867,1174.2722,2527954.937427662,1589.954345703125
59,1354234.1424781051,1163.7157,2687732.221137153,1639.4302978515625
60,1365424.809861204,1168.5135,2502999.178168403,1582.087158203125
61,1353659.1452318411,1163.469,2477440.357855903,1573.988525390625
62,1345273.49166806,1159.8596,2586850.5828993055,1608.3687744140625
63,1343819.1299850177,1159.2319,2543485.267505787,1594.8306884765625
64,1362226.8019825935,1167.145,2607418.1256510415,1614.750244140625
65,1348090.9803070906,1161.0736,2508589.828125,1583.85302734375
66,1338938.3067980143,1157.125,2560987.056568287,1600.30810546875
67,1341806.6641511163,1158.364,2494311.025752315,1579.3389892578125
68,1355619.1488504398,1164.3105,2534148.342954282,1591.9010009765625
69,1327692.1130848273,1152.2554,2485603.6411313657,1576.5794677734375
70,1336914.9192052586,1156.2506,2524425.6188512733,1588.8441162109375
71,1325271.6296703394,1151.2042,2531465.2682291665,1591.057861328125
72,1351813.8457473828,1162.6747,2627807.958622685,1621.05126953125
73,1326515.173306123,1151.7437,2585591.162471065,1607.9771728515625
74,1335790.0288113442,1155.7643,2710732.465060764,1646.43017578125
75,1319941.4296278197,1148.8875,2548413.91015625,1596.375244140625
76,1327363.2756878713,1152.1123,2567765.4657841437,1602.4246826171875
77,1322564.5209254997,1150.0283,2654801.702980324,1629.3563232421875
78,1332291.5638390905,1154.2488,2609533.8387586805,1615.4053955078125
79,1319471.3135103462,1148.6826,2548377.6514756945,1596.3638916015625
80,1322141.820807023,1149.8439,2609415.397063079,1615.3685302734375
81,1325295.2853894455,1151.2141,2694133.9459635415,1641.3812255859375
82,1310581.058473887,1144.806,2795196.357783565,1671.8843994140625
83,1330288.6840911868,1153.381,2721591.3540219907,1649.724609375
84,1303329.1617413964,1141.6339,2780835.0852864585,1667.5836181640625
85,1311584.0249958204,1145.2446,2613016.9108072915,1616.483154296875
86,1332806.8149575447,1154.4722,2744626.4227430555,1656.6917724609375
87,1312227.498275901,1145.5254,2691514.617332176,1640.583740234375
88,1305818.6754771213,1142.7244,2667754.612123843,1633.326416015625
89,1321675.4944443016,1149.6416,2738115.054108796,1654.72509765625
