epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,2018105.727946803,1420.6006,2449514.3151765047,1565.092529296875
1,1742649.9841374843,1320.0945,2311938.5125868055,1520.5059814453125
2,1708179.7842947028,1306.9741,2217452.7104311343,1489.1112060546875
3,1700108.408285964,1303.8821,2204252.1297743055,1484.67236328125
4,1694416.0304172882,1301.6973,2189075.480685764,1479.552734375
5,1681738.0678917281,1296.8187,2111118.990089699,1452.96923828125
6,1682071.4859524101,1296.9467,2110581.235966435,1452.7835693359375
7,1679001.030489628,1295.7633,2143130.332826968,1463.9434814453125
8,1672407.5884981288,1293.2164,2106709.203269676,1451.45068359375
9,1670963.5412401296,1292.6575,2109457.9997106483,1452.3974609375
10,1665159.5927822539,1290.4111,2066000.3111979167,1437.3587646484375
11,1657074.7441734292,1287.2743,2125305.5556278937,1457.8428955078125
12,1658289.2792268964,1287.7461,2101973.5598958335,1449.818603515625
13,1653474.0133531278,1285.8748,2224667.6767939813,1491.5323486328125
14,1650135.8615134456,1284.5767,2038885.8138744214,1427.8955078125
15,1645124.8936162516,1282.6238,2054699.0198929398,1433.4217529296875
16,1646989.3155856954,1283.3511,2122151.0217737267,1456.760498046875
17,1647114.7069987976,1283.3995,2049982.8463541667,1431.77587890625
18,1643823.1169248663,1282.1161,2057054.6283998843,1434.2435302734375
19,1646716.062213052,1283.2441,2132715.415219907,1460.38232421875
20,1648523.1224785552,1283.9481,2044598.5635850695,1429.8948974609375
21,1644202.1925316367,1282.265,2046975.8757957176,1430.7255859375
22,1643213.4316774479,1281.8777,2057458.6924913195,1434.3843994140625
23,1640936.3669461664,1280.991,2072292.9254195602,1439.546142578125
24,1643957.9585187377,1282.1688,2081722.6264467593,1442.8173828125
25,1637043.6301039765,1279.4705,2063817.1453993055,1436.5992431640625
26,1642845.5995612992,1281.7356,2060888.7646846066,1435.57958984375
27,1629277.453397882,1276.4312,2097305.832248264,1448.2076416015625
28,1632188.6987850126,1277.5715,2041427.1276765047,1428.78515625
29,1634369.9168622522,1278.4246,2067825.5543258102,1437.99365234375
30,1636773.8516776408,1279.3649,2046073.6654369214,1430.410400390625
31,1629041.5859581972,1276.3392,2106715.501880787,1451.4530029296875
32,1632501.1686402042,1277.6931,2048332.2865306714,1431.19970703125
33,1632484.6177274364,1277.6869,2053767.2591869214,1433.0972900390625
34,1630235.8601703362,1276.8071,2054424.5018084492,1433.326416015625
35,1631653.1692952814,1277.3619,2099521.8409288195,1448.9725341796875
36,1622740.5703492728,1273.8688,2073380.4111689816,1439.923583984375
37,1626738.347038247,1275.437,2059557.4964554398,1435.115966796875
38,1628507.248268667,1276.13,2069252.802734375,1438.48974609375
39,1630971.6900905694,1277.0955,2055230.529079861,1433.607421875
40,1626215.6430728992,1275.2318,2039074.7076822917,1427.961669921875
41,1626614.581200648,1275.3885,2147852.248191551,1465.5550537109375
42,1628833.4656482292,1276.2573,2032067.8153211805,1425.5059814453125
43,1624164.0063506328,1274.4279,2147955.2954282407,1465.5902099609375
44,1624720.6735689575,1274.6455,2058669.595413773,1434.806640625
45,1618674.1406732264,1272.2712,2029349.8491753472,1424.5528564453125
46,1622680.9126649348,1273.8447,2040939.2018952547,1428.6146240234375
47,1620861.4248349045,1273.1307,2043501.5943287036,1429.510986328125
48,1622924.8512926323,1273.9408,2047345.5734953703,1430.8548583984375
49,1623651.076529103,1274.2261,2074980.304615162,1440.4793701171875
50,1622303.6112277033,1273.6968,2052952.3679108797,1432.8128662109375
51,1621805.544620007,1273.5012,2051287.9888599536,1432.2318115234375
52,1625264.3598745468,1274.859,2057270.4325086805,1434.31884765625
53,1620664.0522647188,1273.0527,2042588.1498842593,1429.19140625
54,1621472.6838838125,1273.3707,2067289.671875,1437.807373046875
55,1618971.7371829909,1272.3883,2106878.763888889,1451.5091552734375
56,1622874.3849471277,1273.9207,2064830.384765625,1436.9517822265625
57,1618982.1809540498,1272.3928,2097447.852936921,1448.2568359375
58,1622551.0173486972,1273.7937,2052557.8609664352,1432.675048828125
59,1616423.749289864,1271.3873,2047904.6625434028,1431.050048828125
60,1616472.3368463696,1271.4056,2053511.6100260417,1433.0079345703125
61,1622553.6081327645,1273.7954,2043105.4484230324,1429.3721923828125
62,1618604.898824719,1272.2434,2118416.333984375,1455.4781494140625
63,1617009.6692189227,1271.6168,2026035.044994213,1423.388427734375
64,1615553.9949595218,1271.0449,2029196.006148727,1424.4984130859375
65,1615612.555351218,1271.068,2087915.917679398,1444.96240234375
66,1615482.3343032228,1271.0164,2089482.209273727,1445.5042724609375
67,1616031.5825325048,1271.2322,2099134.5172887733,1448.8389892578125
68,1615596.7246577523,1271.0616,2036751.9426359953,1427.14794921875
69,1619020.8143076918,1272.4077,2051356.2232349536,1432.2557373046875
70,1615206.509586634,1270.9077,2037024.9710648148,1427.243896484375
71,1614885.786861159,1270.7814,2056579.7798032407,1434.078125
72,1614598.673344704,1270.6691,2054538.8312355324,1433.3663330078125
73,1617895.9888524332,1271.9651,2109233.677951389,1452.320068359375
74,1618380.8764114303,1272.1571,2082268.2578125,1443.006591796875
75,1612739.5952498456,1269.9376,2088328.9874131945,1445.105224609375
76,1614975.3512926323,1270.8168,2081969.0933159722,1442.903076171875
77,1613734.9575582256,1270.329,2084679.0760271992,1443.842041015625
78,1616441.9477344775,1271.3938,2073291.7496383102,1439.8927001953125
79,1611521.372189196,1269.4569,2058656.5767505786,1434.801513671875
80,1614289.4711597199,1270.5468,2058821.0335648148,1434.859130859375
81,1617389.057168555,1271.7656,2102782.818142361,1450.0977783203125
82,1612565.4547313459,1269.8683,2103982.093677662,1450.5107421875
83,1613039.1481873249,1270.0548,2084953.490523727,1443.9368896484375
84,1614822.2798707208,1270.7567,2058324.5947627316,1434.6865234375
85,1615478.6121154737,1271.015,2056038.2222222222,1433.8890380859375
86,1613692.5808011715,1270.3127,2114041.6640625,1453.9744873046875
87,1611640.4802182734,1269.5038,2065210.3695746528,1437.0838623046875
88,1612684.1053291943,1269.9148,2059028.2803096066,1434.931640625
89,1613402.275186717,1270.1981,2134176.784577546,1460.882080078125
90,1611155.532985352,1269.313,2081599.44140625,1442.775146484375
91,1613935.258461348,1270.407,2084332.2779224536,1443.7216796875
92,1616707.3829039296,1271.4979,2077383.23046875,1441.3128662109375
93,1609584.6314599463,1268.6937,2108202.760923032,1451.96484375
94,1614144.1966300895,1270.4897,2081789.3602430555,1442.840576171875
95,1612566.9143231243,1269.8689,2067430.583984375,1437.856201171875
96,1611255.425620997,1269.3518,2071266.2719184028,1439.189453125
97,1613618.1784559146,1270.2827,2174715.0478153937,1474.69140625
98,1611934.1801133002,1269.6195,2087868.0423900464,1444.9459228515625
99,1610441.9212749815,1269.0315,2060730.486038773,1435.5242919921875
