epoch,loss,root_mean_squared_error,val_loss,val_root_mean_squared_error
0,38589613.59150184,6212.053,39416837.24074074,6278.28369140625
1,38543623.69752309,6208.3506,39371223.83796296,6274.64697265625
2,38498483.9531881,6204.714,39326040.11574074,6271.04736328125
3,38452063.49329972,6200.9707,39270199.981481485,6266.59228515625
4,38389534.49929268,6195.9297,39209168.106481485,6261.72314453125
5,38330855.73481828,6191.194,39150506.46759259,6257.0380859375
6,38272602.254841946,6186.4854,39092079.574074075,6252.3671875
7,38214143.757709816,6181.7583,39033674.24537037,6247.69482421875
8,38156475.44530466,6177.0933,38975470.65740741,6243.03369140625
9,38098270.1848813,6172.38,38917375.81944445,6238.37939453125
10,38038653.51665424,6167.5464,38859055.083333336,6233.703125
11,37980797.78759742,6162.855,38801178.71296296,6229.05908203125
12,37924328.0832326,6158.274,38743422.61574074,6224.42236328125
13,37868208.72440135,6153.7173,38685635.85185185,6219.77734375
14,37786518.14007562,6147.074,38564194.972222224,6210.00732421875
15,37687226.91854215,6138.9946,38501786.59259259,6204.97998046875
16,37625841.424728,6133.989,38440221.03703704,6200.017578125
17,37563995.82304072,6128.9497,38378606.7962963,6195.046875
18,37506392.33622264,6124.25,38317359.78703704,6190.1025390625
19,37440197.61089534,6118.839,38255772.5787037,6185.12451171875
20,37385558.54667044,6114.37,38194604.9212963,6180.17822265625
21,37321296.88170992,6109.1177,38133402.52314815,6175.2236328125
22,37257301.75981893,6103.878,38072329.625,6170.27783203125
23,37201063.15563672,6099.265,38011354.96759259,6165.33447265625
24,37141001.43105532,6094.342,37950499.7037037,6160.39794921875
25,37075963.87201317,6089.007,37889515.98611111,6155.44580078125
26,37020947.99146069,6084.4873,37828972.11111111,6150.525390625
27,36905625.55569845,6075.0005,37665652.106481485,6137.23388671875
28,36797646.35191234,6066.105,37600598.777777776,6131.931640625
29,36731394.99765941,6060.644,37536427.25,6126.69775390625
30,36670530.76277682,6055.6143,37472152.93981481,6121.451171875
31,36592563.93436045,6049.1797,37407847.916666664,6116.19482421875
32,36547194.13097045,6045.4243,37343937.231481485,6110.96826171875
33,36486833.268139616,6040.4326,37280196.41203704,6105.75
34,36410954.168625735,6034.1494,37216387.416666664,6100.52294921875
35,36354624.64615859,6029.479,37152840.958333336,6095.3125
36,36283121.07091232,6023.546,37089164.30555555,6090.0869140625
37,36220309.55261195,6018.328,37025478.5,6084.85595703125
38,36170556.800740756,6014.198,36962410.53703704,6079.67236328125
39,36104620.77975257,6008.714,36899092.36574074,6074.46240234375
40,36031849.11875305,6002.6553,36835693.768518515,6069.2421875
41,35976680.32824919,5998.054,36772786.73611111,6064.056640625
42,35912277.05342215,5992.6855,36709747.583333336,6058.8564453125
43,35851584.23133311,5987.617,36646907.106481485,6053.66943359375
44,35797363.728027984,5983.09,36584439.5787037,6048.50634765625
45,35728417.14509118,5977.3257,36521714.91203704,6043.3203125
46,35662647.440006174,5971.8213,36459194.75925926,6038.1435546875
47,35612531.89202397,5967.6255,36396698.268518515,6032.96826171875
48,35541817.86450269,5961.692,36334430.00925926,6027.80419921875
49,35488617.412639216,5957.234,36272224.972222224,6022.642578125
50,35426674.20437768,5952.034,36210238.91203704,6017.49462890625
51,35348074.415494226,5945.4253,36148202.75925926,6012.33837890625
52,35307692.72213791,5942.03,36086504.393518515,6007.2041015625
53,35246005.81012886,5936.8325,36024762.5462963,6002.06201171875
54,35188843.97736567,5932.018,35963279.199074075,5996.93896484375
55,35119710.65732143,5926.1865,35901712.66203704,5991.80419921875
56,35065970.99328686,5921.653,35840290.152777776,5986.6767578125
57,34993338.7659662,5915.519,35778858.324074075,5981.54248046875
58,34944265.11983333,5911.3667,35717679.21296296,5976.42578125
59,34886732.96795185,5906.4966,35656379.583333336,5971.2958984375
60,34824619.80760822,5901.234,35595445.33796296,5966.1923828125
61,34770951.83893619,5896.692,35534441.856481485,5961.0771484375
62,34694228.28580982,5890.182,35473345.527777776,5955.9501953125
63,34631948.66658093,5884.894,35412487.68055555,5950.83837890625
64,34569032.656498365,5879.5454,35351733.96759259,5945.73193359375
65,34527979.80606497,5876.054,35291385.24537037,5940.6552734375
66,34482703.01422362,5872.1934,35231084.625,5935.57763671875
67,34397536.54584737,5864.9404,35170764.11111111,5930.4951171875
68,34342304.67902981,5860.2305,35110519.65740741,5925.41259765625
69,34262440.4590653,5853.416,35050088.00231481,5920.31103515625
