epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7611768,1.6320558814587083,0.8936595320701599,0.3337154130428598
1,0.8807326,0.3325574417725605,0.9136295318603516,0.310646230099175
2,0.8865013,0.2968581371290869,0.9246130585670471,0.2211490254430728
3,0.9072685,0.22271089425580728,0.9395906329154968,0.2170120998129018
4,0.92529565,0.1823000245318483,0.9201198220252991,0.24964814017983866
5,0.9221229,0.1855871425116908,0.930604100227356,0.24338816386291592
6,0.9221229,0.1897988673235081,0.9101347923278809,0.2878546933678392
7,0.931497,0.16962173560707858,0.9216175675392151,0.2760359121787456
8,0.9163542,0.21243776946202594,0.9271093606948853,0.27813502765029086
9,0.9310643,0.16489469933903522,0.8891662359237671,0.33624200152559014
10,0.9447649,0.12895641086087434,0.9116325378417969,0.3056329751620668
11,0.93914044,0.14061541993623342,0.8681976795196533,0.5694838851512212
12,0.92976636,0.19027402993578507,0.8916624784469604,0.5412664693264809
13,0.92543983,0.20127097843684963,0.8941587805747986,0.33376891541889164
14,0.9414479,0.14502838002756896,0.8716924786567688,0.43507363533926086
