epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.72627634,1.3328206721647073,0.8252621293067932,0.47730976509797945
1,0.85376406,0.3533808307978479,0.8647029399871826,0.366593967950231
2,0.87409866,0.30052362242727004,0.852221667766571,0.3818348668184628
3,0.89053935,0.2585108738133637,0.86570143699646,0.38042194444241667
4,0.9000577,0.23885293372398775,0.819770336151123,0.48234081240040744
5,0.897606,0.23537178244737236,0.8756864666938782,0.3183519402653708
6,0.9035189,0.23513065261338126,0.8612082004547119,0.38608139052548174
7,0.9157773,0.19905235420859854,0.8761857151985168,0.34878895086381834
8,0.9177964,0.19613760946582298,0.8412381410598755,0.4792771064976246
9,0.9206807,0.19374797686414413,0.8637044429779053,0.42441154300563944
10,0.9214018,0.19473470297148052,0.8961557745933533,0.3244347917683203
11,0.9270263,0.16748619212398,0.8706939816474915,0.39314342404544145
12,0.93135273,0.15741503496987697,0.8866699934005737,0.32923237655797244
13,0.9267378,0.17585249227544983,0.8781827092170715,0.3252968006617149
14,0.9265936,0.16564174908913623,0.884672999382019,0.3786547503792609
