epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6600808,1.619830108871713,0.7893159985542297,0.540504468183665
1,0.8187193,0.47204411517208716,0.8147778511047363,0.4708285036343845
2,0.8390539,0.4147259254929378,0.8512231707572937,0.4144341086246226
3,0.8562158,0.3638048994548045,0.8602097034454346,0.3522516698820616
4,0.8680415,0.3350020796017582,0.7968047857284546,0.6029907172016662
5,0.86342657,0.3330806859862677,0.8462306261062622,0.4115361860482263
6,0.8828959,0.2898911981485335,0.8237643241882324,0.5407666260459336
7,0.8839054,0.2873010184967212,0.8721917271614075,0.34320123934085167
8,0.88678974,0.2664811889127107,0.8537194132804871,0.4219714403598831
9,0.8906836,0.2648471385747719,0.8771842122077942,0.34203467991610376
10,0.8973176,0.24639674676901882,0.8666999340057373,0.3754458763839838
11,0.9110182,0.21575309830670195,0.8442336320877075,0.4729107198525356
12,0.91072977,0.22388546158059172,0.8612082004547119,0.4061336572385703
13,0.9026536,0.24195704791605696,0.8856714963912964,0.3939110046913787
14,0.90308625,0.221900274112653,0.8597104549407959,0.45995689314779376
