epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.63945776,0.9729416525979395,0.7638542056083679,0.6579645312671595
1,0.76261896,0.6268094620582244,0.782825767993927,0.6130479864936083
2,0.79824054,0.5303091863097738,0.8462306261062622,0.5322882707751041
3,0.8325642,0.4576855344407181,0.868696928024292,0.3917971058779815
4,0.8505913,0.40585342383123385,0.8691961765289307,0.4321749768016699
5,0.86746466,0.3516910385339378,0.8901647329330444,0.3652480608870611
6,0.88231903,0.30144784891591625,0.8926610350608826,0.33453706324963467
7,0.9002019,0.24946030429401897,0.9116325378417969,0.31436331521792227
8,0.9196712,0.2073990679076057,0.902646005153656,0.3256825136650341
9,0.9255841,0.18650429929870674,0.9016475081443787,0.37367641400588614
10,0.9327949,0.1689312331139921,0.8961557745933533,0.4243798616434774
11,0.9417364,0.1387100841378337,0.9091362953186035,0.2921769883794244
12,0.94159216,0.1340633670036271,0.8881677389144897,0.3828156078313359
13,0.95010096,0.11790490439706967,0.8731902241706848,0.3735374607251798
14,0.9499567,0.1165877125019926,0.90114825963974,0.33091824455674934
