epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.77011824,0.6756220965038846,0.29306042194366455,2.104985474706946
1,0.86126333,0.3825459547506343,0.7878182530403137,0.6112776087095781
2,0.8846265,0.3121371018051035,0.8786819577217102,0.3299946585596649
3,0.9039515,0.2512407914526118,0.6914628148078918,0.8818490677441113
4,0.9131814,0.2199988683826957,0.8826760053634644,0.28294210716955553
5,0.9173637,0.20947489964839944,0.8711932301521301,0.3927426554980542
6,0.91938275,0.19913857191036027,0.8926610350608826,0.286821522588618
7,0.9265936,0.1859147744320434,0.9086370468139648,0.296222863773733
8,0.93207383,0.17021263830249853,0.8896654844284058,0.31048731488016207
9,0.9300548,0.16889179454762343,0.8756864666938782,0.3329236267048064
10,0.93423706,0.15632044331618952,0.833250105381012,0.4617723030378996
11,0.9402942,0.14900224390465208,0.9001497626304626,81.41166783816458
12,0.94274586,0.140120391809428,0.8941587805747986,0.3292510623035137
13,0.9340929,9607421.369475221,0.8577134013175964,0.39584936939191057
14,0.94159216,0.14236730471240502,0.8377434015274048,0.40866148794703167
