epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.41447937,1.5323445196278267,0.48826760053634644,1.246682119738502
1,0.4786559,1.260961090311524,0.5067399144172668,1.1588777707209899
2,0.5236516,1.163472673547072,0.5526710152626038,1.0834897988686487
3,0.5638881,1.085820914415107,0.5946080684661865,1.0098282086271912
4,0.6025382,1.0086076958639532,0.6704942584037781,0.8966638086083765
5,0.638304,0.9240906249386864,0.66600102186203,0.8527638948505305
6,0.6492645,0.8777498813812898,0.6899650692939758,0.8354964460424346
7,0.6609461,0.8379340530267049,0.6859710216522217,0.7793359514242164
8,0.6739256,0.7950916228907783,0.6894658207893372,0.810842045414049
9,0.6843092,0.7654071335820737,0.7054418325424194,0.767301540046231
10,0.70435536,0.7335538275138013,0.6929605603218079,0.7208581426056754
11,0.70925874,0.7058936464690254,0.7234148979187012,0.7228915405701948
12,0.7209403,0.6782053300720283,0.7294058799743652,0.7076834051595946
13,0.7269974,0.6687257348855016,0.7219171524047852,0.7017769743309459
14,0.7381021,0.6400324242033187,0.7244133949279785,0.6991931853803824
