epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.80660516,0.534928154336777,0.8781827092170715,0.3518234340774376
1,0.8993366,0.2661930674954041,0.8821767568588257,0.3246637756415028
2,0.9225555,0.19494718054262747,0.8741887211799622,0.29455377040240266
3,0.93640035,0.15410113041962056,0.9001497626304626,0.36893906522053094
4,0.94563025,0.13417693083224222,0.8926610350608826,0.31346344359728673
5,0.9505336,0.11568534938349379,0.8926610350608826,0.43891215472074374
6,0.9511105,0.12332122299507506,0.8472291827201843,0.7128244851126754
7,0.9529853,0.11079796864445646,0.8956565260887146,0.41471162963453057
8,0.9614941,0.08916088725424892,0.902646005153656,0.4296534753837439
9,0.9665417,0.07750652895508083,0.8836745023727417,0.45932914774829575
10,0.97043556,0.07444337988822991,0.8881677389144897,0.5971858617259144
11,0.97231036,0.06829101805536779,0.9016475081443787,0.49416949045953645
12,0.9711566,0.06601787048744165,0.9136295318603516,0.46645087633117815
13,0.95024514,0.1462926382291874,0.8861707448959351,0.4654942739362486
14,0.9573118,0.09998257583066851,0.8741887211799622,0.5600020929792532
