epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.79492354,0.5608695665181526,0.8941587805747986,0.24988735995766406
1,0.9065474,0.2231729547658364,0.9141287803649902,0.24273186025623078
2,0.92356503,0.1755614688451812,0.9211183190345764,0.21467194209806156
3,0.93048745,0.15682038127567982,0.9515726566314697,0.156884686708919
4,0.9359677,0.14303410324671786,0.9226160645484924,0.20598787810566035
5,0.93986154,0.13298724978766802,0.9126310348510742,0.22013069899065518
6,0.9469282,0.1206633610022852,0.915626585483551,0.31579649467923254
7,0.9447649,0.1224602935446213,0.9221168160438538,0.2717122784892448
8,0.9499567,0.10755504213675388,0.9251123070716858,0.26512392469653406
9,0.9573118,0.09666428465921596,0.9046430587768555,0.34650419040697455
10,0.95860976,0.09649703853403951,0.9241138100624084,0.35152473308001164
11,0.95832133,0.09253139998350117,0.9051423072814941,0.4323066664283301
12,0.96163833,0.08947068361502612,0.9136295318603516,0.3831900551116695
13,0.9606288,0.09607298805437206,0.8891662359237671,0.438333605479845
14,0.95428324,0.10388351102228773,0.8726909756660461,0.48778881953583536
