epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8233343,121232763.60440196,0.27259111404418945,2.462539063414156
1,0.90755695,0.2601983590319619,0.7773339748382568,0.7799902058100022
2,0.924863,0.19678370354582675,0.6779830455780029,0.7940448514309991
3,0.9326507,0.17086604084762608,0.867199182510376,0.3322820855891383
4,0.9366888,0.14947709210060123,0.3180229663848877,4.151569618562193
5,0.942169,0.13540856668068554,0.37044432759284973,5.63490390698544
6,0.94837034,0.1287082369724852,0.8147778511047363,0.4859168888574175
7,0.9515431,0.11698391477415945,0.849226176738739,0.524118735360589
8,0.95413905,0.1138889826200247,0.25212180614471436,8.91884389616404
9,0.9548601,0.10517417886413963,0.2566150724887848,7.735300379429111
10,0.9548601,0.1045384183912859,0.3404892683029175,5.203435081532908
11,0.9581771,0.10326609171482132,0.4533200263977051,2.145060325689573
12,0.9563023,0.10703803641001154,0.9291063547134399,0.21774930504619838
13,0.9648111,0.08668640792748067,0.7598602175712585,0.8859920829184762
14,0.9596193,0.09193963951393339,0.8756864666938782,0.4865266635636899
