epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7634843,0.7010925343753902,0.18721917271614075,3.595963041007489
1,0.8644361,0.3887911739114179,0.6620069742202759,1.0880790714972386
2,0.88376117,0.30714892995075566,0.8377434015274048,0.44454300861863333
3,0.9059706,0.25013084783140094,0.8931602835655212,0.308499941052762
4,0.91015285,0.21985460924834038,0.9131302833557129,0.24354863347958994
5,0.9214018,0.19931441815400763,0.8886669874191284,0.33099650883609155
6,0.9224113,0.19341524013239952,0.9001497626304626,0.30953489479813884
7,0.92947793,0.18066185762671114,0.8941587805747986,0.2972132572071944
8,0.93207383,0.17220086224198788,0.8946580290794373,0.2953707509140818
9,0.9343813,0.15819270618180395,0.8911632299423218,0.3023465688745349
10,0.9343813,0.15998944526262643,0.8936595320701599,0.30645082222183406
11,0.938131,0.15358508384499386,0.8741887211799622,0.37392253727948316
12,0.93971735,0.1533097539377515,0.8921617865562439,0.3502320034919503
13,0.94303435,0.2656196565067765,0.9031452536582947,0.30744445608362475
14,0.48428035,618226973.2055149,0.6300548911094666,5.974319422538787
