epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7323334,16361703709.633745,0.4288567006587982,32791.488907685714
1,0.73781365,197665.04571172816,0.7893159985542297,17460.40868345059
2,0.73925585,103684.73721485905,0.208686962723732,12554.521542621027
3,0.74444765,47711.26437204318,0.6640039682388306,11212.339924779086
4,0.75036055,38967.598895007264,0.7943085432052612,8577.92360009483
5,0.7535333,40458.532997744136,0.6075885891914368,4176.201535202001
6,0.7545428,58278.495626002885,0.754867672920227,4868.940610535007
7,0.7421402,145143.26791357828,0.831752359867096,153.14123866642737
8,0.7738679,104410.9519432133,0.8377434015274048,603.4117898476709
9,0.77415633,675404.5275210962,0.8397403955459595,95.64655213699552
10,0.6985867,nan,0.14428357779979706,nan
11,0.16483992,nan,0.14428357779979706,nan
12,0.16483992,nan,0.14428357779979706,nan
13,0.16483992,nan,0.14428357779979706,nan
14,0.16483992,nan,0.14428357779979706,nan
