epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.612345,1.0463151782364264,0.667498767375946,0.7568556252444796
1,0.7251226,0.6999273531403224,0.7523714303970337,0.6565235779991283
2,0.75641763,0.6203473845235133,0.8067898154258728,0.5730519955954549
3,0.7924719,0.5424271204267347,0.8132801055908203,0.5161235187569083
4,0.8109316,0.4874905033640398,0.8302546143531799,0.47643449716548947
5,0.8368907,0.44039805265713533,0.8302546143531799,0.497010255776461
6,0.8585232,0.3794832332422385,0.8357464075088501,0.45222729521873767
7,0.87409866,0.3362448439238427,0.8497254252433777,0.4505363698607972
8,0.8813095,0.31265098851938083,0.8612082004547119,0.4549468124263952
9,0.88938564,0.2861495210426769,0.8691961765289307,0.43700410084193547
10,0.9036631,0.252489794603352,0.852221667766571,0.5013273461604202
11,0.9113066,0.22898218807618487,0.8796804547309875,0.39202725890274354
12,0.9136141,0.21748888349890674,0.8726909756660461,0.4502413532344687
13,0.9267378,0.18832605945245656,0.8821767568588257,0.3642442683487967
14,0.93135273,0.17500203307626705,0.8876684904098511,0.4034118635381869
