epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.4316412,1.500206138787161,0.48976534605026245,1.2318482991164765
1,0.4975483,1.2300573115325435,0.5431852340698242,1.0868747074248133
2,0.5708105,1.080609176648533,0.6205691695213318,0.9635471029395886
3,0.6051341,0.9908668385619281,0.6490264534950256,0.9126083540785509
4,0.62070954,0.9355657977125368,0.6759859919548035,0.8308157313780611
5,0.64623594,0.871656984133785,0.6814777851104736,0.7905150529330097
6,0.6541679,0.8330275394024613,0.7004493474960327,0.7737965080301225
7,0.6733487,0.792340837485652,0.714927613735199,0.7280100040059654
8,0.6900779,0.7617268598763923,0.6939590573310852,0.7685730699533471
9,0.70074993,0.7436519894401863,0.7189216017723083,0.7195035113255144
10,0.72555524,0.6905595828863121,0.6884673237800598,0.7101363237952805
11,0.7379579,0.6365207909489008,0.7343984246253967,0.7030814690287567
12,0.75382173,0.5873556714821935,0.7663504481315613,0.6038153504527811
13,0.78742427,0.5078082709069001,0.7329006195068359,0.6602548134071019
14,0.8024228,0.47693535657172453,0.7593609690666199,0.6314828189176378
