epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.41375828,1.536559239807822,0.4737893044948578,1.2734822022337586
1,0.469426,1.2664639054095672,0.4907638430595398,1.194112146549444
2,0.5049034,1.189951004918728,0.5351971983909607,1.1201692368468819
3,0.5311509,1.1322599224787058,0.582126796245575,1.0711652713600421
4,0.56085956,1.0831777060929313,0.5846230387687683,1.0005247810752287
5,0.5895587,1.0241403063780161,0.6070893406867981,0.9388913736305294
6,0.60470146,0.9684587248918265,0.6550174951553345,0.8859116573424204
7,0.6313816,0.9115857805853658,0.6704942584037781,0.8248426444043652
8,0.6456591,0.8650389836678286,0.6744882464408875,0.8483612584401177
9,0.6623882,0.8339398599234857,0.679480791091919,0.7932443052783229
10,0.6734929,0.8143862874080855,0.6959560513496399,0.7832214707918781
11,0.6827228,0.7873906424762813,0.7144283652305603,0.7942563048970741
12,0.6952697,0.7589569097814073,0.7034448385238647,0.824113183716685
13,0.69483703,0.7522285490892859,0.6969545483589172,0.7966870669418731
14,0.70695126,0.7310041002144826,0.719420850276947,0.7708441036317686
