epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.60441303,1.060298111843107,0.6774837970733643,0.8274018326462714
1,0.710124,0.7065700661355562,0.7333999276161194,0.6955539077981615
2,0.73334295,0.6466239731009906,0.7478781938552856,0.6605375997435731
3,0.75483125,0.6052616514009806,0.7338991761207581,0.6446632480716562
4,0.29896164,nan,0.14428357779979706,nan
5,0.16483992,nan,0.14428357779979706,nan
6,0.16483992,nan,0.14428357779979706,nan
7,0.16483992,nan,0.14428357779979706,nan
8,0.16483992,nan,0.14428357779979706,nan
9,0.16483992,nan,0.14428357779979706,nan
10,0.16483992,nan,0.14428357779979706,nan
11,0.16483992,nan,0.14428357779979706,nan
12,0.16483992,nan,0.14428357779979706,nan
13,0.16483992,nan,0.14428357779979706,nan
14,0.16483992,nan,0.14428357779979706,nan
