epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.82967985,0.47493333403232774,0.8971542716026306,0.3540707890593405
1,0.9087107,0.2368681943310005,0.884672999382019,0.3589469268806446
2,0.93192965,0.17387308941507737,0.8761857151985168,0.40451333343357787
3,0.94274586,0.1381212080981156,0.8921617865562439,0.4710957187967662
4,0.95010096,0.12806887470157818,0.899650514125824,0.457659191962962
5,0.9544275,0.11181378213058538,0.8751872181892395,0.5252396977370344
6,0.96452266,0.08794361307361746,0.8841737508773804,0.6232665633369856
7,0.9625036,0.09773318963149524,0.90114825963974,0.6218824941769319
8,0.9603404,0.09672189125899179,0.9106340408325195,0.5092643033091795
9,0.9691376,0.0743638435338377,0.8851722478866577,0.5855150920685995
10,0.9658206,0.09902024873939859,0.8936595320701599,0.6176679947692948
11,0.974762,0.06974838850286394,0.8746879696846008,0.6266494674822402
12,0.9766369,0.05794110274055711,0.9041438102722168,0.6636796789253334
13,0.979377,0.05798875385068544,0.883175253868103,0.6100893134382124
14,0.98009807,0.053510796988422156,0.8811782598495483,0.7389757134747793
