epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8516008,0.40384621726940506,0.9281078577041626,0.2138738458789234
1,0.9332276,0.16799778635671375,0.9301048517227173,0.2634711115231856
2,0.9473608,0.12484524035861247,0.8926610350608826,0.33427680446987174
3,0.95385057,0.109021544250178,0.9296056032180786,0.2892410280475885
4,0.9636573,0.08531189550446061,0.933599591255188,0.31965209472798
5,0.95240843,0.11999224162227247,0.9016475081443787,0.3798813285009449
6,0.96207094,0.09131903518802552,0.9066400527954102,0.4828221544826862
7,0.9675512,0.07306992665539222,0.9081377983093262,0.49411618559752857
8,0.9708682,0.06441496707711779,0.9191213250160217,0.34642721926048897
9,0.97490627,0.0606120594030121,0.8921617865562439,0.5169433320914384
10,0.974762,0.05795134673696281,0.9096355438232422,0.5706519018815603
11,0.97793484,0.050391569946102,0.9151273369789124,0.45134357986613277
12,0.97980964,0.0487540461905897,0.9066400527954102,0.6311215781335165
13,0.95644647,0.14210326319981076,0.9106340408325195,0.3405848984814257
14,0.9759158,0.05904295769680473,0.899650514125824,0.49949959556199175
