epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.62590134,1.0363494991259028,0.8077883124351501,0.5508670476276876
1,0.8406403,0.4181762511839535,0.8537194132804871,0.3732294577749979
2,0.8817421,0.29519870191305353,0.9246130585670471,0.24582328327108013
3,0.9020767,0.24117538969472743,0.9251123070716858,0.21865690944049576
4,0.9114508,0.20937981921346724,0.9241138100624084,0.19994059178831275
5,0.9225555,0.18356633154803767,0.9266101121902466,0.2221045029673705
6,0.9333718,0.15956682966925895,0.9256115555763245,0.23167109039355918
7,0.93654454,0.14756736139553853,0.9261108040809631,0.22696296042607864
8,0.93914044,0.1357779953277417,0.9161258339881897,0.2798197361167764
9,0.9437554,0.12403420394999444,0.9041438102722168,0.3522888989726205
10,0.9492357,0.11816525292312305,0.9296056032180786,0.31181012409987025
11,0.9525526,0.115187018980786,0.932101845741272,0.22627562349099578
12,0.95197576,0.11082271133010381,0.8756864666938782,0.532187232630968
13,0.95125467,0.1148037748233468,0.8881677389144897,0.3534143043695812
14,0.9563023,0.10366052805083713,0.9146280288696289,0.3839929959442907
