epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5992212,1.1715524323329756,0.7583624720573425,0.7149717791700625
1,0.78886646,0.606515242828565,0.8637044429779053,0.431864114445683
2,0.86342657,0.37097760296999155,0.8971542716026306,0.32952816547064323
3,0.8944332,0.26543097022221346,0.8886669874191284,0.30311631323900806
4,0.9061148,0.22711248374789875,0.8961557745933533,0.2796222798831303
5,0.9206807,0.18792420245797292,0.9046430587768555,0.28555794762976605
6,0.9251514,0.17475635466174705,0.9066400527954102,0.2958986407710324
7,0.93120855,0.15247150521509442,0.8856714963912964,0.3971778415678198
8,0.9329391,0.1541471348687005,0.8836745023727417,0.3762385864768603
9,0.9362561,0.1416965942794389,0.9266101121902466,0.3037489150537813
10,0.94159216,0.1288855093135626,0.9236145615577698,0.2686999545884107
11,0.94245744,0.12583372558842895,0.9086370468139648,0.33600897140695407
12,0.9477935,0.11972525420770337,0.899650514125824,0.33383266792525235
13,0.94837034,0.11561399444890429,0.9241138100624084,0.3204088479565146
14,0.95096624,0.11181995181518843,0.898152768611908,0.3305506051340872
