epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.84265935,0.4265636310458424,0.9121317863464355,0.2258647275912839
1,0.9265936,0.16903131185483616,0.9121317863464355,0.2757565882152269
2,0.94014996,0.1372312490194649,0.9076385498046875,0.29576426045260057
3,0.94418806,0.11930297112684962,0.9246130585670471,0.26516724107889306
4,0.95096624,0.10847060294687008,0.9121317863464355,0.3087733189129416
5,0.9518316,0.10985241679166867,0.8861707448959351,0.24490352951597444
6,0.9544275,0.11334716039380681,0.9061408042907715,0.3783246549157018
7,0.95933086,0.08785783051412939,0.9106340408325195,0.3443962008019449
8,0.9659648,0.07714888551746575,0.9061408042907715,0.28820454676626
9,0.96452266,0.07936703522141915,0.8826760053634644,0.5408427024898682
10,0.9662532,0.07373727702015631,0.8946580290794373,0.4921568074682167
11,0.9588982,0.10725749479802844,0.8871692419052124,0.3818631650818177
12,0.970724,0.07253783402944594,0.9161258339881897,0.3918949641654923
13,0.9708682,0.06547136586385113,0.8986520171165466,0.356707443933713
14,0.97303146,0.06294005578596017,0.9066400527954102,0.51045611704398
