epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8351601,379412761.7888836,0.682476282119751,1.0885344669334422
1,0.9126046,0.2459736140963321,0.9236145615577698,0.31045397266529823
2,0.9274589,71910642.6779293,0.9141287803649902,0.27294812954430336
3,0.9329391,0.1670692503551155,0.898152768611908,0.2444803735099015
4,0.9402942,0.14195129977937285,0.9216175675392151,0.220452223709611
5,0.9466397,0.13115583431112138,0.9196205735206604,0.28728215149787445
6,0.9479377,0.1275813840168472,0.9331003427505493,0.23301108897334924
7,0.9529853,0.10960593914174195,0.8766849637031555,0.23229610417465968
8,0.95500433,0.11162072536166202,0.8582127094268799,0.47618259244593336
9,0.95601386,0.10156322981305861,0.9191213250160217,0.2450142973746604
10,0.9606288,0.0952152192124139,0.9111332893371582,0.2269662713975596
11,0.9614941,0.09766717170874736,0.899650514125824,0.2676479684826427
12,0.96279204,0.09316211640362028,0.8746879696846008,0.5425473319648343
13,0.9648111,0.08619699899331788,0.8956565260887146,0.3383130071190927
14,0.96538794,0.08298829762210824,0.8442336320877075,0.3920276261079374
