epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7205076,0.7500832694079507,0.8781827092170715,0.3607681502834059
1,0.85347563,0.35483218638808234,0.881677508354187,0.2986894836142488
2,0.8862129,0.27397978228452674,0.9056415557861328,0.3075336132698873
3,0.9110182,0.2052777547949083,0.9021467566490173,0.3051694531069954
4,0.9251514,0.17361781515131638,0.9041438102722168,0.29272216600861123
5,0.9332276,0.1504272264118175,0.9071393013000488,0.31836869455762373
6,0.9463513,0.12698622994965147,0.9221168160438538,0.31022704685180336
7,0.94937986,0.11493437250907942,0.9081377983093262,0.37634739856395166
8,0.9506778,0.1103006225199642,0.9091362953186035,0.3417613416530296
9,0.96019614,0.09672026021042336,0.9221168160438538,0.3978244294758832
10,0.9590424,0.09414986178347691,0.9186220765113831,0.4117903298283618
11,0.95933086,0.09522366931730195,0.9036445617675781,0.42074801681592433
12,0.95644647,0.0962213519606057,0.9101347923278809,0.4345337963250154
13,0.96538794,0.08041344156135803,0.8931602835655212,0.4650990491017579
14,0.96538794,0.0764180949177536,0.9096355438232422,0.3798881324253129
