epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.87496394,0.34289804574199945,0.9360958337783813,0.17806535824218275
1,0.94058263,0.13834639188017184,0.9066400527954102,0.270161674032011
2,0.9577444,0.10638372907976458,0.9326010942459106,0.22584229294574273
3,0.96452266,0.08647212768545713,0.9390913844108582,0.24804822795174253
4,0.9717335,0.06467632256729788,0.951073408126831,0.21040339534945687
5,0.9763484,0.0584659042924923,0.9380928874015808,0.29792710249342147
6,0.97461784,0.06745433837452322,0.9201198220252991,0.3770445360944451
7,0.97980964,0.05445666629111892,0.9176235795021057,0.39225856314289625
8,0.9785117,0.05364341874051391,0.9400898814201355,0.24781167018320704
9,0.9828382,0.04651860450475039,0.9241138100624084,0.41890550451622793
10,0.97577155,0.06991325865609409,0.9281078577041626,0.3978864464004019
11,0.9844246,0.0416681595751868,0.9345980882644653,0.360495886409981
12,0.9907701,0.025991854025076182,0.935097336769104,0.4288076806927114
13,0.98759735,0.032221940905641455,0.9246130585670471,0.4060962820709446
14,0.9906259,0.02336984725816367,0.9096355438232422,0.5303959625493065
