epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.83155465,0.4647929936879507,0.9146280288696289,0.231714768620711
1,0.92010385,0.19136987245535006,0.9211183190345764,0.20941810846687686
2,0.9329391,0.15251644459432986,0.9236145615577698,0.20805308457594868
3,0.9374099,0.13276737111770767,0.9400898814201355,0.18505337294580237
4,0.9495241,0.11517085812347644,0.9201198220252991,0.21560448888968461
5,0.95356214,0.10541109265482904,0.90114825963974,0.23846079626522124
6,0.96192676,0.0922882167097554,0.9181228280067444,0.30771007763989255
7,0.9565907,0.1055220579371213,0.932101845741272,0.2674257882825557
8,0.9658206,0.07875637223077483,0.9370943307876587,0.21211466940766296
9,0.96942604,0.07097085238438941,0.9136295318603516,0.3994173308449384
10,0.9695702,0.06878446920417337,0.9241138100624084,0.3427945242199851
11,0.96870494,0.07563111027753727,0.9101347923278809,0.29917834221177975
12,0.9725988,0.06425544087575463,0.9266101121902466,0.29829896911650716
13,0.9711566,0.069473227434707,0.8951572775840759,0.3373325157848807
14,0.97721374,0.05737535243212988,0.8916624784469604,0.42658627715515773
