epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.86818576,0.34980489167470497,0.9410883784294128,0.17921963155537443
1,0.94130373,0.13852293121907563,0.9390913844108582,0.2118131810361245
2,0.9515431,0.11245189750911455,0.9206190705299377,0.24322462860746863
3,0.96235937,0.08454863838196007,0.9261108040809631,0.26849199245224464
4,0.9652437,0.08970337821681612,0.9251123070716858,0.25472586925609936
5,0.96380156,0.08265222277882328,0.9151273369789124,0.33016496286865776
6,0.97721374,0.05681331988007963,0.9131302833557129,0.37052385176579977
7,0.9802423,0.04863037027051672,0.9256115555763245,0.3541445933246361
8,0.9818287,0.044490580708373396,0.9221168160438538,0.382569492864927
9,0.97908854,0.059523370406392426,0.9301048517227173,0.32735230111303326
10,0.9822613,0.043511512916179745,0.9286071062088013,0.42250337223413137
11,0.9832708,0.046105078912982385,0.935097336769104,0.3722477683013137
12,0.9839919,0.05028989670976583,0.9296056032180786,0.4138614647418995
13,0.9852899,0.049860791465198236,0.9166250824928284,0.3990846111749414
14,0.9877416,0.03683351717160261,0.9316025972366333,0.3979587626698876
