epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.8207384,0.5079522432186159,0.8836745023727417,0.3042784404201146
1,0.90222096,0.2352963202679436,0.883175253868103,0.31481840088777524
2,0.91563314,0.19294015293871597,0.8841737508773804,0.30443869677897223
3,0.9300548,0.15776174565557446,0.9291063547134399,0.22254999263441777
4,0.93539083,0.14238049268920241,0.9281078577041626,0.21907657986442655
5,0.93640035,0.13903408270422718,0.8966550230979919,0.2656023137441872
6,0.94303435,0.12686546836483537,0.9101347923278809,0.29144214139954866
7,0.94837034,0.11205546665783055,0.9236145615577698,0.2975901908945389
8,0.94865876,0.10924392015511239,0.9126310348510742,0.29781547387455337
9,0.95788866,0.09946150298520197,0.8786819577217102,0.4519625150156935
10,0.95832133,0.09984903078164152,0.90114825963974,0.3700600861653185
11,0.9485146,0.13073198077918166,0.9071393013000488,0.31286063064910374
12,0.9581771,0.0978351456930048,0.9056415557861328,0.35902991876193624
13,0.9625036,0.0860566715622562,0.9146280288696289,0.31213148752879294
14,0.9606288,0.08839484152953855,0.9116325378417969,0.3625995669641565
