epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5849438,1.1657932790445944,0.6979530453681946,0.7740322733246798
1,0.69671184,0.7828103282763148,0.748876690864563,0.6655260599736743
2,0.72887224,0.6984257824248321,0.7578632235527039,0.6948004621478598
3,0.7509374,0.628826305128361,0.6984522938728333,0.7255603672264221
4,0.78410727,0.5611885826629626,0.7953070402145386,0.5909614480261914
5,0.81929624,0.4684433696169932,0.8537194132804871,0.4723354325970589
6,0.8513124,0.3928316303837495,0.8452321290969849,0.5184626521554757
7,0.88015574,0.3183722463453885,0.8417373895645142,0.440635097990974
8,0.9036631,0.2518980135560414,0.8487269282341003,0.46652147773498903
9,0.9136141,0.22114367792095407,0.8836745023727417,0.34321401886087743
10,0.9276031,0.1812647660957278,0.8921617865562439,0.3535113897708375
11,0.93164116,0.1669163626629697,0.8876684904098511,0.38725037232257103
12,0.9352466,0.1545526186997656,0.8961557745933533,0.3797661725262434
13,0.9369772,0.14657529309404868,0.8741887211799622,0.4640813369008225
14,0.9447649,0.13292398094004845,0.8926610350608826,0.391251453397962
