epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.4153447,1.5193893355872123,0.4892660975456238,1.244273231616332
1,0.47144505,1.246254979102798,0.497753381729126,1.1644532798947065
2,0.50735503,1.1714749547188448,0.565651535987854,1.102919972424976
3,0.5370637,1.1147691873091594,0.5951073169708252,1.0390736323502798
4,0.5648976,1.0714241955649588,0.6165751218795776,0.980409912984489
5,0.5901356,1.0143929996372198,0.6370444297790527,0.9575616725373137
6,0.60989326,0.9641201871425507,0.653020441532135,0.9078864706080375
7,0.6312374,0.9356639677143455,0.6739889979362488,0.8470702325470496
8,0.6544563,0.8666411556597914,0.6964552998542786,0.8383065691841761
9,0.66584945,0.8378141390029175,0.699950098991394,0.806783939860073
10,0.67551196,0.8054973146122542,0.6989516019821167,0.7922265560580561
11,0.6844534,0.791022384015428,0.7174238562583923,0.7837258879089737
12,0.69397175,0.7694631720572616,0.7224164009094238,0.765034867951826
13,0.6916643,0.7667402856660088,0.717923104763031,0.7622917332889673
14,0.6964234,0.747140487711334,0.713429868221283,0.7586601760705233
